number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.0007988131918292822	2020-03-01 12:36:10.429912	2020-03-01 13:20:12.138362	256	81	0.0041306142856119285	512	1.002442887501167	5.705808513066301e-05	0.0007988131918292822	0.00017117425539198904	0.0004279356384799726	7162.554519000342	0.0007089321814092387	5.705808513066301e-05	0.0007988131918292822	0.00017117425539198904	0.0004279356384799726	7162.554433413215	0.0007089321904232707	1180517188	150	5.705808513066301e-05	0.0007988131918292822	0.00017117425539198904	0.0004279356384799726	7162.55460458747	0.0007089321723992189	0	COMPLETE
1	0.0006276389364372932	2020-03-01 13:20:12.183633	2020-03-01 13:55:19.826430	128	51	0.07508322202905084	256	0.9992892812277689	5.705808513066301e-05	0.0006276389364372932	0.0002567613830879836	0.0003708775533493096	7141.59575773137	0.0007431197676079325	5.705808513066301e-05	0.0006276389364372932	0.0002567613830879836	0.0003708775533493096	7141.595686408764	0.0007431197852000319	2382768439	150	5.705808513066301e-05	0.0006276389364372932	0.0002567613830879836	0.0003708775533493096	7141.595829053977	0.0007431197500283269	1	COMPLETE
2	0.0008273422343946138	2020-03-01 13:55:19.858704	2020-03-01 14:24:11.934688	128	71	0.011742827069306969	512	0.9999206723185001	0.00011411617026132602	0.0008273422343946138	0.0002567613830879836	0.0003708775533493096	7143.357611548557	0.0007852855366616918	0.00011411617026132602	0.0008273422343946138	0.0002567613830879836	0.0003708775533493096	7143.357525961429	0.0007852855736405397	3417523315	150	0.00011411617026132602	0.0008273422343946138	0.0002567613830879836	0.0003708775533493096	7143.357697135684	0.0007852854997401554	2	COMPLETE
3	0.0007132260641332877	2020-03-01 14:24:11.980739	2020-03-01 15:17:13.603849	256	80	0.0015973970634068431	256	1.0001417149686265	0.00011411617026132602	0.0007132260641332877	0.0002567613830879836	0.0004564646810453041	7144.72653486249	0.0007610176273223344	0.00011411617026132602	0.0007132260641332877	0.0002567613830879836	0.0004564646810453041	7144.726349423713	0.0007610176386386454	70898599	150	0.00011411617026132602	0.0007132260641332877	0.0002567613830879836	0.0004564646810453041	7144.726720301267	0.0007610176160119125	3	COMPLETE
4	0.0007988131918292822	2020-03-01 15:17:13.636010	2020-03-01 15:47:48.551019	128	82	0.0060390686464815505	512	1.0000311847508563	8.558712769599452e-05	0.0007988131918292822	0.00028529042565331506	0.0004279356384799726	7144.799911559968	0.0007614226778266012	8.558712769599452e-05	0.0007988131918292822	0.00028529042565331506	0.0004279356384799726	7144.799726121191	0.0007614227286627527	4278623532	150	8.558712769599452e-05	0.0007988131918292822	0.00028529042565331506	0.0004279356384799726	7144.800096998745	0.00076142262703456	4	COMPLETE
5	0.0008273422343946138	2020-03-01 15:47:48.584653	2020-03-01 16:22:14.940684	64	97	0.00517541889524635	256	0.9975895025044108	8.558712769599452e-05	0.0008273422343946138	0.00022823234052265205	0.0003994065959146411	7127.35698390962	0.000757753104978293	8.558712769599452e-05	0.0008273422343946138	0.00022823234052265205	0.0003994065959146411	7127.35686979345	0.0007577532853661501	1459213826	150	8.558712769599452e-05	0.0008273422343946138	0.00022823234052265205	0.0003994065959146411	7127.35709802579	0.0007577529251890428	5	COMPLETE
6	0.0004279356384799726	2020-03-01 16:22:14.975943	2020-03-01 16:42:25.954177	64	25	0.0029199298490128274	512	0.9996157741725566	8.558712769599452e-05	0.0004279356384799726	0.00011411617026132602	0.00014264521282665753	7142.3735307543075	0.0006655404408414893	8.558712769599452e-05	0.0004279356384799726	0.00011411617026132602	0.00014264521282665753	7142.373388109095	0.0006655404454777959	153261565	150	8.558712769599452e-05	0.0004279356384799726	0.00011411617026132602	0.00014264521282665753	7142.373673399521	0.0006655404362063964	6	COMPLETE
7	0.0004564646810453041	2020-03-01 16:42:25.988696	2020-03-01 17:17:18.022225	128	49	0.005813819397008988	256	1.0043486043934655	2.8529042565331506e-05	0.0004564646810453041	8.558712769599452e-05	0.00017117425539198904	7176.18004678763	0.0006365636031824786	2.8529042565331506e-05	0.0004564646810453041	8.558712769599452e-05	0.00017117425539198904	7176.179904142417	0.0006365636128373591	4043301876	150	2.8529042565331506e-05	0.0004564646810453041	8.558712769599452e-05	0.00017117425539198904	7176.180189432843	0.0006365635935325069	7	COMPLETE
8	0.0012552778728745864	2020-03-01 17:17:18.056640	2020-03-01 18:01:06.188908	256	51	0.03603088743130634	256	0.9930152943144278	0.00011411617026132602	0.0012552778728745864	0.0003708775533493096	0.0006561679790026247	7095.2629236562825	0.000868505541876152	0.00011411617026132602	0.0012552778728745864	0.0003708775533493096	0.0006561679790026247	7095.262838069154	0.0008685055447112162	1273933073	150	0.00011411617026132602	0.0012552778728745864	0.0003708775533493096	0.0006561679790026247	7095.26300924341	0.0008685055390418106	8	COMPLETE
9	0.0007417551066986192	2020-03-01 18:01:06.240013	2020-03-01 18:38:27.139071	256	31	0.07084938606238611	256	0.9941260425257554	0.00014264521282665753	0.0007417551066986192	0.00028529042565331506	0.0003708775533493096	7103.4742382745635	0.0007588981944129903	0.00014264521282665753	0.0007417551066986192	0.00028529042565331506	0.0003708775533493096	7103.474124158393	0.0007588982528405566	1057764711	150	0.00014264521282665753	0.0007417551066986192	0.00028529042565331506	0.0003708775533493096	7103.474352390734	0.0007588981360857475	9	COMPLETE
