number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_optimizer.lr	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.0007702841492639507	2020-03-12 05:59:35.408767	2020-03-12 06:50:20.270524	64	0.01746775121425844	128	0.003820649276493917	0.996697609955581	2.8529042565331506e-05	0.0007702841492639507	0.00014264521282665753	0.0002567613830879836	7121.347897409563	0.000701466548887957	2.8529042565331506e-05	0.0007702841492639507	0.00014264521282665753	0.0002567613830879836	7121.347769028871	0.0007014667028030602	3449472566	150	2.8529042565331506e-05	0.0007702841492639507	0.00014264521282665753	0.0002567613830879836	7121.348025790255	0.0007014663954483427	0	COMPLETE
1	0.0010270455323519343	2020-03-12 06:50:20.316296	2020-03-12 09:32:34.953425	256	0.03719280376134078	256	0.0037860509970812513	0.9914858901592706	0.0	0.0010270455323519343	0.00028529042565331506	0.00048499372361063563	7085.281538856556	0.000747571828427252	0.0	0.0010270455323519343	0.00028529042565331506	0.00048499372361063563	7085.2814104758645	0.0007475718389602449	1012609359	150	0.0	0.0010270455323519343	0.00028529042565331506	0.00048499372361063563	7085.281667237247	0.0007475718178988024	1	COMPLETE
2	0.0011696907451785917	2020-03-12 09:32:35.000904	2020-03-12 12:16:46.621599	256	0.01776689062310116	128	0.1464790453221192	0.9974125741858502	8.558712769599452e-05	0.0011696907451785917	0.0003138194682186466	0.0006276389364372932	7126.767844916125	0.0008626469718716329	8.558712769599452e-05	0.0011696907451785917	0.0003138194682186466	0.0006276389364372932	7126.767745064476	0.0008626469776469992	1126799421	150	8.558712769599452e-05	0.0011696907451785917	0.0003138194682186466	0.0006276389364372932	7126.767944767774	0.0008626469660981501	2	COMPLETE
3	0.001797329681615885	2020-03-12 12:16:46.670789	2020-03-12 13:06:01.906161	64	0.00163001722956881	256	0.06941154973262853	1.0002300432283857	0.00022823234052265205	0.001797329681615885	0.0006561679790026247	0.0009985164897866028	7147.668207234965	0.0011120260149050597	0.00022823234052265205	0.001797329681615885	0.0006561679790026247	0.0009985164897866028	7147.668178705922	0.001112026020718739	4102198905	150	0.00022823234052265205	0.001797329681615885	0.0006561679790026247	0.0009985164897866028	7147.6682357640075	0.001112026009094962	3	COMPLETE
4	0.0007988131918292822	2020-03-12 13:06:01.957417	2020-03-12 14:34:40.557039	128	0.008564305799749554	128	0.01117453828796996	0.9998751873311521	8.558712769599452e-05	0.0007988131918292822	0.00022823234052265205	0.0005135227661759672	7142.75333789798	0.0007558712101175175	8.558712769599452e-05	0.0007988131918292822	0.00022823234052265205	0.0005135227661759672	7142.7531667237245	0.0007558712372599632	1531417474	150	8.558712769599452e-05	0.0007988131918292822	0.00022823234052265205	0.0005135227661759672	7142.753509072236	0.0007558711829939594	4	COMPLETE
5	0.0006561679790026247	2020-03-12 14:34:40.592845	2020-03-12 16:03:24.900815	128	0.018851176274941366	128	0.11549485209052454	1.0106088957810928	0.00011411617026132602	0.0006561679790026247	0.00014264521282665753	0.00028529042565331506	7221.156453269428	0.0006810945033991478	0.00011411617026132602	0.0006561679790026247	0.00014264521282665753	0.00028529042565331506	7221.156367682301	0.000681094504782018	2352705448	150	0.00011411617026132602	0.0006561679790026247	0.00014264521282665753	0.00028529042565331506	7221.156538856556	0.0006810945020164925	5	COMPLETE
6	0.0008273422343946138	2020-03-12 16:03:24.934572	2020-03-12 18:45:29.804420	256	0.002846283773581635	512	0.5420368953111548	0.9964139055644009	5.705808513066301e-05	0.0008273422343946138	0.00022823234052265205	0.0003994065959146411	7119.202413557001	0.0007280378298343612	5.705808513066301e-05	0.0008273422343946138	0.00022823234052265205	0.0003994065959146411	7119.202299440831	0.0007280378941541989	3537346449	150	5.705808513066301e-05	0.0008273422343946138	0.00022823234052265205	0.0003994065959146411	7119.202527673171	0.0007280377656308283	6	COMPLETE
7	0.0007702841492639507	2020-03-12 18:45:29.842197	2020-03-12 21:29:34.064009	256	0.036084103711342644	128	0.3929370920314791	1.0011642657283215	0.00014264521282665753	0.0007702841492639507	0.00022823234052265205	0.0003138194682186466	7152.408821179961	0.0007696156695608168	0.00014264521282665753	0.0007702841492639507	0.00022823234052265205	0.0003138194682186466	7152.408621476663	0.0007696156834139851	3381828374	150	0.00014264521282665753	0.0007702841492639507	0.00022823234052265205	0.0003138194682186466	7152.4090208832595	0.0007696156557146628	7	COMPLETE
8	0.0006846970215679561	2020-03-12 21:29:34.101591	2020-03-12 22:18:52.491538	64	0.0018326079588066153	256	0.6680752045260968	1.0052038032106436	0.0	0.0006846970215679561	0.00022823234052265205	0.0003994065959146411	7181.747161360265	0.0006588759444687342	0.0	0.0006846970215679561	0.00022823234052265205	0.0003994065959146411	7181.747090037658	0.0006588759475110827	2000379231	150	0.0	0.0006846970215679561	0.00022823234052265205	0.0003994065959146411	7181.747232682871	0.0006588759414273125	8	COMPLETE
9	0.0007132260641332877	2020-03-12 22:18:52.527779	2020-03-12 23:45:35.736067	128	0.0014861522682263195	512	0.01510449924015834	0.9944171152902445	8.558712769599452e-05	0.0007132260641332877	0.00022823234052265205	0.0004279356384799726	7106.155169462513	0.0007299912618772546	8.558712769599452e-05	0.0007132260641332877	0.00022823234052265205	0.0004279356384799726	7106.1549697592145	0.0007299912834679489	3256924878	150	8.558712769599452e-05	0.0007132260641332877	0.00022823234052265205	0.0004279356384799726	7106.155369165811	0.0007299912402989718	9	COMPLETE
