number	value	datetime_start	datetime_complete	params_loss.margin	params_model.embedding_dim	params_model.feature_map_dropout	params_model.input_dropout	params_model.output_channels	params_model.output_dropout	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
0		2020-05-14 19:41:32.943235	2020-05-14 19:41:48.850996	1.768013954733764	256	0.2170681206397817	0.48707826230854706	52	0.41963200626408237	51	0.015237058986472901	512														The current model can't be trained on this hardware with these parameters.									0	Setting status of trial#0 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
1	0.08895131086142322	2020-05-14 19:41:48.915736	2020-05-14 19:54:47.723108	1.5129439039702621	64	0.3454987471573917	0.4978409389623052	56	0.15609743061989068	54	0.09220619202807667	128	1.0387650925399254	0.011235955056179775	0.08895131086142322	0.02902621722846442	0.04868913857677903	50.09410112359551	0.05211090662102411	0.011235955056179775	0.08895131086142322	0.02902621722846442	0.04868913857677903	50.09410112359551	0.05211090662102411		2918910631.0	200.0	0.011235955056179775	0.08895131086142322	0.02902621722846442	0.04868913857677903	50.09410112359551	0.05211090662102411	1		COMPLETE
2	0.48174157303370785	2020-05-14 19:54:47.839437	2020-05-14 20:23:19.908005	3.836980355355253	128	0.05256517696928725	0.17773475253094656	53	0.1696149227421334	78	0.006292784238109455	256	0.34396870615229375	0.07724719101123595	0.48174157303370785	0.1989700374531835	0.2954119850187266	16.64138576779026	0.1989013326345419	0.07724719101123595	0.48174157303370785	0.1989700374531835	0.2954119850187266	16.64138576779026	0.1989013326345419		4260474072.0	200.0	0.07724719101123595	0.48174157303370785	0.1989700374531835	0.2954119850187266	16.64138576779026	0.1989013326345419	2		COMPLETE
3	0.18445692883895132	2020-05-14 20:23:20.021977	2020-05-14 20:26:45.283850	5.908366730729615	64	0.1471588040913877	0.16270323895527528	55	0.13050585060826297	1	0.03811480465909464	128	0.6992253198093048	0.015917602996254682	0.18445692883895132	0.06460674157303371	0.11189138576779026	33.88061797752809	0.08404106214926485	0.015917602996254682	0.18445692883895132	0.06460674157303371	0.11189138576779026	33.88061797752809	0.08404106214926485		2168518650.0	200.0	0.015917602996254682	0.18445692883895132	0.06460674157303371	0.11189138576779026	33.88061797752809	0.08404106214926485	3		COMPLETE
4	0.41151685393258425	2020-05-14 20:26:45.392200	2020-05-14 20:33:04.166694	5.558105274689653	256	0.037377199427241437	0.45259663490417634	17	0.047987109899024605	17	0.022798930883415287	512	0.3872361292265537	0.05758426966292135	0.41151685393258425	0.1502808988764045	0.23267790262172286	18.778089887640448	0.1654663724302335	0.05758426966292135	0.41151685393258425	0.1502808988764045	0.23267790262172286	18.778089887640448	0.1654663724302335		153320264.0	200.0	0.05758426966292135	0.41151685393258425	0.1502808988764045	0.23267790262172286	18.778089887640448	0.1654663724302335	4		COMPLETE
5	0.2654494382022472	2020-05-14 20:33:04.276536	2020-05-14 20:51:42.052614	5.777704950378306	256	0.08645444634911609	0.3097820502741709	39	0.4973329073194084	32	0.0010806743298140723	256	0.6920405774794114	0.024344569288389514	0.2654494382022472	0.0800561797752809	0.13389513108614232	33.296816479400746	0.10235214548963312	0.024344569288389514	0.2654494382022472	0.0800561797752809	0.13389513108614232	33.296816479400746	0.10235214548963312		2419118563.0	200.0	0.024344569288389514	0.2654494382022472	0.0800561797752809	0.13389513108614232	33.296816479400746	0.10235214548963312	5		COMPLETE
6	0.12734082397003746	2020-05-14 20:51:42.142216	2020-05-14 21:16:00.049869	1.4883625842271593	128	0.42587365918201053	0.13690967978191682	64	0.47925366358940874	61	0.0777524344670003	512	0.9555867179174827	0.009831460674157303	0.12734082397003746	0.031835205992509365	0.05852059925093633	46.066947565543074	0.05793379916812912	0.009831460674157303	0.12734082397003746	0.031835205992509365	0.05852059925093633	46.066947565543074	0.05793379916812912		767266173.0	200.0	0.009831460674157303	0.12734082397003746	0.031835205992509365	0.05852059925093633	46.066947565543074	0.05793379916812912	6		COMPLETE
7	0.23220973782771537	2020-05-14 21:16:00.159196	2020-05-14 21:27:39.058657	8.291152893645815	64	0.28070651046005785	0.047236830898847615	54	0.0328534055914389	59	0.023735881160980264	512	0.6426055473476049	0.032303370786516857	0.23220973782771537	0.08192883895131087	0.12734082397003746	30.93632958801498	0.1043533442050364	0.032303370786516857	0.23220973782771537	0.08192883895131087	0.12734082397003746	30.93632958801498	0.1043533442050364		202775361.0	200.0	0.032303370786516857	0.23220973782771537	0.08192883895131087	0.12734082397003746	30.93632958801498	0.1043533442050364	7		COMPLETE
8	0.300561797752809	2020-05-14 21:27:39.165681	2020-05-14 21:32:07.553596	7.515504528997507	64	0.3187142467598154	0.29519370905462755	36	0.1386147655026419	21	0.009120320933794546	512	0.573631422152945	0.03698501872659176	0.300561797752809	0.11423220973782772	0.17462546816479402	27.75	0.1254480779674047	0.03698501872659176	0.300561797752809	0.11423220973782772	0.17462546816479402	27.75	0.1254480779674047		3505619678.0	200.0	0.03698501872659176	0.300561797752809	0.11423220973782772	0.17462546816479402	27.75	0.1254480779674047	8		COMPLETE
9	0.6661985018726592	2020-05-14 21:32:07.652965	2020-05-14 21:36:10.626993	2.6197350690270333	64	0.37176508284928655	0.013143434033650703	46	0.18635112122479724	16	0.006428256823488745	512	0.21209667907759183	0.12078651685393259	0.6661985018726592	0.3094569288389513	0.4349250936329588	10.263108614232209	0.277468421846877	0.12078651685393259	0.6661985018726592	0.3094569288389513	0.4349250936329588	10.263108614232209	0.277468421846877		1936949279.0	200.0	0.12078651685393259	0.6661985018726592	0.3094569288389513	0.4349250936329588	10.263108614232209	0.277468421846877	9		COMPLETE
