number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.feature_map_dropout	params_model.input_dropout	params_model.output_channels	params_model.output_dropout	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
0	0.11610486891385768	2020-05-17 12:19:14.758664	2020-05-17 12:23:26.904239	64	0.4577473780980889	0.28974952835792517	49	0.40733193825703823	35	0.0505207785878461	256	0.9297357798860956	0.008895131086142321	0.11610486891385768	0.035580524344569285	0.06320224719101124	44.734784644194754	0.056691374063469635	0.009831460674157303	0.1446629213483146	0.03651685393258427	0.06320224719101124	36.25889513108614	0.06850344346067086		2739203641.0	200.0	0.008895131086142321	0.11610486891385768	0.035580524344569285	0.062265917602996254	53.21067415730337	0.05409982274695685	0		COMPLETE
1	0.10346441947565543	2020-05-17 12:23:27.008190	2020-05-17 12:29:22.025931	128	0.05062164276905373	0.46768391326111564	41	0.4599360225524994	51	0.08319455932137483	256	1.0024001544065886	0.008895131086142321	0.10346441947565543	0.025749063670411985	0.046348314606741575	48.39700374531835	0.05161551597987149	0.008895131086142321	0.10346441947565543	0.025749063670411985	0.046348314606741575	48.3937265917603	0.051619268572005		3008498391.0	150.0	0.008895131086142321	0.10346441947565543	0.025749063670411985	0.046348314606741575	48.4002808988764	0.05161192703099431	1		COMPLETE
2	0.0945692883895131	2020-05-17 12:29:22.104890	2020-05-17 12:33:31.587873	64	0.17395848902520644	0.26452535439787445	35	0.3772009191227998	40	0.013394386373278645	128	0.9338286193279542	0.009363295880149813	0.0945692883895131	0.0299625468164794	0.050093632958801496	45.030430711610485	0.050162550399669825	0.35252808988764045	0.5191947565543071	0.40074906367041196	0.4349250936329588	25.33005617977528	0.4048967472604296		1897459020.0	200.0	0.009363295880149813	0.0945692883895131	0.0299625468164794	0.050093632958801496	64.73080524344569	0.045257420277300564	2		COMPLETE
3	0.05945692883895131	2020-05-17 12:33:31.665906	2020-05-17 12:51:19.318346	128	0.4847555974032816	0.06292897522301044	60	0.3980653818005752	62	0.012510131974558318	128	0.9867612931586118	0.0056179775280898875	0.05945692883895131	0.018258426966292134	0.03417602996254682	47.63787453183521	0.04036457544272071	0.3796816479400749	0.5271535580524345	0.44241573033707865	0.4892322097378277	26.475655430711612	0.4355781301266142		2318894140.0	250.0	0.0056179775280898875	0.05945692883895131	0.018258426966292134	0.03417602996254682	68.8000936329588	0.03535245489557999	3		COMPLETE
4	0.7359550561797753	2020-05-17 12:51:19.412718	2020-05-17 13:07:15.436171	64	0.17813942617212886	0.3703988478014706	57	0.3271535462001669	93	0.0016899547228734363	256	0.1639943460965257	0.14232209737827714	0.7359550561797753	0.36329588014981273	0.5093632958801498	7.941947565543071	0.3172511337016113	0.14232209737827714	0.7359550561797753	0.36329588014981273	0.5093632958801498	7.941947565543071	0.3172511337016113		914014930.0	300.0	0.14232209737827714	0.7359550561797753	0.36329588014981273	0.5093632958801498	7.941947565543071	0.3172511337016113	4		COMPLETE
5	0.08661048689138577	2020-05-17 13:07:15.542740	2020-05-17 13:21:05.222306	256	0.4290108111736091	0.21636229042434918	44	0.1135968668768787	45	0.023411300371425272	256	0.9532167797442526	0.013108614232209739	0.08661048689138577	0.03136704119850187	0.05056179775280899	45.91573033707865	0.05299349573838845	0.021067415730337078	0.46722846441947563	0.12968164794007492	0.33052434456928836	29.80571161048689	0.14190218788378509		1887136174.0	200.0	0.013108614232209739	0.08661048689138577	0.03136704119850187	0.05056179775280899	62.02574906367041	0.04895910196713265	5		COMPLETE
6	0.20318352059925093	2020-05-17 13:21:05.318412	2020-05-17 13:27:03.058101	64	0.42671957243864667	0.12755561308078817	49	0.25431701986779	39	0.005359339400142008	128	0.7273691567960318	0.019194756554307114	0.20318352059925093	0.05664794007490637	0.0898876404494382	34.96676029962547	0.08300689750864974	0.019194756554307114	0.20318352059925093	0.05664794007490637	0.0898876404494382	34.96676029962547	0.08300689750864974		1552729003.0	250.0	0.019194756554307114	0.20318352059925093	0.05664794007490637	0.0898876404494382	34.96676029962547	0.08300689750864974	6		COMPLETE
7	0.07209737827715355	2020-05-17 13:27:03.197242	2020-05-17 13:40:47.663534	128	0.08309298200885601	0.35939154652374256	64	0.23651801882080187	62	0.041590572416833865	128	0.9486615137364506	0.007022471910112359	0.07209737827715355	0.02762172284644195	0.037921348314606744	45.74204119850187	0.04481071317074815	0.19382022471910113	0.5374531835205992	0.41713483146067415	0.48174157303370785	24.834737827715355	0.3293521191877649		4248358449.0	200.0	0.007022471910112359	0.07209737827715355	0.02762172284644195	0.037921348314606744	66.64934456928839	0.0398423176249079	7		COMPLETE
8	0.24250936329588016	2020-05-17 13:40:47.760556	2020-05-17 13:45:55.174622	64	0.2152703468150045	0.44605324714596745	47	0.004869290652251612	54	0.027431745691451466	512	0.6836030973062226	0.02902621722846442	0.24250936329588016	0.09878277153558053	0.14653558052434457	32.92790262172284	0.10767687757911697	0.02902621722846442	0.24250936329588016	0.09878277153558053	0.14653558052434457	32.92790262172284	0.10767687757911697		1684740213.0	200.0	0.02902621722846442	0.24250936329588016	0.09878277153558053	0.14653558052434457	32.92790262172284	0.10767687757911697	8		COMPLETE
9	0.7495318352059925	2020-05-17 13:45:55.270390	2020-05-17 13:51:25.507001	128	0.32453684589512966	0.05182570907141276	51	0.4049623665072224	25	0.0011681882615682422	256	0.1614977936460968	0.15636704119850187	0.7495318352059925	0.37780898876404495	0.525749063670412	7.813670411985019	0.33103262914008663	0.15636704119850187	0.7495318352059925	0.37780898876404495	0.525749063670412	7.813670411985019	0.33103262914008663		2039062238.0	200.0	0.15636704119850187	0.7495318352059925	0.37780898876404495	0.525749063670412	7.813670411985019	0.33103262914008663	9		COMPLETE
