number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_optimizer.lr	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
0	0.18774962912244664	2020-05-13 18:42:35.122786	2020-05-13 19:40:07.194910	256	0.026949637996511972	256	0.07403127844797931	0.3768355548404809	0.08407508844003195	0.18774962912244664	0.12741070409677052	0.1515748031496063	2661.9495035946593	0.11911221928157018	0.08407508844003195	0.18774962912244664	0.12741070409677052	0.1515748031496063	2661.949389478489	0.11911221941259699		3664992303.0	150.0	0.08407508844003195	0.18774962912244664	0.12741070409677052	0.1515748031496063	2661.9496177108294	0.11911221915076384	0		COMPLETE
1		2020-05-13 19:40:07.241220	2020-05-13 19:40:16.406045	128	0.004984426465896501	128	0.37306050967823934														CUDA out of memory. Tried to allocate 454.00 MiB (GPU 0; 31.75 GiB total capacity; 28.92 GiB already allocated; 422.50 MiB free; 1.62 GiB cached; 0 bytes inactive)									1	Setting status of trial#1 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
2	0.3092262923656282	2020-05-13 19:40:16.413269	2020-05-13 20:12:28.876350	64	0.00576228654315374	256	0.35630141188611225	0.16158617026190125	0.14595458176423598	0.3092262923656282	0.21736277530526077	0.2533378979801438	1113.9997289740957	0.20100705359139145	0.14595458176423598	0.3092262923656282	0.21736277530526077	0.2533378979801438	1113.999543535319	0.20100705365002078		3847944755.0	200.0	0.14595458176423598	0.3092262923656282	0.21736277530526077	0.2533378979801438	1113.9999144128724	0.20100705353283732	2		COMPLETE
3	0.2382175054205181	2020-05-13 20:12:28.926614	2020-05-13 20:33:32.665577	64	0.06431770780726656	512	0.835033178852683	0.3041238771888009	0.10604245121533722	0.2382175054205181	0.1640705237932215	0.19445395412529956	2137.3314646810454	0.15125856972944246	0.10604245121533722	0.2382175054205181	0.1640705237932215	0.19445395412529956	2137.3313363003535	0.1512585697445137		2786456305.0	150.0	0.10604245121533722	0.2382175054205181	0.1640705237932215	0.19445395412529956	2137.331593061737	0.15125856971437834	3		COMPLETE
4	0.2485735478717334	2020-05-13 20:33:32.701056	2020-05-13 21:04:42.613326	64	0.03471808581107142	512	0.1615767584038809	0.22290524340410528	0.11659819696450988	0.2485735478717334	0.17134542964738103	0.20349766061850963	1562.4393472555062	0.16070311829731962	0.11659819696450988	0.2485735478717334	0.17134542964738103	0.20349766061850963	1562.4391760812507	0.16070317265621478		2718536810.0	200.0	0.11659819696450988	0.2485735478717334	0.17134542964738103	0.20349766061850963	1562.4395184297614	0.16070306651191002	4		COMPLETE
5		2020-05-13 21:04:42.647588	2020-05-13 21:04:51.857730	128	0.0012155370831626398	128	0.04456790985420898														CUDA out of memory. Tried to allocate 454.00 MiB (GPU 0; 31.75 GiB total capacity; 28.92 GiB already allocated; 422.50 MiB free; 1.62 GiB cached; 0 bytes inactive)									5	Setting status of trial#5 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
6	0.18763551295218533	2020-05-13 21:04:51.865092	2020-05-13 21:25:41.713968	64	0.08731439756442445	512	0.12063235013437454	0.3617938487475039	0.08781239301609038	0.18763551295218533	0.12923656282095172	0.15351477804404884	2553.856670090152	0.12177799503471276	0.08781239301609038	0.18763551295218533	0.12923656282095172	0.15351477804404884	2553.8565559739814	0.121777996590955		419644655.0	150.0	0.08781239301609038	0.18763551295218533	0.12923656282095172	0.15351477804404884	2553.856784206322	0.12177799349205792	6		COMPLETE
7	0.1628723040054776	2020-05-13 21:25:41.747921	2020-05-13 21:47:13.469100	64	0.07930880507624856	256	0.0064977455430452	0.4394263493143905	0.07711400205409107	0.1628723040054776	0.11271824717562479	0.13234622846057287	3097.445694967477	0.10616486029489282	0.07711400205409107	0.1628723040054776	0.11271824717562479	0.13234622846057287	3097.4455665867854	0.10616486045097771		1030045480.0	150.0	0.07711400205409107	0.1628723040054776	0.11271824717562479	0.13234622846057287	3097.4458233481682	0.10616486013911033	7		COMPLETE
8	0.2235535775419377	2020-05-13 21:47:13.504304	2020-05-13 22:19:32.132140	64	0.028278443668890752	256	0.04276721965548084	0.266559069554088	0.1026760241926281	0.2235535775419377	0.1555688691087527	0.18329909848225492	1868.2693569553805	0.14430255989677315	0.1026760241926281	0.2235535775419377	0.1555688691087527	0.18329909848225492	1868.2692000456464	0.14430257278258593		1412380212.0	200.0	0.1026760241926281	0.2235535775419377	0.1555688691087527	0.18329909848225492	1868.2695138651147	0.14430254736292564	8		COMPLETE
9	0.2874871619308456	2020-05-13 22:19:32.166577	2020-05-13 23:45:36.696635	256	0.018357395510990877	512	0.6651895115251897	0.21018045398031268	0.12532808398950132	0.2874871619308456	0.19317014720985964	0.23048613488531325	1474.9082791281526	0.17922542101206962	0.12532808398950132	0.2874871619308456	0.19317014720985964	0.23048613488531325	1474.9081364829397	0.17922542290067317		1641822139.0	200.0	0.12532808398950132	0.2874871619308456	0.19317014720985964	0.23048613488531325	1474.9084217733653	0.17922541913740492	9		COMPLETE
