number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.33093689375784546	2020-05-13 22:50:17.914734	2020-05-14 02:25:48.331289	0.1588337921189162	4.31915449037566	64	93	0.001049155288073695	128	0.05256433211640942	0.08610065046217048	0.33093689375784546	0.17973296816158849	0.239501312335958	363.02273764692455	0.16598915718233637	0.08610065046217048	0.33093689375784546	0.17973296816158849	0.239501312335958	363.0226805888394	0.16598915719330762	3402921332	750	0.08610065046217048	0.33093689375784546	0.17973296816158849	0.239501312335958	363.0227947050097	0.16598915717137075	0	COMPLETE
1	0.17513979230857013	2020-05-14 02:25:48.376819	2020-05-14 04:17:19.486860	0.12720705455578488	13.731811274558964	256	85	0.001541455766151704	128	0.07696554688446539	0.02932785575716079	0.17513979230857013	0.07349081364829396	0.10769713568412644	538.4877467762182	0.07927173705144573	0.02932785575716079	0.17513979230857013	0.07349081364829396	0.10769713568412644	538.4876469245692	0.07927173999923333	512731771	400	0.02932785575716079	0.17513979230857013	0.07349081364829396	0.10769713568412644	538.4878466278672	0.07927173414442835	1	COMPLETE
2	0.2818669405454753	2020-05-14 04:17:19.519019	2020-05-14 06:38:58.874549	0.7459902972149661	10.990953733794997	128	91	0.0013427576091971966	256	0.06993891491906562	0.057314846513750996	0.2818669405454753	0.13631176537715395	0.18937578454867054	486.4921973068584	0.1296545031201043	0.057314846513750996	0.2818669405454753	0.13631176537715395	0.18937578454867054	486.4920403971243	0.12965450336136172	410771103	850	0.057314846513750996	0.2818669405454753	0.13631176537715395	0.18937578454867054	486.4923542165925	0.12965450287967142	2	COMPLETE
3	0.006476092662330252	2020-05-14 06:38:58.907559	2020-05-14 07:05:33.803406	0.5928493188451857	15.258087505125928	128	51	0.014445573683282247	256	0.3218257025722975	0.0012838069154399178	0.006476092662330252	0.0027958461714024875	0.003822891703754422	2287.9086785347486	0.004468050145268506	0.0012838069154399178	0.006476092662330252	0.0027958461714024875	0.003822891703754422	2287.908507360493	0.004468050219332335	831968399	200	0.0012838069154399178	0.006476092662330252	0.0027958461714024875	0.003822891703754422	2287.908849709004	0.00446805007131976	3	COMPLETE
4	0.021282665753737304	2020-05-14 07:05:33.834034	2020-05-14 07:44:38.875754	0.31972860840023093	4.620818128072372	256	1	0.004710789865283489	128	0.3437974725686168	0.006133744151546274	0.021282665753737304	0.010470158621476664	0.01437863745292708	2441.4832677165355	0.013652935958240877	0.006133744151546274	0.021282665753737304	0.010470158621476664	0.01437863745292708	2441.4831678648866	0.01365293596123289	1335086537	200	0.006133744151546274	0.021282665753737304	0.010470158621476664	0.01437863745292708	2441.4833675681843	0.013652935955249483	4	COMPLETE
5	0.03186694054547529	2020-05-14 07:44:38.910797	2020-05-14 08:58:02.504496	0.3214417731150091	28.811176898639534	256	96	0.003589144763346008	256	0.13718251568862744	0.00396553691658108	0.03186694054547529	0.011126326600479288	0.016946251283806914	967.8238331621591	0.018095289880016262	0.00396553691658108	0.03186694054547529	0.011126326600479288	0.016946251283806914	967.823576400776	0.018095291738435708	939153046	450	0.00396553691658108	0.03186694054547529	0.011126326600479288	0.016946251283806914	967.8240899235421	0.018095288036866674	5	COMPLETE
6	0.024164099052835786	2020-05-14 08:58:02.540920	2020-05-14 09:41:42.980712	0.6274707232146842	25.055720702288028	64	58	0.007218560187209265	256	0.13768981547760742	0.0025676138308798357	0.024164099052835786	0.007988131918292823	0.013009243409791168	970.4662073490814	0.01468042289589793	0.0025676138308798357	0.024164099052835786	0.007988131918292823	0.013009243409791168	970.4658792650919	0.014680424656147564	4034815372	300	0.0025676138308798357	0.024164099052835786	0.007988131918292823	0.013009243409791168	970.4665354330708	0.014680421143378489	6	COMPLETE
7	0.33099395184297614	2020-05-14 09:41:43.015397	2020-05-14 10:28:06.805258	0.4508632557065998	1.1949031266065187	64	61	0.0015124871119810664	128	0.045903318046080034	0.07993837726805889	0.33099395184297614	0.17160219103046903	0.23114230286431586	317.4777901403629	0.1601703914926129	0.07993837726805889	0.33099395184297614	0.17160219103046903	0.23114230286431586	317.4777758758416	0.1601703923334335	4125759315	200	0.07993837726805889	0.33099395184297614	0.17160219103046903	0.23114230286431586	317.4778044048842	0.16017039065821082	7	COMPLETE
8	0.0032237818098824604	2020-05-14 10:28:06.852520	2020-05-14 10:59:23.685427	0.4407132272955472	8.305116359105025	64	75	0.04629546970848846	128	0.6146219210995513	0.0005420518087412986	0.0032237818098824604	0.0012267488303092549	0.0018258587241812164	4394.287786716878	0.002054966638996265	0.0005420518087412986	0.0032237818098824604	0.0012267488303092549	0.0018258587241812164	4394.287230400548	0.0020549666722123245	2781767079	150	0.0005420518087412986	0.0032237818098824604	0.0012267488303092549	0.0018258587241812164	4394.288343033208	0.0020549666057959434	8	COMPLETE
9	0.006304918406938263	2020-05-14 10:59:23.718710	2020-05-14 11:23:41.282772	0.6047705360413157	4.044803624709549	64	24	0.04616594894490919	256	0.4176426988200757	0.0020826201072692	0.006304918406938263	0.003252310852447792	0.004250827342234395	2983.0958433184983	0.004731876400493671	0.0020826201072692	0.006304918406938263	0.003252310852447792	0.004250827342234395	2983.0955722925937	0.0047318764290050636	2001231812	200	0.0020826201072692	0.006304918406938263	0.003252310852447792	0.004250827342234395	2983.0961143444024	0.0047318763719984905	9	COMPLETE
