number	value	datetime_start	datetime_complete	params_loss.margin	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.5660112359550562	2020-03-06 09:10:25.690829	2020-03-06 09:11:09.754493	7.399571413609981	256	13	0.0012035386323556085	512	0.2214704858451342	0.0749063670411985	0.5660112359550562	0.2055243445692884	0.33146067415730335	10.829588014981274	0.2148658170575188	0.0749063670411985	0.5664794007490637	0.20599250936329588	0.33146067415730335	10.827715355805243	0.2149684744238547	3216017189	200.0	0.0749063670411985	0.5660112359550562	0.2055243445692884	0.33146067415730335	10.831460674157304	0.21478956859185902	0	COMPLETE
1	0.8417602996254682	2020-03-06 09:11:09.770750	2020-03-06 09:13:49.288650	9.293171126838956	128	91	0.019065138086895656	128	0.1249352571203928	0.23314606741573032	0.8417602996254682	0.5060861423220974	0.6446629213483146	6.030898876404494	0.42149153750210305	0.23314606741573032	0.8417602996254682	0.5060861423220974	0.6446629213483146	6.030898876404494	0.42149153750210305	3901669793	200.0	0.23314606741573032	0.8417602996254682	0.5060861423220974	0.6446629213483146	6.030898876404494	0.42149153750210305	1	COMPLETE
2	0.6039325842696629	2020-03-06 09:13:49.306525	2020-03-06 09:14:39.181667	8.273919781073658	128	40	0.0015705096262908734	512	0.20495732130015387	0.07771535580524344	0.6039325842696629	0.20037453183520598	0.33941947565543074	9.908005617977528	0.22037304613324232	0.07771535580524344	0.6039325842696629	0.20037453183520598	0.3398876404494382	9.90683520599251	0.2203904718341886	1059609452	200.0	0.07771535580524344	0.6039325842696629	0.20037453183520598	0.33941947565543074	9.909176029962547	0.22035793180867105	2	COMPLETE
3	0.8647003745318352	2020-03-06 09:14:39.193797	2020-03-06 09:19:47.178075	5.996229453557205	256	49	0.0018261858989116005	128	0.11765928996800121	0.23642322097378277	0.8647003745318352	0.5107677902621723	0.6512172284644194	5.661985018726591	0.4260592703504513	0.23642322097378277	0.8647003745318352	0.5107677902621723	0.6512172284644194	5.661985018726591	0.4260592703504513	1126844595	350.0	0.23642322097378277	0.8647003745318352	0.5107677902621723	0.6512172284644194	5.661985018726591	0.4260592703504513	3	COMPLETE
4	0.8277153558052435	2020-03-06 09:19:47.195922	2020-03-06 09:21:49.179692	9.759437186341495	256	52	0.0878971809546825	512	0.13154323129872844	0.225187265917603	0.8277153558052435	0.48408239700374533	0.62687265917603	6.341292134831461	0.4069222815777689	0.225187265917603	0.8277153558052435	0.48408239700374533	0.62687265917603	6.341292134831461	0.4069222815777689	2114113387	400.0	0.225187265917603	0.8277153558052435	0.48408239700374533	0.62687265917603	6.341292134831461	0.4069222815777689	4	COMPLETE
5	0.8525280898876404	2020-03-06 09:21:49.191822	2020-03-06 09:23:37.239939	8.614042472415605	64	99	0.02547907675844983	512	0.12120276196573752	0.2556179775280899	0.8525280898876404	0.5140449438202247	0.6413857677902621	5.841292134831461	0.43692867481686903	0.2556179775280899	0.8525280898876404	0.5140449438202247	0.6413857677902621	5.841292134831461	0.43692867481686903	346624125	350.0	0.2556179775280899	0.8525280898876404	0.5140449438202247	0.6413857677902621	5.841292134831461	0.43692867481686903	5	COMPLETE
6	0.852996254681648	2020-03-06 09:23:37.252118	2020-03-06 09:27:13.876763	8.421198119770276	64	32	0.0077011863210764515	128	0.11830173742395829	0.24531835205992508	0.852996254681648	0.5191947565543071	0.6587078651685393	5.708333333333333	0.43301968440701644	0.24531835205992508	0.852996254681648	0.5191947565543071	0.6587078651685393	5.708333333333333	0.43301968440701644	3455209046	250.0	0.24531835205992508	0.852996254681648	0.5191947565543071	0.6587078651685393	5.708333333333333	0.43301968440701644	6	COMPLETE
7	0.772003745318352	2020-03-06 09:27:13.888732	2020-03-06 09:31:11.079575	1.7180162330221405	128	11	0.04709412925507727	128	0.1548742048942906	0.16292134831460675	0.772003745318352	0.38670411985018727	0.5388576779026217	7.51498127340824	0.3399365562597007	0.16292134831460675	0.772003745318352	0.38670411985018727	0.5388576779026217	7.51498127340824	0.3399365562597007	1311352767	300.0	0.16292134831460675	0.772003745318352	0.38670411985018727	0.5388576779026217	7.51498127340824	0.3399365562597007	7	COMPLETE
8	0.8562734082397003	2020-03-06 09:31:11.091879	2020-03-06 09:34:35.134016	9.922184308177581	64	80	0.005307727666405946	256	0.12242850708628722	0.22705992509363296	0.8562734082397003	0.49765917602996257	0.6544943820224719	5.897940074906367	0.41714030467993257	0.22705992509363296	0.8562734082397003	0.49765917602996257	0.6544943820224719	5.897940074906367	0.41714030467993257	3722435227	400.0	0.22705992509363296	0.8562734082397003	0.49765917602996257	0.6544943820224719	5.897940074906367	0.41714030467993257	8	COMPLETE
9	0.8609550561797753	2020-03-06 09:34:35.152216	2020-03-06 09:36:17.607104	9.689105480416254	256	90	0.025421312455293953	512	0.1132037588595744	0.25187265917602997	0.8609550561797753	0.5346441947565543	0.672752808988764	5.455056179775281	0.440889063106813	0.25187265917602997	0.8609550561797753	0.5346441947565543	0.672752808988764	5.455056179775281	0.440889063106813	3701163772	300.0	0.25187265917602997	0.8609550561797753	0.5346441947565543	0.672752808988764	5.455056179775281	0.440889063106813	9	COMPLETE
10	0.8553370786516854	2020-03-06 09:36:17.619262	2020-03-06 09:48:24.620977	9.571083932807259	64	63	0.0012959630328553708	128	0.12045755891272386	0.22846441947565543	0.8553370786516854	0.49859550561797755	0.6479400749063671	5.804775280898877	0.4184544242809645	0.22846441947565543	0.8553370786516854	0.49859550561797755	0.6479400749063671	5.804775280898877	0.4184544242809645	2416332451	750.0	0.22846441947565543	0.8553370786516854	0.49859550561797755	0.6479400749063671	5.804775280898877	0.4184544242809645	10	COMPLETE
11	0.8459737827715356	2020-03-06 09:48:24.632025	2020-03-06 09:50:32.652418	5.136115275385699	256	56	0.00779139840361106	512	0.11968973392624171	0.24906367041198502	0.8459737827715356	0.5042134831460674	0.6381086142322098	5.756086142322097	0.42999765588944244	0.24906367041198502	0.8459737827715356	0.5042134831460674	0.6381086142322098	5.756086142322097	0.42999765588944244	2247874783	400.0	0.24906367041198502	0.8459737827715356	0.5042134831460674	0.6381086142322098	5.756086142322097	0.42999765588944244	11	COMPLETE
12	0.773876404494382	2020-03-06 09:50:32.664437	2020-03-06 09:53:11.504439	1.1308604209488293	64	74	0.09618527453853602	128	0.15650176252709347	0.14653558052434457	0.773876404494382	0.37780898876404495	0.5355805243445693	7.569756554307116	0.3267055202053659	0.14653558052434457	0.773876404494382	0.37780898876404495	0.5355805243445693	7.569756554307116	0.3267055202053659	2968959892	200.0	0.14653558052434457	0.773876404494382	0.37780898876404495	0.5355805243445693	7.569756554307116	0.3267055202053659	12	COMPLETE
13	0.7874531835205992	2020-03-06 09:53:11.515670	2020-03-06 09:53:52.170666	9.596382725331042	256	81	0.017849285079407227	512	0.1466062107805358	0.18632958801498128	0.7874531835205992	0.41058052434456926	0.5538389513108615	7.111423220973783	0.3590405120956582	0.18632958801498128	0.7874531835205992	0.41058052434456926	0.5538389513108615	7.111423220973783	0.3590405120956582	3352784796	150.0	0.18632958801498128	0.7874531835205992	0.41058052434456926	0.5538389513108615	7.111423220973783	0.3590405120956582	13	COMPLETE
14	0.8473782771535581	2020-03-06 09:53:52.182819	2020-03-06 09:56:12.409626	2.2149991401924414	128	7	0.005522529513832307	128	0.11743115556726323	0.2607677902621723	0.8473782771535581	0.5149812734082397	0.6451310861423221	5.65308988764045	0.4390306419766279	0.2607677902621723	0.8473782771535581	0.5149812734082397	0.6451310861423221	5.65308988764045	0.4390306419766279	2862394412	200.0	0.2607677902621723	0.8473782771535581	0.5149812734082397	0.6451310861423221	5.65308988764045	0.4390306419766279	14	COMPLETE
15	0.8548689138576779	2020-03-06 09:56:12.421767	2020-03-06 09:58:55.965004	2.9195353857686364	64	65	0.0020645259641479574	512	0.11999242541934835	0.22705992509363296	0.8548689138576779	0.50187265917603	0.6479400749063671	5.77621722846442	0.4174078602294803	0.22705992509363296	0.8548689138576779	0.50187265917603	0.6479400749063671	5.77621722846442	0.4174078602294803	3680859859	550.0	0.22705992509363296	0.8548689138576779	0.50187265917603	0.6479400749063671	5.77621722846442	0.4174078602294803	15	COMPLETE
