number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_optimizer.lr	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.37518543877667465	2020-03-10 09:34:02.739129	2020-03-10 10:33:37.523774	64	0.002971790613526126	128	0.007066227750846006	0.044746972333419836	0.15077598995777702	0.37518543877667465	0.2412986420175739	0.29413442884856783	306.640947734794	0.22447742539085516	0.15077598995777702	0.37529955494693595	0.2412986420175739	0.29413442884856783	306.64036288942145	0.2244810595449168	1969351817	200	0.15077598995777702	0.37518543877667465	0.2412986420175739	0.29413442884856783	306.6415325801666	0.2244752847491601	0	COMPLETE
1	0.3348453725892959	2020-03-10 10:33:37.569271	2020-03-10 12:50:09.014087	256	0.004214842499848448	512	0.017887827247507152	0.05483065092637003	0.13314504165240215	0.3348453725892959	0.21177108296245578	0.2584445965993381	375.83085130663017	0.1999945585579189	0.13314504165240215	0.3348453725892959	0.21177108296245578	0.2584445965993381	375.8178420632204	0.19999600142112567	4095447109	200	0.13314504165240215	0.3348453725892959	0.21177108296245578	0.2584445965993381	375.84386055003995	0.19999352329979328	1	COMPLETE
2	0.354216592491156	2020-03-10 12:50:09.046662	2020-03-10 14:23:40.126739	128	0.004920583123232811	128	0.02571397779367104	0.05369170668971552	0.1383658564418578	0.354216592491156	0.2254650233938149	0.2774164099052836	368.3502082620107	0.20975961718784522	0.13839438548442315	0.354473353874244	0.22577884286203356	0.2775875841606756	368.3355015405683	0.20986681078272781	186301199	200	0.1383658564418578	0.354045418235764	0.2254650233938149	0.27724523564989156	368.36491498345316	0.2097239024347472	2	COMPLETE
3	0.3965822207006733	2020-03-10 14:23:40.160890	2020-03-10 19:41:39.947866	128	0.004242403072098942	256	0.9454154360235444	0.08612608645493408	0.16692342804975466	0.3965822207006733	0.26734565787972153	0.323319639392902	587.856227889992	0.24329356332364038	0.16692342804975466	0.3965822207006733	0.26734565787972153	0.323319639392902	587.8558998060025	0.243293563574799	883113839	650	0.16692342804975466	0.3965822207006733	0.26734565787972153	0.323319639392902	587.8565559739815	0.2432935630730944	3	COMPLETE
4	0.0008558712769599452	2020-03-10 19:41:39.996606	2020-03-10 21:50:13.455004	256	0.03383847601077852	128	0.023982618176083315	1.0024777625474657	0.00011411617026132602	0.0008558712769599452	0.0003708775533493096	0.0005705808513066301	7163.547529384914	0.000791107007665195	0.00011411617026132602	0.0008558712769599452	0.0003708775533493096	0.0005705808513066301	7163.544904712998	0.0007911076550604852	2006995485	150	0.00011411617026132602	0.0008558712769599452	0.0003708775533493096	0.0005705808513066301	7163.55015405683	0.0007911063620601862	4	COMPLETE
5	0.0006561679790026247	2020-03-10 21:50:13.487042	2020-03-10 23:34:07.745176	256	0.05756959711945164	256	0.0012809466371511825	0.9877682085752982	0.00011411617026132602	0.0006561679790026247	0.00022823234052265205	0.0003708775533493096	7056.769499600593	0.0007439446770141478	0.00011411617026132602	0.0006561679790026247	0.00022823234052265205	0.0003708775533493096	7056.767231541709	0.0007439448195670402	1597153923	150	0.00011411617026132602	0.0006561679790026247	0.00022823234052265205	0.0003708775533493096	7056.7717676594775	0.0007439445345866057	5	COMPLETE
6	0.43258587241812163	2020-03-10 23:34:07.777798	2020-03-11 00:44:49.702907	64	0.005779875816374009	256	0.6431540317057921	0.055370500527787636	0.17668036060709802	0.43258587241812163	0.2850336642702271	0.34368937578454867	385.30330651603333	0.26009958595762944	0.17668036060709802	0.43258587241812163	0.2850336642702271	0.34368937578454867	385.30323519342693	0.26009958598410576	2250895528	250	0.17668036060709802	0.43258587241812163	0.2850336642702271	0.34368937578454867	385.30337783863973	0.2600995859311775	6	COMPLETE
7	0.3836015063334475	2020-03-11 00:44:49.758422	2020-03-11 01:59:19.768130	128	0.00260610483863949	512	0.22952938799589173	0.07690468398342026	0.15710943740728062	0.3836015063334475	0.25139792308570125	0.3038628323633459	538.0405397694853	0.23169113898016705	0.15710943740728062	0.3836015063334475	0.25139792308570125	0.3038628323633459	538.0373730457605	0.2316913150509208	1448615775	200	0.15710943740728062	0.3836015063334475	0.25139792308570125	0.3038628323633459	538.04370649321	0.23169098582395012	7	COMPLETE
8	0.3532180760013694	2020-03-11 01:59:19.800992	2020-03-11 03:13:47.160056	128	0.0036315216765628543	512	0.037435237211042915	0.05319151534447949	0.13810909505876984	0.3532180760013694	0.2231826999885884	0.2747917379892731	365.31100935752596	0.20899233623869876	0.13810909505876984	0.3532180760013694	0.2231826999885884	0.2747917379892731	365.3098254022595	0.2089927642628744	1546900689	200	0.13810909505876984	0.3532180760013694	0.2231826999885884	0.2747917379892731	365.31219331279243	0.20899201459408331	8	COMPLETE
9	0.3258872532237818	2020-03-11 03:13:47.196522	2020-03-11 05:28:41.640800	256	0.018537296848761476	512	0.0294731835740043	0.07326236604193075	0.13234622846057287	0.3258872532237818	0.20874700445053063	0.2560766860664156	508.735164897866	0.19681291580167518	0.17234394613716764	0.3852276617596713	0.2618680817071779	0.3095971699189775	475.91121761953667	0.24304149550702447	1492954503	200	0.13234622846057287	0.3230058199246833	0.20669291338582677	0.250256761383088	541.5591121761954	0.19463129816230407	9	COMPLETE
