number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_optimizer.lr	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.05300696108638594	2020-03-13 17:37:09.703084	2020-03-13 19:16:25.938672	128	0.059338255738564216	256	0.09233438840719552	0.5042976075764645	0.0021682072349651946	0.05300696108638594	0.02967020426794477	0.042907680018258586	3556.6629293620904	0.023755362797033604	0.9817414127581878	0.9817699418007532	0.9817414127581878	0.9817414127581878	120.09123587812392	0.9817552697827907	3320984390	350	0.0021682072349651946	0.0441914869336985	0.01571950245349766	0.02967020426794477	6993.234622846057	0.01523044111325428	0	COMPLETE
1	0.2293449731827	2020-03-13 19:16:25.984538	2020-03-13 21:25:44.290992	256	0.004542504961151167	256	0.04519959746903438	0.316139523284635	0.10230514663927878	0.2293449731827	0.1530297843204382	0.18386967933356158	2196.059654228004	0.14399672889503878	0.10230514663927878	0.2293449731827	0.1530297843204382	0.18386967933356158	2196.059483053749	0.14399672902198904	2461668593	250	0.10230514663927878	0.2293449731827	0.1530297843204382	0.18386967933356158	2196.0598254022593	0.14399672876836353	1	COMPLETE
2	0.22940203126783065	2020-03-13 21:25:44.336896	2020-03-13 23:03:03.679727	256	0.004885918550628323	256	0.0012455113215281688	0.3151645965497526	0.0985107839780897	0.22940203126783065	0.15097569325573434	0.18204382060938035	2187.0935895241355	0.1415132220126037	0.0985107839780897	0.22940203126783065	0.15097569325573434	0.18204382060938035	2187.0934896724866	0.14151322201771194	1785189060	200	0.0985107839780897	0.22940203126783065	0.15097569325573434	0.18204382060938035	2187.0936893757844	0.1415132220074969	2	COMPLETE
3	0.25835900947164214	2020-03-13 23:03:03.727079	2020-03-13 23:49:58.807376	128	0.0013817207893871395	512	0.0411813455678451	0.2304464439318018	0.11719730685838184	0.25835900947164214	0.17790710943740728	0.21117197306858382	1595.7949332420403	0.16484664267890559	0.11719730685838184	0.25835900947164214	0.17790710943740728	0.21117197306858382	1595.794762067785	0.16484664270996158	960065108	200	0.11719730685838184	0.25835900947164214	0.17790710943740728	0.21117197306858382	1595.7951044162958	0.1648466426478773	3	COMPLETE
4	0.23168435467305717	2020-03-13 23:49:58.852850	2020-03-14 00:49:15.164451	128	0.004154429395348693	128	0.3091832183719745	0.24964011483334161	0.10027958461714025	0.23168435467305717	0.15297272623530755	0.18384115029099624	1724.2328255163757	0.14419727067247248	0.10027958461714025	0.23168435467305717	0.15297272623530755	0.18384115029099624	1724.2325972840351	0.14419727074207525	853414428	200	0.10027958461714025	0.23168435467305717	0.15297272623530755	0.18384115029099624	1724.2330537487162	0.144197270602938	4	COMPLETE
5	0.24563505648750428	2020-03-14 00:49:15.200317	2020-03-14 01:27:17.617629	64	0.008203527873356445	128	0.06987745449833874	0.26347894902499086	0.1119194339837955	0.24563505648750428	0.16755106698619193	0.1990186009357526	1823.7210572863175	0.1563804842080745	0.1119194339837955	0.24563505648750428	0.16755106698619193	0.1990186009357526	1823.7209574346684	0.15638048425895282	2750590765	200	0.1119194339837955	0.24563505648750428	0.16755106698619193	0.1990186009357526	1823.7211571379664	0.15638048415724928	5	COMPLETE
6	0.21496633572977292	2020-03-14 01:27:17.658554	2020-03-14 02:52:36.669251	256	0.025035197073362374	512	0.0802871069930542	0.38476295758076384	0.10230514663927878	0.21496633572977292	0.14917836357411846	0.17562478603218076	2703.281838411503	0.14014945900455045	0.10307543078854274	0.21602191030469017	0.15051922857468902	0.17707976720301266	2701.2989273079997	0.14103834524047373	1295825564	200	0.10230514663927878	0.21448134200616228	0.14903571836129179	0.17542508273422344	2705.2647495150063	0.13994838119169153	6	COMPLETE
7	0.002396439575487847	2020-03-14 02:52:36.707780	2020-03-14 04:11:05.492042	256	0.07181632799849455	128	0.014009546154350065	0.7582980851057319	0.0	0.002396439575487847	0.0	5.705808513066301e-05	5393.259271938834	0.0018403773052059267	0.9915268743580965	0.9915554034006618	0.9915554034006618	0.9915554034006618	71.00904370649322	0.9915449042776714	3831527227	150	0.0	5.705808513066301e-05	0.0	0.0	10715.509500171174	0.0009447613441238243	7	COMPLETE
8	0.23282551637567042	2020-03-14 04:11:05.525021	2020-03-14 05:10:15.756196	128	0.013446283872691464	128	0.1684444124049066	0.33392659659052915	0.1047586442998973	0.23282551637567042	0.15539769485336072	0.1855243638023508	2323.83630035376	0.1466105787361552	0.1047586442998973	0.23285404541823576	0.15539769485336072	0.18555289284491613	2323.833361862376	0.14661743151646664	3413216890	200	0.1047586442998973	0.23282551637567042	0.15539769485336072	0.1855243638023508	2323.8392388451443	0.14661044146919966	8	COMPLETE
9	0.23219787743923315	2020-03-14 05:10:15.792803	2020-03-14 07:11:02.143212	256	0.0014246748383480725	128	0.002354557568757103	0.3070491516157823	0.10219103046901747	0.23219787743923315	0.15608239187492867	0.18766404199475065	2132.1362832363347	0.14537553398954947	0.10219103046901747	0.23219787743923315	0.15608239187492867	0.18766404199475065	2132.136112062079	0.14537553404758546	1747824528	200	0.10219103046901747	0.23219787743923315	0.15608239187492867	0.18766404199475065	2132.13645441059	0.14537553393159144	9	COMPLETE
