number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_optimizer.lr	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.09737827715355805	2020-03-16 22:38:06.185195	2020-03-16 22:38:36.115109	256	0.00103372124239817	128	0.02007682705666464	0.9916101157776872	0.012172284644194757	0.09737827715355805	0.02902621722846442	0.04962546816479401	47.80524344569288	0.05348832309129481	0.012172284644194757	0.09737827715355805	0.02902621722846442	0.04962546816479401	47.80524344569288	0.05348832309129481	627417443	150.0	0.012172284644194757	0.09737827715355805	0.02902621722846442	0.04962546816479401	47.80524344569288	0.05348832309129481	0	COMPLETE
1	0.10533707865168539	2020-03-16 22:38:36.160326	2020-03-16 22:39:25.257919	128	0.004808127481457223	128	0.29372197922026394	1.0179075808892173	0.011704119850187267	0.10533707865168539	0.0299625468164794	0.05056179775280899	49.08941947565543	0.053538012759025685	0.011704119850187267	0.10533707865168539	0.0299625468164794	0.05056179775280899	49.08941947565543	0.053538012759025685	3076082314	250.0	0.011704119850187267	0.10533707865168539	0.0299625468164794	0.05056179775280899	49.08941947565543	0.053538012759025685	1	COMPLETE
2	0.10112359550561797	2020-03-16 22:39:25.305716	2020-03-16 22:39:44.474831	128	0.005520407013283906	256	0.002022185436246289	1.0133584293707758	0.012172284644194757	0.10112359550561797	0.02902621722846442	0.05102996254681648	48.88998127340824	0.05374890879865435	0.012172284644194757	0.10112359550561797	0.02902621722846442	0.05102996254681648	48.88998127340824	0.05374890879865435	2287537115	150.0	0.012172284644194757	0.10112359550561797	0.02902621722846442	0.05102996254681648	48.88998127340824	0.05374890879865435	2	COMPLETE
3	0.10580524344569288	2020-03-16 22:39:44.501424	2020-03-16 22:40:00.085576	64	0.05259972856090246	512	0.0018080387701284843	0.9969752304629189	0.01638576779026217	0.10580524344569288	0.03651685393258427	0.05337078651685393	48.14513108614232	0.05836279626570224	0.01638576779026217	0.10580524344569288	0.03651685393258427	0.05337078651685393	48.14513108614232	0.05836279626570224	2354100949	150.0	0.01638576779026217	0.10580524344569288	0.03651685393258427	0.05337078651685393	48.14513108614232	0.05836279626570224	3	COMPLETE
4	0.10861423220973783	2020-03-16 22:40:00.111695	2020-03-16 22:40:26.051524	256	0.0010649268507544312	128	0.001262421849376506	0.9809707099997372	0.009831460674157303	0.10861423220973783	0.0299625468164794	0.05337078651685393	47.34316479400749	0.054345883100238905	0.009831460674157303	0.10861423220973783	0.0299625468164794	0.05337078651685393	47.34316479400749	0.054345883100238905	48547542	150.0	0.009831460674157303	0.10861423220973783	0.0299625468164794	0.05337078651685393	47.34316479400749	0.054345883100238905	4	COMPLETE
5	0.09176029962546817	2020-03-16 22:40:26.084184	2020-03-16 22:40:46.546424	128	0.012827785340894394	256	0.16400312862876526	1.0031695357237835	0.011235955056179775	0.09176029962546817	0.02902621722846442	0.04962546816479401	48.41011235955056	0.05243583411330484	0.011235955056179775	0.09176029962546817	0.02902621722846442	0.04962546816479401	48.41011235955056	0.05243583411330484	3279757195	150.0	0.011235955056179775	0.09176029962546817	0.02902621722846442	0.04962546816479401	48.41011235955056	0.05243583411330484	5	COMPLETE
6	0.10018726591760299	2020-03-16 22:40:46.591166	2020-03-16 22:41:05.345660	64	0.008118975285990652	256	0.00821163447877521	1.0033366458790467	0.0056179775280898875	0.10018726591760299	0.025749063670411985	0.0449438202247191	48.431179775280896	0.04818169669508965	0.0056179775280898875	0.10018726591760299	0.025749063670411985	0.0449438202247191	48.431179775280896	0.04818169669508965	480887157	150.0	0.0056179775280898875	0.10018726591760299	0.025749063670411985	0.0449438202247191	48.431179775280896	0.04818169669508965	6	COMPLETE
7	0.09176029962546817	2020-03-16 22:41:05.366722	2020-03-16 22:41:25.161971	128	0.001958836878238953	256	0.0033415161298220694	1.0238861716169279	0.009831460674157303	0.09176029962546817	0.032303370786516857	0.05102996254681648	49.41058052434457	0.05211614870369713	0.009831460674157303	0.09176029962546817	0.032303370786516857	0.05102996254681648	49.41058052434457	0.05211614870369713	647377108	150.0	0.009831460674157303	0.09176029962546817	0.032303370786516857	0.05102996254681648	49.41058052434457	0.05211614870369713	7	COMPLETE
8	0.11423220973782772	2020-03-16 22:41:25.188507	2020-03-16 22:42:19.624898	128	0.03959313837445374	256	0.0514120560531265	0.9410375392906828	0.009831460674157303	0.11423220973782772	0.035580524344569285	0.06367041198501873	45.33661048689139	0.057992731250444636	0.009831460674157303	0.11423220973782772	0.035580524344569285	0.06367041198501873	45.33661048689139	0.057992731250444636	3857285260	350.0	0.009831460674157303	0.11423220973782772	0.035580524344569285	0.06367041198501873	45.33661048689139	0.057992731250444636	8	COMPLETE
9	0.6647940074906367	2020-03-16 22:42:19.690801	2020-03-16 22:45:28.624754	256	0.07476221861399841	256	0.005135793196240845	0.254871539355601	0.19054307116104868	0.6647940074906367	0.38108614232209737	0.5014044943820225	12.26123595505618	0.33850824769006704	0.19054307116104868	0.6647940074906367	0.38108614232209737	0.5014044943820225	12.26123595505618	0.33850824769006704	1547884628		0.19054307116104868	0.6647940074906367	0.38108614232209737	0.5014044943820225	12.26123595505618	0.33850824769006704	9	COMPLETE
10	0.11657303370786516	2020-03-16 22:45:28.651541	2020-03-16 22:45:53.855613	64	0.017612887567547253	128	0.02733365405437333	0.971723109066019	0.012172284644194757	0.11657303370786516	0.04073033707865169	0.06413857677902622	46.83661048689139	0.05952768019936862	0.012172284644194757	0.11657303370786516	0.04073033707865169	0.06413857677902622	46.83661048689139	0.05952768019936862	828462520	150.0	0.012172284644194757	0.11657303370786516	0.04073033707865169	0.06413857677902622	46.83661048689139	0.05952768019936862	10	COMPLETE
11	0.11142322097378277	2020-03-16 22:45:53.903888	2020-03-16 22:46:30.951112	128	0.0020747497271485942	128	0.011970657248049412	0.9925807806434744	0.010299625468164793	0.11142322097378277	0.03698501872659176	0.06179775280898876	47.86563670411985	0.05666059182338913	0.010299625468164793	0.11142322097378277	0.03698501872659176	0.06179775280898876	47.86563670411985	0.05666059182338913	211267392	200.0	0.010299625468164793	0.11142322097378277	0.03698501872659176	0.06179775280898876	47.86563670411985	0.05666059182338913	11	COMPLETE
12	0.11282771535580524	2020-03-16 22:46:30.972441	2020-03-16 22:46:55.924724	128	0.016155318685444318	128	0.0018121766989913786	0.9754093269519298	0.008426966292134831	0.11282771535580524	0.033707865168539325	0.054775280898876406	47.05290262172284	0.05462289612962256	0.008426966292134831	0.11282771535580524	0.033707865168539325	0.054775280898876406	47.05290262172284	0.05462289612962256	258463541	150.0	0.008426966292134831	0.11282771535580524	0.033707865168539325	0.054775280898876406	47.05290262172284	0.05462289612962256	12	COMPLETE
