number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_optimizer.lr	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.8473782771535581	2020-03-17 01:56:29.917095	2020-03-17 01:57:09.179552	64	0.010979399700691197	128	0.13798572995596153	0.13268655828507234	0.22705992509363296	0.8473782771535581	0.5088951310861424	0.6685393258426966	6.401685393258427	0.41869684780251254	0.22705992509363296	0.8473782771535581	0.5088951310861424	0.6685393258426966	6.401685393258427	0.41869684780251254	2828747590	300	0.22705992509363296	0.8473782771535581	0.5088951310861424	0.6685393258426966	6.401685393258427	0.41869684780251254	0	COMPLETE
1	0.727996254681648	2020-03-17 01:57:09.228857	2020-03-17 01:57:50.717714	128	0.0016778036125750192	256	0.36544756276132573	0.211719596203877	0.1647940074906367	0.727996254681648	0.39325842696629215	0.5323033707865169	10.243913857677903	0.3342753108336498	0.1647940074906367	0.727996254681648	0.39325842696629215	0.5323033707865169	10.243913857677903	0.3342753108336498	714244522	450	0.1647940074906367	0.727996254681648	0.39325842696629215	0.5323033707865169	10.243913857677903	0.3342753108336498	1	COMPLETE
2	0.8108614232209738	2020-03-17 01:57:50.745075	2020-03-17 01:58:12.650532	128	0.008430780045448286	128	0.0015275524017583659	0.14771122567718395	0.20224719101123595	0.8108614232209738	0.4854868913857678	0.6306179775280899	7.156367041198502	0.3929275021886805	0.20224719101123595	0.8108614232209738	0.4854868913857678	0.6306179775280899	7.156367041198502	0.3929275021886805	2158838187	200	0.20224719101123595	0.8108614232209738	0.4854868913857678	0.6306179775280899	7.156367041198502	0.3929275021886805	2	COMPLETE
3	0.8132022471910112	2020-03-17 01:58:12.677291	2020-03-17 01:58:57.503142	64	0.001372814263358308	256	0.0025446399444684097	0.1394115315840932	0.24719101123595505	0.8132022471910112	0.5056179775280899	0.6441947565543071	6.746722846441948	0.42319475319058725	0.24719101123595505	0.8132022471910112	0.5056179775280899	0.6441947565543071	6.746722846441948	0.42319475319058725	152332432	500	0.24719101123595505	0.8132022471910112	0.5056179775280899	0.6441947565543071	6.746722846441948	0.42319475319058725	3	COMPLETE
4	0.10252808988764045	2020-03-17 01:58:57.524558	2020-03-17 01:59:08.419408	128	0.010509635612906918	256	0.8263465793254052	1.0024670950069061	0.013576779026217229	0.10252808988764045	0.035580524344569285	0.05337078651685393	48.299157303370784	0.05595810309655157	0.013576779026217229	0.10252808988764045	0.035580524344569285	0.05337078651685393	48.299157303370784	0.05595810309655157	4125654346	150	0.013576779026217229	0.10252808988764045	0.035580524344569285	0.05337078651685393	48.299157303370784	0.05595810309655157	4	COMPLETE
5	0.7528089887640449	2020-03-17 01:59:08.446832	2020-03-17 01:59:29.140878	128	0.005481079044958256	256	0.0022769024752242093	0.18394320773933961	0.1802434456928839	0.7528089887640449	0.4133895131086142	0.550561797752809	8.866573033707866	0.3532701298619552	0.1802434456928839	0.7528089887640449	0.4133895131086142	0.550561797752809	8.866573033707866	0.3532701298619552	399534314	250	0.1802434456928839	0.7528089887640449	0.4133895131086142	0.550561797752809	8.866573033707866	0.3532701298619552	5	COMPLETE
6	0.7331460674157303	2020-03-17 01:59:29.162237	2020-03-17 01:59:54.167661	128	0.00196286912681513	256	0.15828699003169208	0.19503182483041723	0.1802434456928839	0.7331460674157303	0.43679775280898875	0.5697565543071161	9.438202247191011	0.3573703442376701	0.1802434456928839	0.7331460674157303	0.43679775280898875	0.5697565543071161	9.438202247191011	0.3573703442376701	1297764325	300	0.1802434456928839	0.7331460674157303	0.43679775280898875	0.5697565543071161	9.438202247191011	0.3573703442376701	6	COMPLETE
7	0.7734082397003745	2020-03-17 01:59:54.194472	2020-03-17 02:00:30.821037	256	0.016042698433825872	128	0.2174614615880322	0.16860634037328376	0.16338951310861424	0.7734082397003745	0.41198501872659177	0.5617977528089888	8.11376404494382	0.3456270353863166	0.16338951310861424	0.7734082397003745	0.41198501872659177	0.5617977528089888	8.11376404494382	0.3456270353863166	4234091740	300	0.16338951310861424	0.7734082397003745	0.41198501872659177	0.5617977528089888	8.11376404494382	0.3456270353863166	7	COMPLETE
8	0.8389513108614233	2020-03-17 02:00:30.859231	2020-03-17 02:00:53.012248	256	0.04185572107428451	128	0.20491558351785596	0.1338143571531086	0.23876404494382023	0.8389513108614233	0.49765917602996257	0.6629213483146067	6.45248127340824	0.42302138077653684	0.2532771535580524	0.8389513108614233	0.49953183520599254	0.6633895131086143	6.437265917602996	0.4294917154772086	695542707	200	0.23876404494382023	0.8389513108614233	0.4953183520599251	0.6619850187265918	6.467696629213483	0.4205107541788315	8	COMPLETE
9	0.7102059925093633	2020-03-17 02:00:53.039108	2020-03-17 02:01:29.058938	128	0.001004947246336479	128	0.0024407938051511525	0.20558858165353508	0.16853932584269662	0.7102059925093633	0.40636704119850187	0.5397940074906367	9.922752808988765	0.3383072036161836	0.16853932584269662	0.7102059925093633	0.40636704119850187	0.5397940074906367	9.922752808988765	0.3383072036161836	885308761	300	0.16853932584269662	0.7102059925093633	0.40636704119850187	0.5397940074906367	9.922752808988765	0.3383072036161836	9	COMPLETE
