number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.037889518413597736	2020-04-01 17:40:55.612575	2020-04-01 18:06:31.560699	256	15	0.014246611275204208	128	0.3817151889445244	0.0026558073654390935	0.037889518413597736	0.009383852691218131	0.018413597733711047	7738.877655807365	0.018345659555069543	0.2303470254957507	0.2415014164305949	0.23441926345609065	0.23742917847025496	7728.385092067989	0.23523829011878108	1458080350	200	0.0026558073654390935	0.023548158640226628	0.007082152974504249	0.011862606232294617	7749.370219546742	0.012868707823638692	0	COMPLETE
1	0.4373229461756374	2020-04-01 18:06:31.608795	2020-04-01 18:22:28.573402	128	33	0.009220138633881705	512	0.19453088617721342	0.3810198300283286	0.4373229461756374	0.40580736543909346	0.41660764872521244	3943.2081267705385	0.40120230761344194	0.3810198300283286	0.4373229461756374	0.40580736543909346	0.41660764872521244	3943.207684135977	0.4012023076350904	1236593209	300	0.3810198300283286	0.4373229461756374	0.40580736543909346	0.41660764872521244	3943.2085694050993	0.4012023075918027	1	COMPLETE
2	0.4293555240793201	2020-04-01 18:22:28.621084	2020-04-01 18:39:12.900028	128	58	0.010240992164988378	512	0.18591562253442476	0.3773016997167139	0.4293555240793201	0.4012039660056657	0.41165014164305946	3768.2955913597734	0.39650091286075384	0.3773016997167139	0.4293555240793201	0.4012039660056657	0.41165014164305946	3768.295325779037	0.39650091286274636	1964297163	300	0.3773016997167139	0.4293555240793201	0.4012039660056657	0.41165014164305946	3768.29585694051	0.39650091285876155	2	COMPLETE
3	0.43059490084985835	2020-04-01 18:39:12.934139	2020-04-01 19:07:57.017181	64	70	0.008721210552733314	256	0.2146649302522333	0.37694759206798867	0.43059490084985835	0.4035056657223796	0.4118271954674221	4350.819670679886	0.39647097729649516	0.37747875354107646	0.43059490084985835	0.4035056657223796	0.4118271954674221	4350.819050991501	0.3966480311230641	2361404568	350	0.37694759206798867	0.43059490084985835	0.4035056657223796	0.4118271954674221	4350.820290368272	0.3963824503821077	3	COMPLETE
4	0.4711402266288952	2020-04-01 19:07:57.052393	2020-04-01 19:46:52.874293	256	47	0.0015256868408044955	256	0.1769843408593098	0.38987252124645894	0.4711402266288952	0.4348441926345609	0.4520184135977337	3587.526735127479	0.4206005079368027	0.38987252124645894	0.4711402266288952	0.4348441926345609	0.4520184135977337	3587.5262039660056	0.42060052170453766	3545924256	400	0.38987252124645894	0.4711402266288952	0.4348441926345609	0.4520184135977337	3587.527266288952	0.4206004943387823	4	COMPLETE
5	0.47361898016997167	2020-04-01 19:46:52.924276	2020-04-01 20:25:59.206692	128	3	0.0013839448997090135	512	0.17588830537860556	0.3834985835694051	0.47361898016997167	0.43502124645892354	0.4506019830028329	3565.1666076487254	0.4179229097664811	0.3834985835694051	0.47361898016997167	0.43502124645892354	0.4506019830028329	3565.166076487252	0.4179229097785071	3721855851	700	0.3834985835694051	0.47361898016997167	0.43502124645892354	0.4506019830028329	3565.167138810198	0.4179229097544579	5	COMPLETE
6	0.4456444759206799	2020-04-01 20:25:59.257690	2020-04-01 21:14:56.751866	64	79	0.0021329747063123213	128	0.18290421303743865	0.38190509915014165	0.4456444759206799	0.414128895184136	0.4256373937677054	3707.018148016997	0.4058425309518738	0.38190509915014165	0.4456444759206799	0.414128895184136	0.4256373937677054	3707.0178824362606	0.40584253095646805	3109660788	350	0.38190509915014165	0.4456444759206799	0.414128895184136	0.4256373937677054	3707.018413597734	0.4058425309472805	6	COMPLETE
7	0.3893413597733711	2020-04-01 21:14:56.789800	2020-04-01 21:40:01.343168	128	64	0.015445079191022597	128	0.26843367669270685	0.0625	0.3893413597733711	0.27124645892351273	0.3410056657223796	5441.106586402267	0.19316179176045734	0.29408640226628896	0.39040368271954673	0.32754957507082155	0.3553470254957507	5440.699008498584	0.3222239972549046	2288111596	200	0.0625	0.379957507082153	0.20768413597733712	0.29904390934844194	5441.514164305949	0.15996581927513392	7	COMPLETE
8	0.0012393767705382436	2020-04-01 21:40:01.379360	2020-04-01 21:56:41.503300	128	46	0.08956332200130201	128	0.9992237195785864	0.000708215297450425	0.0012393767705382436	0.000708215297450425	0.000708215297450425	20257.254691926344	0.0010448156170696518	0.000708215297450425	0.0012393767705382436	0.000708215297450425	0.000708215297450425	20257.251062322946	0.001044815659625698	1855112955	150	0.000708215297450425	0.0012393767705382436	0.000708215297450425	0.000708215297450425	20257.258321529745	0.0010448155745225382	8	COMPLETE
9	0.00017705382436260624	2020-04-01 21:56:41.546046	2020-04-01 22:14:16.328876	256	28	0.051804334276714395	128	1.007161875490598	0.0	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	20418.56497875354	0.00030063877734111703	0.0	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	20418.5632082153	0.00030063879219533574	3551518777	150	0.0	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	20418.566749291786	0.00030063876248893407	9	COMPLETE
