number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.4215548413017276	2020-05-21 02:48:14.009921	2020-05-21 04:53:52.132479	128	5	0.0018775539188749788	4096	0.04415350610439417	0.12073121735636802	0.4215548413017276	0.2471876255524307	0.31649256729610287	2519.578194053837	0.21777463701339353	0.12073121735636802	0.4215548413017276	0.2471876255524307	0.31649256729610287	2519.5779429489753	0.2177746370339281	189460219	260	0.12073121735636802	0.4215548413017276	0.2471876255524307	0.31649256729610287	2519.5784451586983	0.217774636992872	0	COMPLETE
1	0.030634793089594214	2020-05-21 04:53:52.220277	2020-05-21 08:00:48.941732	256	1	0.011531892210665985	1024	0.4649561207084002	0.014865407794294898	0.030634793089594214	0.02038971474487746	0.024407392527119324	28098.891422257933	0.021213240179430114	0.014865407794294898	0.030634793089594214	0.02038971474487746	0.024407392527119324	28098.891020490155	0.021213240182906344	4196196342	120	0.014865407794294898	0.030634793089594214	0.02038971474487746	0.024407392527119324	28098.89182402571	0.021213240175954422	1	COMPLETE
2	0.30725190839694655	2020-05-21 08:00:49.000564	2020-05-21 09:59:25.653520	64	49	0.0037383419758425076	2048	0.03904489864476575	0.08808758537565287	0.30725190839694655	0.17969063881076738	0.22991161108879068	2182.5766874246688	0.16213879455147706	0.08808758537565287	0.30725190839694655	0.17969063881076738	0.22991161108879068	2182.576235435918	0.16213879456194244	3124545151	160	0.08808758537565287	0.30725190839694655	0.17969063881076738	0.22991161108879068	2182.577139413419	0.16213879454101573	2	COMPLETE
3	0.07161510646846123	2020-05-21 09:59:25.713413	2020-05-21 10:39:50.586087	64	5	0.006717105745870171	2048	0.06127439071678982	0.011450381679389313	0.07161510646846123	0.02812374447569305	0.043390920048212135	3543.120329449578	0.0354376938816021	0.011450381679389313	0.07161510646846123	0.02812374447569305	0.043390920048212135	3543.1199276817997	0.03543769388932052	3652979298	80	0.011450381679389313	0.07161510646846123	0.02812374447569305	0.043390920048212135	3543.1207312173565	0.035437693873885436	3	COMPLETE
4	0.016974688629971875	2020-05-21 10:39:50.643832	2020-05-21 13:41:37.947250	256	18	0.01193928395382625	1024	0.4179966925964362	0.00592607472880675	0.016974688629971875	0.009240658899156288	0.011651265568501407	25037.50040176778	0.010495748879786042	0.00592607472880675	0.016974688629971875	0.009240658899156288	0.011651265568501407	25037.498694254722	0.01049574888442245	2458995321	100	0.00592607472880675	0.016974688629971875	0.009240658899156288	0.011651265568501407	25037.502109280835	0.010495748875150254	4	COMPLETE
5	0.024106066693451184	2020-05-21 13:41:38.010663	2020-05-21 14:36:16.914757	64	11	0.011593219662942123	1024	0.20075724337397655	0.005825632784250703	0.024106066693451184	0.010747288067496986	0.015166733627963037	11919.187525110487	0.014102531536815323	0.005825632784250703	0.024106066693451184	0.010747288067496986	0.015166733627963037	11919.18652069104	0.014102531539401882	3943673107	70	0.005825632784250703	0.024106066693451184	0.010747288067496986	0.015166733627963037	11919.188529529933	0.014102531534229027	5	COMPLETE
6	0.04640417838489353	2020-05-21 14:36:16.978600	2020-05-21 17:17:47.969214	256	33	0.011823894518799718	2048	0.276593978809131	0.018179991964644437	0.04640417838489353	0.026416231418240257	0.033547609481719566	16419.829700683003	0.029642523080011245	0.018179991964644437	0.04640417838489353	0.026416231418240257	0.033547609481719566	16419.82804339092	0.02964252336316121	863667379	110	0.018179991964644437	0.04640417838489353	0.026416231418240257	0.033547609481719566	16419.83135797509	0.029642522797522684	6	COMPLETE
7	0.11450381679389313	2020-05-21 17:17:48.032070	2020-05-21 21:06:07.875877	256	50	0.007061990350059508	2048	0.14774909541836392	0.042486942547207716	0.11450381679389313	0.0678987545198875	0.08386902370429891	8657.497288067498	0.06899122320262883	0.042486942547207716	0.11450381679389313	0.0678987545198875	0.08386902370429891	8657.496283648052	0.06899122322589786	2926773390	130	0.042486942547207716	0.11450381679389313	0.0678987545198875	0.08386902370429891	8657.498292486942	0.06899122317936991	7	COMPLETE
8	0.48282442748091603	2020-05-21 21:06:07.947457	2020-05-21 23:46:27.637688	64	41	0.0027559278097648585	8192	0.03623387839239347	0.17848533547609483	0.48282442748091603	0.3209120128565689	0.39272800321414225	2026.2407593411008	0.27976983196686817	0.17848533547609483	0.48282442748091603	0.3209120128565689	0.39272800321414225	2026.2404580152672	0.2797698319906031	1050626783	300	0.17848533547609483	0.48282442748091603	0.3209120128565689	0.39272800321414225	2026.2410606669346	0.2797698319431487	8	COMPLETE
9	0.04951787866613098	2020-05-21 23:46:27.727971	2020-05-22 00:38:54.445096	128	4	0.013137917272721428	4096	0.13288229742424354	0.01597026918441141	0.04951787866613098	0.02601446364001607	0.03214142225793491	7831.23588790679	0.029833589687098185	0.01597026918441141	0.04951787866613098	0.02601446364001607	0.03214142225793491	7831.235134592206	0.029833589709826365	3515486978	110	0.01597026918441141	0.04951787866613098	0.02601446364001607	0.03214142225793491	7831.236641221374	0.029833589664384385	9	COMPLETE
10	0.5252109280835677	2020-05-22 00:38:54.509170	2020-05-22 03:56:08.034817	256	30	0.002476830159492117	8192	0.052044907200213944	0.2088188027320209	0.5252109280835677	0.36028525512253917	0.4336078746484532	3009.3691241462434	0.3134021065183989	0.2088188027320209	0.5252109280835677	0.36028525512253917	0.4336078746484532	3009.3688228204096	0.313402106522574	1795314885	190	0.2088188027320209	0.5252109280835677	0.36028525512253917	0.4336078746484532	3009.369425472077	0.31340210651422473	10	COMPLETE
