number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.4263094830537487	2021-04-09 20:20:24.826933	2021-04-09 20:49:37.336001	0.3391047075741227	13.519184699506107	256	33	0.0015100416112080652	512	0.04334574203899165	0.13990642474038573	0.4263094830537487	0.25450758872532236	0.32862604131005363	293.39618281410475	0.23201336961945193	0.13990642474038573	0.4263094830537487	0.25450758872532236	0.32862604131005363	293.39601163984935	0.23201337502370092	1403905950	151	0.13990642474038573	0.4263094830537487	0.25450758872532236	0.32862604131005363	293.39635398836015	0.23201336430152517	0	COMPLETE
1	0.3740442770740614	2021-04-09 20:49:37.424602	2021-04-09 22:22:22.979886	0.536458897993272	3.6483095099571696	256	64	0.004380183760189327	128	0.0414697580347574	0.1187093461143444	0.3740442770740614	0.21202784434554375	0.27464909277644645	278.5520369736392	0.20049973237662438	0.1187093461143444	0.3740442770740614	0.21202784434554375	0.27464909277644645	278.55195138651146	0.20049973246281466	1830564461	151	0.1187093461143444	0.3740442770740614	0.21202784434554375	0.27464909277644645	278.55212256076686	0.20049973229060802	1	COMPLETE
2	0.32155083875385143	2021-04-09 22:22:23.048013	2021-04-09 23:12:10.843201	0.8552518259415277	27.802660748736184	256	98	0.010612957303380393	512	0.040010250236843084	0.09731256419034577	0.32155083875385143	0.1828141047586443	0.23271140020540912	271.20445338354443	0.17315520358699593	0.09731256419034577	0.32155083875385143	0.1828141047586443	0.23271140020540912	271.20443911902316	0.17315520364610473	2266537511	201	0.09731256419034577	0.32155083875385143	0.1828141047586443	0.23271140020540912	271.20446764806576	0.17315520352800728	2	COMPLETE
3	0.42639507018144474	2021-04-09 23:12:10.901460	2021-04-10 00:01:36.865327	0.6679176633931652	6.088757089221528	128	47	0.0011260732695488867	256	0.04453686995734533	0.14387196165696678	0.42639507018144474	0.2616113203240899	0.32702841492639506	300.8589238845144	0.23550655505522133	0.14387196165696678	0.42639507018144474	0.2616113203240899	0.32702841492639506	300.8588097683442	0.2355065558486221	1547653059	151	0.14387196165696678	0.42639507018144474	0.2616113203240899	0.32702841492639506	300.8590380006847	0.23550655426713504	3	COMPLETE
4	0.18966107497432386	2021-04-10 00:01:36.951237	2021-04-10 03:02:29.067448	0.9905800530264413	24.65227309443391	128	53	0.048380940728688836	128	0.05274912264646202	0.05546045874700445	0.18966107497432386	0.09457377610407394	0.1269257103731599	362.922586442999	0.10216322217308604	0.05546045874700445	0.18966107497432386	0.09457377610407394	0.1269257103731599	362.9225151203926	0.10216322293323395	567590170	301	0.05546045874700445	0.18966107497432386	0.09457377610407394	0.1269257103731599	362.9226577656054	0.10216322141784362	4	COMPLETE
5	0.4151831564532694	2021-04-10 03:02:29.148304	2021-04-10 03:35:51.379314	0.835165335478744	1.7759824056350562	128	91	0.0016478855397675813	512	0.04380472795155595	0.14372931644414014	0.4151831564532694	0.25587698276845827	0.3198105671573662	299.0291566815018	0.2320894331122951	0.14372931644414014	0.4151831564532694	0.25587698276845827	0.3198105671573662	299.02909962341664	0.23208944436447615	4056526089	151	0.14372931644414014	0.4151831564532694	0.25587698276845827	0.3198105671573662	299.0292137395869	0.2320894221555485	5	COMPLETE
6	0.42987561337441516	2021-04-10 03:35:51.440590	2021-04-10 04:10:39.211798	0.9319960306332943	7.128486369230711	256	77	0.001037324048936701	512	0.043183600602896687	0.14623987218988932	0.42987561337441516	0.26263836585644185	0.3303948419491042	291.98393814903574	0.23785616394068632	0.14623987218988932	0.42987561337441516	0.26263836585644185	0.3303948419491042	291.98382403286547	0.23785616490249548	762176520	151	0.14623987218988932	0.42987561337441516	0.26263836585644185	0.3303948419491042	291.984052265206	0.23785616298415527	6	COMPLETE
7	0.16512609836813877	2021-04-10 04:10:39.305827	2021-04-10 07:13:13.288321	0.4379635721025982	15.180616824499701	64	65	0.05948575106841927	128	0.05729595204775552	0.05041081821294077	0.16512609836813877	0.0864715280155198	0.114544105899806	394.9610578568983	0.09369085013666795	0.05041081821294077	0.16512609836813877	0.0864715280155198	0.114544105899806	394.96097226977065	0.0936908502890626	3345798077	301	0.05041081821294077	0.16512609836813877	0.0864715280155198	0.114544105899806	394.961143444026	0.09369084998453167	7	COMPLETE
8	0.39943512495720646	2021-04-10 07:13:13.353971	2021-04-10 08:22:43.189990	0.1345218293864171	17.247968694634753	64	76	0.0017505980977516639	256	0.04427520962946296	0.13508501654684468	0.39943512495720646	0.2398721898893073	0.30255049640534065	300.4493466849253	0.22030630325081849	0.13508501654684468	0.39943512495720646	0.2398721898893073	0.30255049640534065	300.4493038913614	0.2203063033298758	1758367007	201	0.13508501654684468	0.39943512495720646	0.2398721898893073	0.30255049640534065	300.4493894784891	0.22030630317188094	8	COMPLETE
9	0.421944539541253	2021-04-10 08:22:43.253564	2021-04-10 09:11:09.345524	0.8213805453506734	16.453824709787842	128	33	0.0028145777524934	256	0.042055260707695725	0.14056259271938834	0.421944539541253	0.2539084788314504	0.3192970443911902	283.6445709231998	0.23055545922808982	0.14056259271938834	0.421944539541253	0.2539084788314504	0.3192970443911902	283.6444996005934	0.2305554592501172	3727829708	151	0.14056259271938834	0.421944539541253	0.2539084788314504	0.3192970443911902	283.6446422458062	0.23055545920607706	9	COMPLETE
