number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.015757790368271955	2021-04-07 12:00:16.904634	2021-04-07 12:11:31.357638	64	47	0.08229707485263874	512	0.7831162242271316	0.003186968838526912	0.015757790368271955	0.007790368271954674	0.009915014164305949	15876.991589943344	0.007396044802368479	0.003186968838526912	0.015757790368271955	0.007790368271954674	0.009915014164305949	15876.989376770538	0.007396044866124665	2942178840	151	0.003186968838526912	0.015757790368271955	0.007790368271954674	0.009915014164305949	15876.993803116147	0.007396044738637108	0	COMPLETE
1	0.5447946175637394	2021-04-07 12:11:31.389855	2021-04-07 12:20:22.144393	128	12	0.004539418596110591	512	0.12806509204745803	0.38332152974504247	0.5447946175637394	0.471671388101983	0.5014164305949008	2594.914040368272	0.44159895483366646	0.38332152974504247	0.5447946175637394	0.471671388101983	0.5014164305949008	2594.9132436260625	0.4415989562865778	3600219012	151	0.38332152974504247	0.5447946175637394	0.471671388101983	0.5014164305949008	2594.9148371104816	0.4415989533861805	1	COMPLETE
2	0.5155807365439093	2021-04-07 12:20:22.175245	2021-04-07 12:36:56.090978	128	33	0.007469761747928618	256	0.14378016485556927	0.3523371104815864	0.5155807365439093	0.4452903682719547	0.4745042492917847	2913.2330913597734	0.41251454806577675	0.3523371104815864	0.5155807365439093	0.4452903682719547	0.4745042492917847	2913.2326487252126	0.4125145481522525	3983959626	151	0.3523371104815864	0.5155807365439093	0.4452903682719547	0.4745042492917847	2913.2335339943343	0.4125145479793755	2	COMPLETE
3	0.5354107648725213	2021-04-07 12:36:56.112604	2021-04-07 12:47:29.583632	64	32	0.005311469620279788	512	0.12761240902759247	0.3939447592067989	0.5354107648725213	0.47131728045325777	0.5005311614730878	2585.837464589235	0.44532195553978193	0.3939447592067989	0.5354107648725213	0.47131728045325777	0.5005311614730878	2585.8371104815865	0.44532195554375664	1905056637	151	0.3939447592067989	0.5354107648725213	0.47131728045325777	0.5005311614730878	2585.837818696884	0.445321955535808	3	COMPLETE
4	0.0047804532577903685	2021-04-07 12:47:29.610764	2021-04-07 13:00:26.944313	256	57	0.05205261768201312	256	0.841133972937153	0.0012393767705382436	0.0047804532577903685	0.003718130311614731	0.00424929178470255	17052.836933427763	0.002839015482135735	0.0012393767705382436	0.0047804532577903685	0.003718130311614731	0.00424929178470255	17052.83197592068	0.0028390159083669453	3879436345	101	0.0012393767705382436	0.0047804532577903685	0.003718130311614731	0.00424929178470255	17052.841890934844	0.0028390150563358646	4	COMPLETE
5	0.5023016997167139	2021-04-07 13:00:26.973745	2021-04-07 13:17:56.712592	256	39	0.00966417099276876	256	0.19602294801897993	0.3284348441926346	0.5023016997167139	0.43041784702549574	0.4631728045325779	3972.24229815864	0.3931485095897088	0.3284348441926346	0.5023016997167139	0.43041784702549574	0.4631728045325779	3972.241678470255	0.3931485096019956	4015276899	151	0.3284348441926346	0.5023016997167139	0.43041784702549574	0.4631728045325779	3972.2429178470256	0.3931485095774246	5	COMPLETE
6	0.00141643059490085	2021-04-07 13:17:56.733879	2021-04-07 13:26:31.730107	256	51	0.09001967007790722	512	0.8703213704167927	0.0003541076487252125	0.00141643059490085	0.0010623229461756375	0.0012393767705382436	17643.895449716714	0.0009671629299314925	0.0003541076487252125	0.00141643059490085	0.0010623229461756375	0.0012393767705382436	17643.89323654391	0.0009671632167159283	3005315634	101	0.0003541076487252125	0.00141643059490085	0.0010623229461756375	0.0012393767705382436	17643.897662889518	0.0009671626434556602	6	COMPLETE
7	0.0060198300283286115	2021-04-07 13:26:31.751739	2021-04-07 13:52:34.641649	64	11	0.08054079642496699	128	0.9365002853708552	0.002124645892351275	0.0060198300283286115	0.004426345609065156	0.004957507082152974	18985.858268413598	0.003674816526687643	0.002124645892351275	0.0060198300283286115	0.004426345609065156	0.004957507082152974	18985.856232294616	0.003674816969156019	3377100821	151	0.002124645892351275	0.0060198300283286115	0.004426345609065156	0.004957507082152974	18985.860304532576	0.003674816085025755	7	COMPLETE
8	0.5577195467422096	2021-04-07 13:52:34.668203	2021-04-07 14:02:51.725678	256	28	0.0021210545702707627	512	0.11993655880310053	0.39872521246458925	0.5577195467422096	0.4801699716713881	0.5150495750708215	2430.201752832861	0.45490456571799986	0.39872521246458925	0.5577195467422096	0.4801699716713881	0.5150495750708215	2430.201664305949	0.4549045657197348	2226460359	151	0.39872521246458925	0.5577195467422096	0.4801699716713881	0.5150495750708215	2430.2018413597734	0.4549045657162652	8	COMPLETE
9	0.00017705382436260624	2021-04-07 14:02:51.757768	2021-04-07 14:23:51.340668	128	89	0.048482192986693616	128	0.854352697432134	0.0	0.00017705382436260624	0.0	0.00017705382436260624	17320.394210339942	0.0002745235250086125	0.0	0.00017705382436260624	0.0	0.00017705382436260624	17320.39252832861	0.0002745235964925446	3445458745	101	0.0	0.00017705382436260624	0.0	0.00017705382436260624	17320.395892351276	0.00027452345357830175	9	COMPLETE
