number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.10580524344569288	2020-04-26 15:04:59.683056	2020-04-26 15:06:09.930657	128	512	0.6714839892542486	0.997009153634812	0.0009363295880149813	0.10580524344569288	0.026685393258426966	0.054775280898876406	48.17860486891386	0.04907336540013835	0.04915730337078652	0.13108614232209737	0.05664794007490637	0.075374531835206	46.15777153558052	0.08596921260063489	2819280841	350	0.0009363295880149813	0.0852059925093633	0.012172284644194757	0.0299625468164794	50.199438202247194	0.04001258865911732	0	COMPLETE
1	0.10533707865168539	2020-04-26 15:06:09.958802	2020-04-26 15:07:24.181637	256	256	0.005554123078600169	1.0117834586657108	0.00046816479400749064	0.10533707865168539	0.024344569288389514	0.05898876404494382	48.84410112359551	0.04797576820226362	0.05945692883895131	0.13155430711610486	0.06460674157303371	0.07771535580524344	46.409176029962545	0.09362557099527478	3773444314	250	0.00046816479400749064	0.0847378277153558	0.008895131086142321	0.025749063670411985	51.27902621722846	0.03794487988862117	1	COMPLETE
2	0.1100187265917603	2020-04-26 15:07:24.202868	2020-04-26 15:08:44.778323	128	256	0.09731437673721278	0.9907476068299947	0.0009363295880149813	0.1100187265917603	0.023876404494382022	0.05664794007490637	47.71839887640449	0.04914306842931224	0.054307116104868915	0.13810861423220974	0.05805243445692884	0.07350187265917603	45.72378277153558	0.0902854258033653	226736967	350	0.0009363295880149813	0.08801498127340825	0.008895131086142321	0.028089887640449437	49.71301498127341	0.039974654707679774	2	COMPLETE
3	0.10393258426966293	2020-04-26 15:08:44.805920	2020-04-26 15:10:20.620000	256	256	0.5502770647032531	0.9810816705704768	0.0009363295880149813	0.10393258426966293	0.023408239700374533	0.052434456928838954	47.4063670411985	0.048051072718666904	0.054307116104868915	0.1343632958801498	0.05945692883895131	0.07116104868913857	44.97050561797753	0.09052037933129486	146682613	300	0.0009363295880149813	0.07958801498127341	0.00749063670411985	0.025749063670411985	49.84222846441948	0.03852642961581053	3	COMPLETE
4	0.10393258426966293	2020-04-26 15:10:20.646279	2020-04-26 15:10:42.527628	64	512	0.0020692176845156438	0.9834554827683134	0.0018726591760299626	0.10393258426966293	0.031835205992509365	0.05571161048689138	47.45435393258427	0.05115572112067746	0.042134831460674156	0.11844569288389513	0.054775280898876406	0.06975655430711611	46.098314606741575	0.08071391112261439	312908390	150	0.0018726591760299626	0.09129213483146068	0.018258426966292134	0.03838951310861423	48.81039325842696	0.04376312335069855	4	COMPLETE
5	0.09269662921348315	2020-04-26 15:10:42.566674	2020-04-26 15:11:04.862424	64	512	0.03374960868979917	1.0004593122389502	0.0023408239700374533	0.09269662921348315	0.0299625468164794	0.04962546816479401	48.2624063670412	0.049552528856912414	0.03932584269662921	0.11329588014981273	0.04541198501872659	0.060861423220973786	46.918539325842694	0.07534208361570391	3287937891	150	0.0023408239700374533	0.08333333333333333	0.018726591760299626	0.03698501872659176	49.6062734082397	0.04267789104186596	5	COMPLETE
6	0.0945692883895131	2020-04-26 15:11:04.883059	2020-04-26 15:11:55.859091	64	512	0.1481933340029736	1.0213749586056904	0.0009363295880149813	0.0945692883895131	0.025749063670411985	0.054775280898876406	49.3066479400749	0.04749907840246973	0.03745318352059925	0.1104868913857678	0.046348314606741575	0.06460674157303371	47.97284644194757	0.07344104818713168	1917764289	300	0.0009363295880149813	0.08567415730337079	0.01451310861423221	0.037921348314606744	50.640449438202246	0.04084789632174176	6	COMPLETE
7	0.09784644194756555	2020-04-26 15:11:55.886369	2020-04-26 15:12:34.557783	128	128	0.0010030592848158193	1.0138276876944505	0.0018726591760299626	0.09784644194756555	0.027153558052434457	0.05805243445692884	48.90051498127341	0.04873512013467907	0.05571161048689138	0.125	0.05945692883895131	0.0749063670411985	46.89513108614232	0.08955275309170085	4046704865	150	0.0018726591760299626	0.08239700374531835	0.012172284644194757	0.030430711610486893	50.90589887640449	0.039639135412660405	7	COMPLETE
8	0.10955056179775281	2020-04-26 15:12:34.596361	2020-04-26 15:13:15.464980	128	256	0.3551104847639759	0.9894020790905668	0.0	0.10955056179775281	0.025280898876404494	0.05383895131086142	47.761470037453186	0.048742791007517106	0.050093632958801496	0.13249063670411984	0.054307116104868915	0.07350187265917603	45.80337078651685	0.08660071911714787	492054077	200	0.0	0.08848314606741572	0.009363295880149813	0.03089887640449438	49.719569288389515	0.03956918024563669	8	COMPLETE
9	0.11142322097378277	2020-04-26 15:13:15.488466	2020-04-26 15:14:34.942927	64	512	0.001597465962193278	0.9805826908736124	0.0009363295880149813	0.11142322097378277	0.033707865168539325	0.06694756554307116	47.34925093632959	0.05276493465037996	0.04541198501872659	0.12312734082397003	0.056179775280898875	0.07771535580524344	45.99672284644195	0.08343147096542564	1867380857	450	0.0009363295880149813	0.10018726591760299	0.017790262172284643	0.046348314606741575	48.70177902621723	0.04465819536805368	9	COMPLETE
