number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_optimizer.lr	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.10627340823970037	2020-04-02 22:29:34.534544	2020-04-02 22:30:08.224665	256	0.0013751743481107295	256	0.009064199623332676	1.008792058722559	0.0	0.10627340823970037	0.02153558052434457	0.060861423220973786	48.702715355805246	0.047798436159778634	0.06320224719101124	0.14840823970037453	0.0702247191011236	0.08848314606741572	46.03932584269663	0.09929916769616934	2144941534	150	0.0	0.0847378277153558	0.004213483146067416	0.02294007490636704	51.36610486891386	0.03684315712237435	0	COMPLETE
1	0.0950374531835206	2020-04-02 22:30:08.290891	2020-04-02 22:30:40.856599	256	0.0037708297394825185	512	0.1838086514541875	0.9992825089795131	0.0	0.0950374531835206	0.015917602996254682	0.042134831460674156	48.23197565543071	0.0444293115830516	0.04588014981273408	0.12640449438202248	0.05102996254681648	0.0650749063670412	45.50702247191011	0.08267094283852235	2912585788	150	0.0	0.06788389513108614	0.006086142322097378	0.017322097378277154	50.95692883895131	0.03553682766266331	1	COMPLETE
2	0.11376404494382023	2020-04-02 22:30:40.892821	2020-04-02 22:31:14.362909	256	0.008822496573938481	256	0.6245056407694047	0.9900387261334932	0.0	0.11376404494382023	0.03277153558052434	0.05898876404494382	47.793305243445694	0.05123528299043472	0.04868913857677903	0.14653558052434457	0.05852059925093633	0.08239700374531835	45.072565543071164	0.08887954894709517	1815707042	150	0.0	0.08707865168539326	0.013108614232209739	0.03745318352059925	50.514044943820224	0.04085853340997198	2	COMPLETE
3	0.09878277153558053	2020-04-02 22:31:14.425826	2020-04-02 22:32:14.978105	64	0.0013986288843140565	256	0.9211343919713509	1.0035329477500505	0.0018726591760299626	0.09878277153558053	0.026685393258426966	0.05056179775280899	48.41198501872659	0.0482620665175236	0.031835205992509365	0.11563670411985019	0.04353932584269663	0.0650749063670412	47.051029962546814	0.07104210633051954	3000112307	450	0.0018726591760299626	0.09082397003745318	0.01544943820224719	0.03651685393258427	49.772940074906366	0.04179045794537913	3	COMPLETE
4	0.10252808988764045	2020-04-02 22:32:15.018067	2020-04-02 22:32:44.572951	64	0.0019609614299259865	128	0.10828881664910027	0.9810992610058311	0.0023408239700374533	0.10252808988764045	0.035580524344569285	0.060393258426966294	47.340823970037455	0.053169148843450455	0.04915730337078652	0.12359550561797752	0.05664794007490637	0.0749063670411985	45.91058052434457	0.08545147693204325	343270802	200	0.0023408239700374533	0.08941947565543071	0.020599250936329586	0.04307116104868914	48.771067415730336	0.044533227854211675	4	COMPLETE
5	0.10018726591760299	2020-04-02 22:32:44.615554	2020-04-02 22:33:04.738137	64	0.004020189602640503	128	0.28702433318204623	1.0085977559450539	0.00046816479400749064	0.10018726591760299	0.033707865168539325	0.05571161048689138	48.646067415730336	0.05065376329295593	0.04307116104868914	0.11704119850187265	0.054307116104868915	0.06882022471910113	47.18913857677903	0.08015759823340957	355137510	150	0.00046816479400749064	0.09129213483146068	0.019194756554307114	0.03932584269662921	50.10299625468165	0.042335825548204	5	COMPLETE
6	0.7546816479400749	2020-04-02 22:33:04.771662	2020-04-02 22:35:29.292650	64	0.009834517026656945	128	0.007529522329739024	0.26368510986029514	0.23782771535580524	0.7546816479400749	0.5145131086142322	0.6226591760299626	12.844101123595506	0.43035556479641707	0.425561797752809	0.8735955056179775	0.6465355805243446	0.7485955056179775	4.669007490636704	0.5693809906265404	1153199653	850	0.23782771535580524	0.7111423220973783	0.46348314606741575	0.5814606741573034	21.019194756554306	0.39076912678688686	6	COMPLETE
7	0.09925093632958802	2020-04-02 22:35:29.349449	2020-04-02 22:35:52.373673	128	0.002785936486031904	256	0.251034089939798	0.9876438419697353	0.0	0.09925093632958802	0.01544943820224719	0.040262172284644196	47.682818352059925	0.04460962749234051	0.03464419475655431	0.1301498127340824	0.0449438202247191	0.06882022471910113	45.50983146067416	0.07583852301226313	1518572437	150	0.0	0.07350187265917603	0.006086142322097378	0.020599250936329586	49.855805243445694	0.036920973732988784	7	COMPLETE
8	0.6680711610486891	2020-04-02 22:35:52.416071	2020-04-02 22:36:56.209060	256	0.040001431390969844	512	0.1868621390989617	0.25692456356016047	0.09597378277153558	0.6680711610486891	0.3356741573033708	0.4648876404494382	12.489700374531836	0.2892872832106098	0.34129213483146065	0.7963483146067416	0.5388576779026217	0.6451310861423221	6.729868913857678	0.4834266968103873	1874373929	300	0.09597378277153558	0.575374531835206	0.2654494382022472	0.3815543071161049	18.249531835205993	0.2390234190333105	8	COMPLETE
9	0.10159176029962547	2020-04-02 22:36:56.254334	2020-04-02 22:37:13.322888	64	0.002481102359493463	256	0.05283720590526975	1.0061755694522199	0.0018726591760299626	0.10159176029962547	0.032303370786516857	0.05945692883895131	48.54002808988764	0.05069969711450132	0.04541198501872659	0.1151685393258427	0.052434456928838954	0.06928838951310862	47.19054307116105	0.08077699298030662	4178914468	150	0.0018726591760299626	0.09129213483146068	0.016853932584269662	0.042134831460674156	49.88951310861423	0.042793233113787306	9	COMPLETE
