number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values
					loss.margin	model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101
0	TrialState.COMPLETE	0.0	2020-01-10 05:42:15.135804	2020-01-10 05:57:39.560046	1.7265136719809244	50.0	26.0	0.001961539335695811	1000.0	0.9991104764420778	0.0	0.0	0.0	0.0	20255.47510180595	0.0001364059463051802	0.039660056657223795	0.039660056657223795	0.039660056657223795	0.039660056657223795	19775.504824716714	0.0397480572865556	0.0	0.0	0.0	0.0	20735.445378895183	0.00010563577717406564	0	0.0	0.0
1	TrialState.COMPLETE	0.0	2020-01-10 05:57:39.561062	2020-01-10 08:40:13.213160	1.0432586128849946	250.0	26.0	0.0023891501478205284	600.0	0.9978674498463193	0.0	0.0	0.0	0.0	20230.124977868272	0.0001167896362918521	0.05165545325779037	0.05165545325779037	0.05165545325779037	0.05165545325779037	19185.71817457507	0.05173868422790606	0.0	0.0	0.0	0.0	21274.531781161473	8.63469754460117e-05	1	0.0	0.0
2	TrialState.COMPLETE	0.0	2020-01-10 08:40:13.214120	2020-01-10 08:58:28.947139	4.9038036726079675	50.0	36.0	0.002214923056944911	800.0	1.0005116481848029	0.0	0.0	0.0	0.0	20283.43645980878	0.00013574500107068856	0.0355435552407932	0.0355435552407932	0.0355435552407932	0.0355435552407932	19829.36026026912	0.035634929054972654	0.0	0.0	0.0	0.0	20737.512659348442	0.00010646517330150987	2	0.0	0.0
3	TrialState.COMPLETE	0.0	2020-01-10 08:58:28.948650	2020-01-10 09:10:05.103581	6.971971758459001	50.0	11.0	0.05065138938499585	1100.0	0.9896711094956087	0.0	0.0	0.0	0.0	20064.15146954674	0.0001457529597037258	0.029567988668555242	0.029567988668555242	0.029567988668555242	0.029567988668555242	19600.020007082152	0.02966782589126565	0.0	0.0	0.0	0.0	20528.28293201133	0.00011454708591408378	3	0.0	0.0
4	TrialState.COMPLETE	0.0	2020-01-10 09:10:05.105091	2020-01-10 13:46:43.858275	9.565682899234048	250.0	46.0	0.023159421943928043	1800.0	1.0095629139904596	0.0	0.0	0.0	0.0	20467.422649610482	0.00011882496135555319	0.05342599150141643	0.05342599150141643	0.05342599150141643	0.05342599150141643	19438.21795325779	0.05350905839032766	0.0	0.0	0.0	0.0	21496.627345963174	8.76204720319094e-05	4	0.0	0.0
5	TrialState.COMPLETE	0.0	2020-01-10 13:46:43.859234	2020-01-10 23:16:08.932661	3.237832854443487	350.0	46.0	0.001605456358021149	1600.0	1.010963565456086	0.0	0.0	0.0	0.0	20495.729904390933	0.00011427490727298977	0.0525407223796034	0.0525407223796034	0.0525407223796034	0.0525407223796034	19397.433870396602	0.05262340499014578	0.0	0.0	0.0	0.0	21594.025938385268	8.419589995754257e-05	5	0.0	0.0
6	TrialState.COMPLETE	0.0	2020-01-10 23:16:08.933588	2020-01-10 23:26:23.691734	5.369142867475093	50.0	6.0	0.014523631595570108	500.0	1.000458901607324	0.0	0.0	0.0	0.0	20282.590961402268	0.00013423868404811108	0.03492386685552408	0.03492386685552408	0.03492386685552408	0.03492386685552408	19814.485481586402	0.035016699931018844	0.0	0.0	0.0	0.0	20750.69644121813	0.00010640891240132392	6	0.0	0.0
7	TrialState.COMPLETE	0.0	2020-01-10 23:26:23.693238	2020-01-11 02:07:57.652115	9.344730303640313	250.0	26.0	0.002128637307396086	1100.0	1.0042276135682084	0.0	0.0	0.0	0.0	20358.792736366857	0.00012123427185154227	0.05900318696883853	0.05900318696883853	0.05900318696883853	0.05900318696883853	19313.042404390933	0.05908458191789318	0.0	0.0	0.0	0.0	21404.543068342777	8.796618634105572e-05	7	0.0	0.0
8	TrialState.COMPLETE	0.0	2020-01-11 02:07:57.653052	2020-01-11 05:15:24.293091	6.446501134981586	250.0	31.0	0.010031821956349158	1800.0	1.0075782204096972	0.0	0.0	0.0	0.0	20426.751394298866	0.00012121324470407395	0.058958923512747875	0.058958923512747875	0.058958923512747875	0.058958923512747875	19382.734375	0.05904070573200656	0.0	0.0	0.0	0.0	21470.768413597732	8.791717101062476e-05	8	0.0	0.0
