number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.03822891703754422	2020-03-18 07:52:47.064715	2020-03-18 08:46:55.261527	128	97	0.02848125817640795	256	0.8500863699319121	0.007018144471071551	0.03822891703754422	0.019428277986990757	0.02727376469245692	6058.987889421431	0.017139814361703455	0.007018144471071551	0.03822891703754422	0.019428277986990757	0.02727376469245692	6058.974837384458	0.017139816765944966	1453440137	400	0.007018144471071551	0.03822891703754422	0.019428277986990757	0.02727376469245692	6059.000941458405	0.017139811963010197	0	COMPLETE
1	0.044220015976263835	2020-03-18 08:46:55.305209	2020-03-18 09:48:23.749259	128	70	0.0031179146684972175	256	0.8907002296349583	0.005705808513066302	0.044220015976263835	0.017145954581764235	0.02270911788200388	6352.053021225608	0.015644899354105	0.005705808513066302	0.044220015976263835	0.017145954581764235	0.02270911788200388	6352.016660960858	0.015644905424901247	3508976248	450	0.005705808513066302	0.044220015976263835	0.017145954581764235	0.02270911788200388	6352.0893814903575	0.01564489329894923	1	COMPLETE
2	0.050724637681159424	2020-03-18 09:48:23.792909	2020-03-18 10:40:14.903396	128	10	0.08041721534980815	128	0.7499855417188797	0.005905511811023622	0.050724637681159424	0.017145954581764235	0.02841492639507018	5333.8067157366195	0.02030550836932633	0.005905511811023622	0.050724637681159424	0.017145954581764235	0.02841492639507018	5333.804347826087	0.02030552339286857	300078366	250	0.005905511811023622	0.050724637681159424	0.017145954581764235	0.02841492639507018	5333.809083647153	0.02030549380320061	2	COMPLETE
3	0.022680588839438548	2020-03-18 10:40:14.947875	2020-03-18 11:18:42.920498	64	100	0.022681577345846506	256	0.8943213904735482	0.01021339723838868	0.022680588839438548	0.014863631176537715	0.017716535433070866	6377.736848111377	0.014767120113799307	0.01021339723838868	0.022680588839438548	0.014863631176537715	0.017716535433070866	6377.7238673970105	0.014767122609873125	690597200	300	0.01021339723838868	0.022680588839438548	0.014863631176537715	0.017716535433070866	6377.749828825745	0.01476711762553267	3	COMPLETE
4	0.04148122788999201	2020-03-18 11:18:42.951577	2020-03-18 12:00:04.194036	128	90	0.019118287804406765	512	0.8751850255944709	0.013094830537487162	0.04148122788999201	0.029384913842291454	0.03560424512153372	6239.772409562935	0.024014582868412904	0.013094830537487162	0.04148122788999201	0.029384913842291454	0.03560424512153372	6239.748630605957	0.02401459402019018	240535442	450	0.013094830537487162	0.04148122788999201	0.029384913842291454	0.03560424512153372	6239.796188519913	0.024014571857948735	4	COMPLETE
5	0.0003708775533493096	2020-03-18 12:00:04.228772	2020-03-18 12:10:00.976206	64	48	0.0026550356095644927	512	1.089054329630467	2.8529042565331506e-05	0.0003708775533493096	8.558712769599452e-05	0.00011411617026132602	7790.538542736505	0.0005498673667165051	2.8529042565331506e-05	0.0003708775533493096	8.558712769599452e-05	0.00011411617026132602	7790.52279470501	0.000549872930104863	437928249	150	2.8529042565331506e-05	0.0003708775533493096	8.558712769599452e-05	0.00011411617026132602	7790.554290768002	0.0005498618674418387	5	COMPLETE
6	0.058998060025105555	2020-03-18 12:10:01.010168	2020-03-18 12:29:38.124453	256	10	0.010935008543145304	512	0.8381152325681241	0.00567727947050097	0.058998060025105555	0.02114002054091065	0.037629807143672256	5972.4223439461375	0.019919774973722264	0.00567727947050097	0.058998060025105555	0.02114002054091065	0.037629807143672256	5972.409420289855	0.019919778711780183	1980264103	250	0.00567727947050097	0.058998060025105555	0.02114002054091065	0.037629807143672256	5972.435267602419	0.019919771253944896	6	COMPLETE
7	0.0005420518087412986	2020-03-18 12:29:38.172694	2020-03-18 12:45:25.383525	128	97	0.0016457792193891724	256	1.096148671040749	5.705808513066301e-05	0.0005420518087412986	0.00017117425539198904	0.00028529042565331506	7842.822378180988	0.0005970532517665102	5.705808513066301e-05	0.0005420518087412986	0.00017117425539198904	0.00028529042565331506	7842.780126668949	0.0005970610176519606	2531789148	150	5.705808513066301e-05	0.0005420518087412986	0.00017117425539198904	0.00028529042565331506	7842.864629693027	0.0005970455221733646	7	COMPLETE
8	0.001626155426223896	2020-03-18 12:45:25.418020	2020-03-18 13:12:41.444335	256	88	0.0018698416164443041	128	1.1160518777327852	0.0004564646810453041	0.001626155426223896	0.0008273422343946138	0.0011126326600479288	7984.93327056944	0.00118554647162625	0.0004564646810453041	0.001626155426223896	0.0008273422343946138	0.0011126326600479288	7984.808541595344	0.001185579426734998	1544726482	150	0.0004564646810453041	0.001626155426223896	0.0008273422343946138	0.0011126326600479288	7985.0579995435355	0.0011855138823606316	8	COMPLETE
9	0.022652059796873215	2020-03-18 13:12:41.478482	2020-03-18 13:43:26.166495	128	47	0.007834617300182475	256	0.8822622546828374	0.01172543649435125	0.022652059796873215	0.013522766175967135	0.016775077028414926	6292.445081593061	0.015721441747653525	0.01172543649435125	0.022652059796873215	0.013522766175967135	0.016775077028414926	6292.427735935182	0.015721443572537908	3196389894	250	0.01172543649435125	0.022652059796873215	0.013522766175967135	0.016775077028414926	6292.462427250942	0.015721439926810847	9	COMPLETE
