number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.22295446764806573	2020-03-18 04:56:03.072182	2020-03-18 05:40:45.022212	64	57	0.03926694885255116	256	0.06978779153979843	0.022652059796873215	0.22295446764806573	0.07645783407508844	0.1279527559055118	485.0058769827685	0.08408635441098397	0.022652059796873215	0.22295446764806573	0.07645783407508844	0.1279527559055118	485.0056772794705	0.08408673630054121	3685087451	350	0.022652059796873215	0.22295446764806573	0.07645783407508844	0.1279527559055118	485.0060766860664	0.08408602521287233	0	COMPLETE
1	0.18709346114344402	2020-03-18 05:40:45.066926	2020-03-18 06:31:10.590630	128	10	0.009904424270778037	128	0.07073096482807184	0.019228574689033436	0.18709346114344402	0.05865571151432158	0.09628551865799384	492.46072977290885	0.0721534832313418	0.019228574689033436	0.18709346114344402	0.05865571151432158	0.09628551865799384	492.4605728631747	0.07215348508878841	352736028	250	0.019228574689033436	0.18709346114344402	0.05865571151432158	0.09628551865799384	492.4608866826429	0.07215348139052805	1	COMPLETE
2	0.21744836243295676	2020-03-18 06:31:10.622639	2020-03-18 07:09:55.423334	128	52	0.0013376961517656575	128	0.16165673365601563	0.02721670660732626	0.21744836243295676	0.08578683099395185	0.1346285518657994	1144.3363288828027	0.08577536914939468	0.02721670660732626	0.21744836243295676	0.08578683099395185	0.1346285518657994	1144.3361006504622	0.08577536921385455	3910650921	200	0.02721670660732626	0.21744836243295676	0.08578683099395185	0.1346285518657994	1144.3365571151433	0.08577536908499764	2	COMPLETE
3	0.19996005934040853	2020-03-18 07:09:55.455303	2020-03-18 07:47:26.576122	128	13	0.02259101597991313	512	0.07305906779363115	0.01757389022024421	0.19996005934040853	0.05871276959945224	0.10033664270227091	507.4117026132603	0.07333575099602284	0.01757389022024421	0.19996005934040853	0.05871276959945224	0.10033664270227091	507.41150290996234	0.07333575317365373	311491324	450	0.01757389022024421	0.19996005934040853	0.05871276959945224	0.10033664270227091	507.41190231655827	0.07333574883107977	3	COMPLETE
4	0.22851763094830538	2020-03-18 07:47:26.607780	2020-03-18 08:39:46.284874	128	57	0.0012063858368897412	256	0.1910255709376678	0.03534748373844574	0.22851763094830538	0.10778272281182244	0.1555403400661874	1357.9125299554946	0.09766093409174657	0.03534748373844574	0.22851763094830538	0.10778272281182244	0.1555403400661874	1357.912387310282	0.09766093423438875	3483963060	400	0.03534748373844574	0.22851763094830538	0.10778272281182244	0.1555403400661874	1357.9126726007075	0.09766093394941984	4	COMPLETE
5	0.2519114458518772	2020-03-18 08:39:46.332037	2020-03-18 10:22:34.655280	256	28	0.01029735463868666	128	0.06548357175643692	0.026303777245235648	0.2519114458518772	0.08938149035718361	0.14835102133972383	452.48234052265207	0.09360191516378905	0.026303777245235648	0.2519114458518772	0.08938149035718361	0.14835102133972383	452.4820552322264	0.0936019170225026	4112567947	450	0.026303777245235648	0.2519114458518772	0.08938149035718361	0.14835102133972383	452.48262581307773	0.0936019133183125	5	COMPLETE
6	0.23918749286773935	2020-03-18 10:22:34.702806	2020-03-18 10:37:02.313967	64	58	0.0014988630391867801	512	0.1408093953340451	0.03945566586785348	0.23918749286773935	0.1088382973867397	0.15993381262124842	998.7628095401118	0.10289914777458888	0.03945566586785348	0.23918749286773935	0.1088382973867397	0.15993381262124842	998.7627239529842	0.10289914783555594	3714715793	200	0.03945566586785348	0.23918749286773935	0.1088382973867397	0.15993381262124842	998.7628951272395	0.10289914771372563	6	COMPLETE
7	0.22714823690516947	2020-03-18 10:37:02.346615	2020-03-18 11:42:42.875182	64	12	0.01823079732891423	256	0.07507211860130868	0.025504964053406368	0.22714823690516947	0.07697135684126441	0.12567043250028528	522.422386739701	0.08626473293400345	0.025504964053406368	0.22714823690516947	0.07697135684126441	0.12567043250028528	522.422286888052	0.08626473374749077	951453484	500	0.025504964053406368	0.22714823690516947	0.07697135684126441	0.12567043250028528	522.42248659135	0.08626473212477602	7	COMPLETE
8	0.2806972498002967	2020-03-18 11:42:42.909693	2020-03-18 13:04:54.944681	256	20	0.004875125453436211	256	0.06585261875895038	0.045475293849138426	0.2806972498002967	0.13206093803491956	0.19000342348510785	454.75554889877895	0.12070104560755662	0.045475293849138426	0.2806972498002967	0.13206093803491956	0.19000342348510785	454.7553634600023	0.12070105079727683	1957383272	600	0.045475293849138426	0.2806972498002967	0.13206093803491956	0.19000342348510785	454.7557343375556	0.12070104048200082	8	COMPLETE
9	0.2172201300924341	2020-03-18 13:04:54.995825	2020-03-18 14:22:28.431521	256	32	0.022575530035320205	128	0.0847859212372306	0.02099737532808399	0.2172201300924341	0.0686408764121876	0.11805317813534177	592.0301979915554	0.0788172771887011	0.02099737532808399	0.2172201300924341	0.0686408764121876	0.11805317813534177	592.0297843204382	0.0788173080696413	899243860	350	0.02099737532808399	0.2172201300924341	0.0686408764121876	0.11805317813534177	592.0306116626726	0.07881724704768185	9	COMPLETE
