number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_optimizer.lr	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.10627340823970037	2020-03-13 15:12:16.938195	2020-03-13 15:12:40.090126	64	0.0018868035439509557	128	0.24169357613861364	1.006480343619794	0.010767790262172285	0.10627340823970037	0.033707865168539325	0.052434456928838954	48.420411985018724	0.05444274592011852	0.010767790262172285	0.10627340823970037	0.033707865168539325	0.052434456928838954	48.420411985018724	0.05444274592011852	3262774839	150.0	0.010767790262172285	0.10627340823970037	0.033707865168539325	0.052434456928838954	48.420411985018724	0.05444274592011852	0	COMPLETE
1	0.10486891385767791	2020-03-13 15:12:40.117015	2020-03-13 15:13:08.135509	256	0.07580249768734887	512	0.7124870199384666	0.983433259550782	0.013108614232209739	0.10486891385767791	0.03277153558052434	0.05102996254681648	46.97846441947566	0.05616594613453544	0.013108614232209739	0.10486891385767791	0.03277153558052434	0.05102996254681648	46.97846441947566	0.05616594613453544	4006578260	250.0	0.013108614232209739	0.10486891385767791	0.03277153558052434	0.05102996254681648	46.97846441947566	0.05616594613453544	1	COMPLETE
2	0.09644194756554307	2020-03-13 15:13:08.161935	2020-03-13 15:13:31.826633	64	0.001157371495991644	128	0.02676771934058328	1.014008592705204	0.010299625468164793	0.09644194756554307	0.02855805243445693	0.04681647940074907	48.85486891385768	0.05191662667168433	0.010299625468164793	0.09644194756554307	0.02855805243445693	0.04681647940074907	48.85486891385768	0.05191662667168433	4254716872	150.0	0.010299625468164793	0.09644194756554307	0.02855805243445693	0.04681647940074907	48.85486891385768	0.05191662667168433	2	COMPLETE
3	0.10159176029962547	2020-03-13 15:13:31.853655	2020-03-13 15:13:46.450589	128	0.0016739504938626279	512	0.0029412766739494917	0.9960241063030555	0.010767790262172285	0.10159176029962547	0.0351123595505618	0.05571161048689138	47.94709737827716	0.054885376690631926	0.010767790262172285	0.10159176029962547	0.0351123595505618	0.05571161048689138	47.94709737827716	0.054885376690631926	480425581	150.0	0.010767790262172285	0.10159176029962547	0.0351123595505618	0.05571161048689138	47.94709737827716	0.054885376690631926	3	COMPLETE
4	0.10065543071161048	2020-03-13 15:13:46.475769	2020-03-13 15:14:04.313361	128	0.0022881866094025833	256	0.11075955379053999	0.9976686101052771	0.011235955056179775	0.10065543071161048	0.032303370786516857	0.05149812734082397	47.93211610486891	0.05369331035204782	0.011235955056179775	0.10065543071161048	0.032303370786516857	0.05149812734082397	47.93211610486891	0.05369331035204782	2404342292	150.0	0.011235955056179775	0.10065543071161048	0.032303370786516857	0.05149812734082397	47.93211610486891	0.05369331035204782	4	COMPLETE
5	0.09831460674157304	2020-03-13 15:14:04.340767	2020-03-13 15:14:27.714991	256	0.0011106411761111548	128	0.09102215584886855	1.0165344604407873	0.011235955056179775	0.09831460674157304	0.033707865168539325	0.05196629213483146	48.774812734082396	0.054118194025417676	0.011235955056179775	0.09831460674157304	0.033707865168539325	0.05196629213483146	48.774812734082396	0.054118194025417676	4243391720	150.0	0.011235955056179775	0.09831460674157304	0.033707865168539325	0.05196629213483146	48.774812734082396	0.054118194025417676	5	COMPLETE
6	0.0997191011235955	2020-03-13 15:14:27.741616	2020-03-13 15:15:02.663606	256	0.0013839963481016011	128	0.10928560640031358	1.0034840005870267	0.008895131086142321	0.0997191011235955	0.028089887640449437	0.04728464419475655	48.09784644194757	0.05124645743208757	0.008895131086142321	0.0997191011235955	0.028089887640449437	0.04728464419475655	48.09784644194757	0.05124645743208757	3751895204	200.0	0.008895131086142321	0.0997191011235955	0.028089887640449437	0.04728464419475655	48.09784644194757	0.05124645743208757	6	COMPLETE
7	0.10393258426966293	2020-03-13 15:15:02.691375	2020-03-13 15:15:37.348510	128	0.004584572961978169	128	0.008061134568990628	1.0064407740405688	0.011704119850187267	0.10393258426966293	0.028089887640449437	0.05056179775280899	48.2059925093633	0.05340834382000284	0.011704119850187267	0.10393258426966293	0.028089887640449437	0.05056179775280899	48.2059925093633	0.05340834382000284	2126572216	200.0	0.011704119850187267	0.10393258426966293	0.028089887640449437	0.05056179775280899	48.2059925093633	0.05340834382000284	7	COMPLETE
8	0.10159176029962547	2020-03-13 15:15:37.382661	2020-03-13 15:16:12.490390	64	0.004700642807369064	512	0.019144535931970207	1.0135010072598687	0.006554307116104869	0.10159176029962547	0.030430711610486893	0.05196629213483146	48.63810861423221	0.050288490784989835	0.006554307116104869	0.10159176029962547	0.030430711610486893	0.05196629213483146	48.63810861423221	0.050288490784989835	1811035541	300.0	0.006554307116104869	0.10159176029962547	0.030430711610486893	0.05196629213483146	48.63810861423221	0.050288490784989835	8	COMPLETE
9	0.09831460674157304	2020-03-13 15:16:12.517128	2020-03-13 15:16:34.022530	256	0.001079165052965924	512	0.21093003385724307	1.0032768645288932	0.008895131086142321	0.09831460674157304	0.026685393258426966	0.048220973782771535	48.13483146067416	0.05125233965512129	0.008895131086142321	0.09831460674157304	0.026685393258426966	0.048220973782771535	48.13483146067416	0.05125233965512129	1217728054	200.0	0.008895131086142321	0.09831460674157304	0.026685393258426966	0.048220973782771535	48.13483146067416	0.05125233965512129	9	COMPLETE
