number	value	datetime_start	datetime_complete	params_loss.margin	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.900749063670412	2020-03-13 12:56:32.747168	2020-03-13 12:58:54.870465	4.91313526956724	64	71	0.00438265523748698	512	0.10213482240389349	0.3553370786516854	0.900749063670412	0.6399812734082397	0.7851123595505618	4.932584269662922	0.5337782445459525	0.3553370786516854	0.900749063670412	0.6399812734082397	0.7851123595505618	4.932584269662922	0.5337782445459525	1262800547	400	0.3553370786516854	0.900749063670412	0.6399812734082397	0.7851123595505618	4.932584269662922	0.5337782445459525	0	COMPLETE
1	0.920880149812734	2020-03-13 12:58:54.912155	2020-03-13 13:02:57.750493	2.0370839644312984	64	18	0.020661574927918664	128	0.08903055694058873	0.34737827715355807	0.920880149812734	0.653558052434457	0.7935393258426966	4.286985018726591	0.5357790073396209	0.34737827715355807	0.920880149812734	0.653558052434457	0.7935393258426966	4.286985018726591	0.5357790073396209	290102503	250	0.34737827715355807	0.920880149812734	0.653558052434457	0.7935393258426966	4.286985018726591	0.5357790073396209	1	COMPLETE
2	0.9105805243445693	2020-03-13 13:02:57.778824	2020-03-13 13:04:35.386975	5.2149393700000655	64	13	0.013323104542907074	256	0.09146627305295277	0.3604868913857678	0.9105805243445693	0.670880149812734	0.800561797752809	4.425561797752809	0.5466461856035112	0.3604868913857678	0.9105805243445693	0.670880149812734	0.800561797752809	4.425561797752809	0.5466461856035112	2962526520	200	0.3604868913857678	0.9105805243445693	0.670880149812734	0.800561797752809	4.425561797752809	0.5466461856035112	2	COMPLETE
3	0.9110486891385767	2020-03-13 13:04:35.413754	2020-03-13 13:05:58.564055	2.838339756223855	256	99	0.05201495354219387	512	0.09569334627167507	0.33848314606741575	0.9110486891385767	0.6530898876404494	0.7883895131086143	4.606741573033708	0.5293202668477469	0.33848314606741575	0.9110486891385767	0.6530898876404494	0.7883895131086143	4.606741573033708	0.5293202668477469	2480593208	200	0.33848314606741575	0.9110486891385767	0.6530898876404494	0.7883895131086143	4.606741573033708	0.5293202668477469	3	COMPLETE
4	0.8656367041198502	2020-03-13 13:05:58.590622	2020-03-13 13:10:24.780812	5.290457521232372	256	99	0.009157653594654123	512	0.12305162380421569	0.2663857677902622	0.8656367041198502	0.5702247191011236	0.7078651685393258	5.926498127340824	0.45775263756787193	0.2663857677902622	0.8656367041198502	0.5702247191011236	0.7078651685393258	5.926498127340824	0.45775263756787193	3949933503	550	0.2663857677902622	0.8656367041198502	0.5702247191011236	0.7078651685393258	5.926498127340824	0.45775263756787193	4	COMPLETE
5	0.9176029962546817	2020-03-13 13:10:24.839228	2020-03-13 13:13:05.490105	8.361793640504512	64	41	0.0017729378408896826	256	0.09340535189558784	0.3647003745318352	0.9176029962546817	0.674625468164794	0.7944756554307116	4.51310861423221	0.5504779534856266	0.3647003745318352	0.9176029962546817	0.674625468164794	0.7944756554307116	4.51310861423221	0.5504779534856266	1756278774	300	0.3647003745318352	0.9176029962546817	0.674625468164794	0.7944756554307116	4.51310861423221	0.5504779534856266	5	COMPLETE
6	0.920880149812734	2020-03-13 13:13:05.516911	2020-03-13 13:19:40.188333	2.5089009170314274	64	91	0.002972602921509552	128	0.08931333225565764	0.3782771535580524	0.920880149812734	0.6989700374531835	0.822565543071161	4.305711610486892	0.5640674561857401	0.3782771535580524	0.920880149812734	0.6989700374531835	0.822565543071161	4.305711610486892	0.5640674561857401	3586326022	350	0.3782771535580524	0.920880149812734	0.6989700374531835	0.822565543071161	4.305711610486892	0.5640674561857401	6	COMPLETE
7	0.9166666666666666	2020-03-13 13:19:40.211182	2020-03-13 13:23:14.168592	3.551191497843114	64	87	0.009958695856959231	256	0.08868615509338733	0.36282771535580527	0.9166666666666666	0.7069288389513109	0.8127340823970037	4.2911985018726595	0.556241897953578	0.36282771535580527	0.9166666666666666	0.7069288389513109	0.8127340823970037	4.2911985018726595	0.556241897953578	140770828	350	0.36282771535580527	0.9166666666666666	0.7069288389513109	0.8127340823970037	4.2911985018726595	0.556241897953578	7	COMPLETE
8	0.8609550561797753	2020-03-13 13:23:14.190045	2020-03-13 13:25:19.208781	9.235040198692841	256	87	0.001631047497403297	512	0.1239524029626089	0.3333333333333333	0.8609550561797753	0.5917602996254682	0.727996254681648	5.979868913857678	0.5026623069289381	0.3333333333333333	0.8609550561797753	0.5917602996254682	0.727996254681648	5.979868913857678	0.5026623069289381	1473790531	300	0.3333333333333333	0.8609550561797753	0.5917602996254682	0.727996254681648	5.979868913857678	0.5026623069289381	8	COMPLETE
9	0.9171348314606742	2020-03-13 13:25:19.230033	2020-03-13 13:29:27.613106	7.953507266867492	64	60	0.0013835983078100181	128	0.09157311379794408	0.34784644194756553	0.9171348314606742	0.6624531835205992	0.8038389513108615	4.417602996254682	0.5402405775727774	0.34784644194756553	0.9171348314606742	0.6624531835205992	0.8038389513108615	4.417602996254682	0.5402405775727774	2477020891	250	0.34784644194756553	0.9171348314606742	0.6624531835205992	0.8038389513108615	4.417602996254682	0.5402405775727774	9	COMPLETE
