number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.10018726591760299	2020-04-08 19:34:43.485828	2020-04-08 19:35:00.728513	128	256	0.903408199497855	0.9861310125914601	0.008426966292134831	0.10018726591760299	0.031835205992509365	0.056179775280898875	47.534176029962545	0.052678863518297196	0.008426966292134831	0.10018726591760299	0.031835205992509365	0.056179775280898875	47.534176029962545	0.052678863518297196	1198955243	150.0	0.008426966292134831	0.10018726591760299	0.031835205992509365	0.056179775280898875	47.534176029962545	0.052678863518297196	0	COMPLETE
1	0.22893258426966293	2020-04-08 19:35:00.753360	2020-04-08 19:37:51.283018	64	256	0.002332995963242547	0.662719040756787	0.03417602996254682	0.22893258426966293	0.08380149812734082	0.1343632958801498	31.757022471910112	0.10510180964336059	0.03417602996254682	0.22893258426966293	0.08380149812734082	0.1343632958801498	31.757022471910112	0.10510180964336059	102760081		0.03417602996254682	0.22893258426966293	0.08380149812734082	0.1343632958801498	31.757022471910112	0.10510180964336059	1	COMPLETE
2	0.2532771535580524	2020-04-08 19:37:51.301361	2020-04-08 19:41:35.402414	256	128	0.2741309041036561	0.632140576452268	0.03323970037453183	0.2532771535580524	0.08941947565543071	0.1404494382022472	30.250936329588015	0.10956286529688646	0.03323970037453183	0.2532771535580524	0.08941947565543071	0.1404494382022472	30.250936329588015	0.10956286529688646	1947546513		0.03323970037453183	0.2532771535580524	0.08941947565543071	0.1404494382022472	30.250936329588015	0.10956286529688646	2	COMPLETE
3	0.09035580524344569	2020-04-08 19:41:35.419288	2020-04-08 19:41:53.554807	64	256	0.097712930098315	1.0078854981316288	0.009363295880149813	0.09035580524344569	0.02949438202247191	0.05102996254681648	48.63389513108614	0.051418027593844215	0.009363295880149813	0.09035580524344569	0.02949438202247191	0.05102996254681648	48.63389513108614	0.051418027593844215	1047482814	150.0	0.009363295880149813	0.09035580524344569	0.02949438202247191	0.05102996254681648	48.63389513108614	0.051418027593844215	3	COMPLETE
4	0.25140449438202245	2020-04-08 19:41:53.568891	2020-04-08 19:44:20.848025	256	128	0.003007818873038435	0.6005073502495857	0.02902621722846442	0.25140449438202245	0.0800561797752809	0.13670411985018727	28.65730337078652	0.10625474361337625	0.02902621722846442	0.25140449438202245	0.0800561797752809	0.13670411985018727	28.65730337078652	0.10625474361337625	3792147791	700.0	0.02902621722846442	0.25140449438202245	0.0800561797752809	0.13670411985018727	28.65730337078652	0.10625474361337625	4	COMPLETE
5	0.23782771535580524	2020-04-08 19:44:20.861565	2020-04-08 19:46:46.187941	128	256	0.00488399936687008	0.6353335580169415	0.03089887640449438	0.23782771535580524	0.07958801498127341	0.13342696629213482	30.38576779026217	0.1046777511972234	0.03089887640449438	0.23782771535580524	0.07958801498127341	0.13342696629213482	30.38576779026217	0.1046777511972234	3080501235	900.0	0.03089887640449438	0.23782771535580524	0.07958801498127341	0.13342696629213482	30.38576779026217	0.1046777511972234	5	COMPLETE
6	0.10393258426966293	2020-04-08 19:46:46.200008	2020-04-08 19:47:01.123035	128	512	0.0038389936187435167	0.9948067651740676	0.013108614232209739	0.10393258426966293	0.03464419475655431	0.05149812734082397	48.00046816479401	0.05634987857711649	0.013108614232209739	0.10393258426966293	0.03464419475655431	0.05149812734082397	48.00046816479401	0.05634987857711649	75547096	150.0	0.013108614232209739	0.10393258426966293	0.03464419475655431	0.05149812734082397	48.00046816479401	0.05634987857711649	6	COMPLETE
7	0.24250936329588016	2020-04-08 19:47:01.135381	2020-04-08 19:49:55.313300	128	256	0.002125839038921556	0.6239869791276628	0.03651685393258427	0.24250936329588016	0.09176029962546817	0.13249063670411984	29.817883895131086	0.11081232752097661	0.03651685393258427	0.24250936329588016	0.09176029962546817	0.13249063670411984	29.817883895131086	0.11081232752097661	1216648919		0.03651685393258427	0.24250936329588016	0.09176029962546817	0.13249063670411984	29.817883895131086	0.11081232752097661	7	COMPLETE
8	0.23735955056179775	2020-04-08 19:49:55.323827	2020-04-08 19:52:37.632340	128	128	0.0041391833600253345	0.6106168448441917	0.025280898876404494	0.23735955056179775	0.08146067415730338	0.1301498127340824	29.13436329588015	0.10320876044339121	0.025280898876404494	0.23735955056179775	0.08146067415730338	0.1301498127340824	29.13436329588015	0.10320876044339121	1177796243	750.0	0.025280898876404494	0.23735955056179775	0.08146067415730338	0.1301498127340824	29.13436329588015	0.10320876044339121	8	COMPLETE
9	0.08567415730337079	2020-04-08 19:52:37.649438	2020-04-08 19:53:01.324640	128	512	0.0018853364012643818	0.9996118361805304	0.01451310861423221	0.08567415730337079	0.03277153558052434	0.046348314606741575	48.18539325842696	0.054373124274114344	0.01451310861423221	0.08567415730337079	0.03277153558052434	0.046348314606741575	48.18539325842696	0.054373124274114344	321886332	200.0	0.01451310861423221	0.08567415730337079	0.03277153558052434	0.046348314606741575	48.18539325842696	0.054373124274114344	9	COMPLETE
