number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.39624645892351273	2020-04-02 18:50:27.356952	2020-04-02 19:06:09.346824	128	36	0.01568432067610921	256	0.30500140152508864	0.20538243626062322	0.39624645892351273	0.34206798866855526	0.3723441926345609	6181.770449716714	0.2812726606032657	0.20538243626062322	0.39624645892351273	0.34206798866855526	0.3723441926345609	6181.770007082153	0.2812726606049725	3568906690	200	0.20538243626062322	0.39624645892351273	0.34206798866855526	0.3723441926345609	6181.770892351275	0.281272660601559	0	COMPLETE
1	0.4054532577903683	2020-04-02 19:06:09.409971	2020-04-02 19:16:08.107528	64	71	0.017588513499361153	512	0.3382214890513555	0.20290368271954673	0.4054532577903683	0.34826487252124644	0.3773016997167139	6855.925283286119	0.2818636518916057	0.20290368271954673	0.4054532577903683	0.34826487252124644	0.3773016997167139	6855.924575070821	0.28186365189419993	798183017	200	0.20290368271954673	0.4054532577903683	0.34826487252124644	0.3773016997167139	6855.925991501416	0.2818636518890118	1	COMPLETE
2	0.39660056657223797	2020-04-02 19:16:08.164972	2020-04-02 19:43:26.939954	128	99	0.008832104146245866	128	0.35320346067698677	0.1959985835694051	0.39660056657223797	0.3440155807365439	0.37535410764872523	7159.24876062323	0.2758816455677261	0.1959985835694051	0.39660056657223797	0.3440155807365439	0.37535410764872523	7159.248229461757	0.275881645570328	4073829335	200	0.1959985835694051	0.39660056657223797	0.3440155807365439	0.37535410764872523	7159.249291784702	0.27588164556512446	2	COMPLETE
3	0.4112960339943343	2020-04-02 19:43:26.995682	2020-04-02 19:59:19.709515	128	94	0.009607109881444252	256	0.32803775169455873	0.23565864022662888	0.4112960339943343	0.36296033994334276	0.3895184135977337	6649.364111189801	0.3061511919172586	0.23565864022662888	0.4112960339943343	0.36296033994334276	0.3895184135977337	6649.363491501416	0.30615119193105206	3098004755	200	0.23565864022662888	0.4112960339943343	0.36296033994334276	0.3895184135977337	6649.364730878187	0.3061511919034686	3	COMPLETE
4	0.3827903682719547	2020-04-02 19:59:19.788038	2020-04-02 20:53:26.835862	128	95	0.04889789034153391	128	0.28354660022142864	0.18077195467422097	0.3827903682719547	0.31674929178470257	0.3521600566572238	5746.564624645893	0.2586524535814779	0.18077195467422097	0.3827903682719547	0.31674929178470257	0.3521600566572238	5746.563562322946	0.2586524535853561	3727084634	350	0.18077195467422097	0.3827903682719547	0.31674929178470257	0.3521600566572238	5746.565686968838	0.2586524535776	4	COMPLETE
5	0.37924929178470257	2020-04-02 20:53:26.895470	2020-04-02 21:29:09.982224	64	85	0.06068649671941948	128	0.2495804785131832	0.14571529745042494	0.37924929178470257	0.2930240793201133	0.34171388101983	5058.494688385269	0.2315242176320958	0.14571529745042494	0.37924929178470257	0.2930240793201133	0.34171388101983	5058.493626062323	0.2315242176416524	3852365362	250	0.14571529745042494	0.37924929178470257	0.2930240793201133	0.34171388101983	5058.495750708215	0.23152421762254066	5	COMPLETE
6	0.41589943342776203	2020-04-02 21:29:10.032062	2020-04-02 21:51:37.899501	128	2	0.0027154551358121682	512	0.3038469040238716	0.18572946175637395	0.41589943342776203	0.3546388101983003	0.3868626062322946	6159.201398725212	0.2775792147716758	0.18572946175637395	0.41589943342776203	0.3546388101983003	0.3868626062322946	6159.200424929179	0.2775792150432611	1653044490	400	0.18572946175637395	0.41589943342776203	0.3546388101983003	0.3868626062322946	6159.202372521247	0.2775792145004774	6	COMPLETE
7	0.41342067988668557	2020-04-02 21:51:37.966018	2020-04-02 22:07:45.206189	256	23	0.004338954681779291	256	0.35955530998531265	0.21087110481586402	0.41342067988668557	0.3578257790368272	0.3872167138810198	7287.46591713881	0.29192241403952035	0.21087110481586402	0.41342067988668557	0.3578257790368272	0.3872167138810198	7287.4651203966005	0.29192241404137803	3568421646	200	0.21087110481586402	0.41342067988668557	0.3578257790368272	0.3872167138810198	7287.46671388102	0.29192241403766284	7	COMPLETE
8	0.38703966005665724	2020-04-02 22:07:45.247319	2020-04-02 22:18:14.443747	256	34	0.03964168846293331	512	0.3070302369097331	0.17723087818696884	0.38703966005665724	0.33038243626062325	0.36455382436260625	6222.5555063739375	0.260709883737267	0.17723087818696884	0.38703966005665724	0.33038243626062325	0.36455382436260625	6222.555063739377	0.26070988373871057	374624242	200	0.17723087818696884	0.38703966005665724	0.33038243626062325	0.36455382436260625	6222.555949008499	0.2607098837358236	8	COMPLETE
9	0.39713172804532576	2020-04-02 22:18:14.503497	2020-04-02 22:45:17.258657	128	51	0.0019257781190916356	128	0.4671016724940308	0.13208215297450424	0.39713172804532576	0.3319759206798867	0.36791784702549574	9468.186172096317	0.23863427997389594	0.13208215297450424	0.39713172804532576	0.3319759206798867	0.36791784702549574	9468.18502124646	0.23863427998770956	2262745536	200	0.13208215297450424	0.39713172804532576	0.3319759206798867	0.36791784702549574	9468.187322946176	0.23863427996008532	9	COMPLETE
10	0.3888101983002833	2020-04-02 22:45:17.311128	2020-04-02 23:10:58.498274	64	47	0.0028813832447252283	256	0.4739847954442525	0.1248229461756374	0.3888101983002833	0.3236543909348442	0.3604815864022663	9607.72317634561	0.23036006662185002	0.1248229461756374	0.3888101983002833	0.3236543909348442	0.3604815864022663	9607.722556657223	0.23036006663041217	3488911837	300	0.1248229461756374	0.3888101983002833	0.3236543909348442	0.3604815864022663	9607.723796033993	0.2303600666132897	10	COMPLETE
11	0.4004957507082153	2020-04-02 23:10:58.547598	2020-04-02 23:48:28.021316	256	76	0.006160084289599982	128	0.3273528043631222	0.2390226628895184	0.4004957507082153	0.36242917847025496	0.38402974504249293	6634.806303116147	0.3053544260701105	0.2390226628895184	0.4004957507082153	0.36242917847025496	0.38402974504249293	6634.805240793201	0.30535442607807256	4085780397	250	0.2390226628895184	0.4004957507082153	0.36242917847025496	0.38402974504249293	6634.807365439094	0.3053544260621495	11	COMPLETE
12	0.39713172804532576	2020-04-02 23:48:28.067087	2020-04-03 00:00:50.425841	256	99	0.023190886003301485	512	0.27582223703965836	0.20272662889518414	0.39713172804532576	0.3452549575070821	0.3719900849858357	5589.685198300283	0.28042590720492866	0.20272662889518414	0.39713172804532576	0.3452549575070821	0.3719900849858357	5589.684313031162	0.2804259072197217	3670406029	200	0.20272662889518414	0.39713172804532576	0.3452549575070821	0.3719900849858357	5589.686083569405	0.28042590719013866	12	COMPLETE
13	0.4157223796033994	2020-04-03 00:00:50.466412	2020-04-03 00:17:13.738565	256	56	0.0054058576770054205	256	0.3416207164333423	0.23158640226628896	0.4157223796033994	0.37092776203966005	0.39429886685552407	6924.295768413598	0.30699348781501634	0.23158640226628896	0.4157223796033994	0.37092776203966005	0.39429886685552407	6924.294617563739	0.30699348783293073	1433855179	200	0.23158640226628896	0.4157223796033994	0.37092776203966005	0.39429886685552407	6924.296919263456	0.3069934877971061	13	COMPLETE
14	0.38526912181303113	2020-04-03 00:17:13.779434	2020-04-03 00:38:45.787978	256	39	0.02494103787505113	256	0.3270558249294838	0.1763456090651558	0.38526912181303113	0.329143059490085	0.3618980169971671	6627.642970963173	0.25855578481679475	0.1763456090651558	0.38526912181303113	0.329143059490085	0.3618980169971671	6627.642351274788	0.2585557848683413	3898142092	250	0.1763456090651558	0.38526912181303113	0.329143059490085	0.3618980169971671	6627.643590651558	0.2585557847652833	14	COMPLETE
15	0.4006728045325779	2020-04-03 00:38:45.843202	2020-04-03 01:15:56.256540	256	46	0.0014374409231225028	128	0.42769047041303604	0.19192634560906516	0.4006728045325779	0.35092067988668557	0.38048866855524077	8669.37252124646	0.27725904228664444	0.19192634560906516	0.4006728045325779	0.35092067988668557	0.38048866855524077	8669.371458923513	0.27725904231404297	1204196801	250	0.19192634560906516	0.4006728045325779	0.35092067988668557	0.38048866855524077	8669.373583569404	0.27725904225925874	15	COMPLETE
16	0.3859773371104816	2020-04-03 01:15:56.295531	2020-04-03 01:42:24.889090	64	17	0.001996613993403452	128	0.45920301409123554	0.14359065155807366	0.3859773371104816	0.3209985835694051	0.3548158640226629	9308.00486898017	0.23840289174328672	0.14359065155807366	0.3859773371104816	0.3209985835694051	0.3548158640226629	9308.00407223796	0.23840289174531779	4172791642	200	0.14359065155807366	0.3859773371104816	0.3209985835694051	0.3548158640226629	9308.00566572238	0.23840289174125573	16	COMPLETE
17	0.3978399433427762	2020-04-03 01:42:24.927664	2020-04-03 02:03:21.918270	128	64	0.001865407248287456	256	0.4424127437465634	0.22308781869688385	0.3978399433427762	0.3603045325779037	0.3834985835694051	8967.355347025496	0.2962366651238712	0.22308781869688385	0.3978399433427762	0.3603045325779037	0.3834985835694051	8967.354461756375	0.2962366651483459	3301870341	250	0.22308781869688385	0.3978399433427762	0.3603045325779037	0.3834985835694051	8967.356232294618	0.296236665099408	17	COMPLETE
