number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.0005311614730878187	2020-04-02 18:25:01.448165	2020-04-02 18:36:03.645306	0.9536433745102811	11.08835116433499	128	43	0.0021135453709566886	256	1.0175481270793938	0.00017705382436260624	0.0005311614730878187	0.00017705382436260624	0.0005311614730878187	20628.87252124646	0.00045203991813492757	0.00017705382436260624	0.0005311614730878187	0.00017705382436260624	0.0005311614730878187	20628.85676345609	0.0004520399989280514	3354952300	150	0.00017705382436260624	0.0005311614730878187	0.00017705382436260624	0.0005311614730878187	20628.888279036826	0.0004520398373520661	0	COMPLETE
1	0.0017705382436260624	2020-04-02 18:36:03.701794	2020-04-02 18:54:45.473162	0.2811513927438786	12.528964366611577	64	29	0.005101315286660998	128	0.9654213519505929	0.0008852691218130312	0.0017705382436260624	0.00141643059490085	0.001593484419263456	19572.07622167139	0.0015134404703364389	0.0008852691218130312	0.0017705382436260624	0.00141643059490085	0.001593484419263456	19571.971671388103	0.0015134871565086266	2866628138	150	0.0008852691218130312	0.0017705382436260624	0.00141643059490085	0.001593484419263456	19572.180771954674	0.0015133947897780612	1	COMPLETE
2	0.0008852691218130312	2020-04-02 18:54:45.532084	2020-04-02 19:05:41.180075	0.27439520199065803	15.883845888814637	64	52	0.02545370832932274	256	0.9527487938218195	0.00017705382436260624	0.0008852691218130312	0.0003541076487252125	0.0005311614730878187	19315.00690509915	0.0006827883985376546	0.00017705382436260624	0.0008852691218130312	0.0003541076487252125	0.0005311614730878187	19314.92705382436	0.000682801325893938	4024163586	150	0.00017705382436260624	0.0008852691218130312	0.0003541076487252125	0.0005311614730878187	19315.086756373938	0.0006827755578864873	2	COMPLETE
3	0.0003541076487252125	2020-04-02 19:05:41.219082	2020-04-02 19:17:01.487646	0.992034367192509	28.751759857122742	256	30	0.0024977014426720502	256	1.0486874758392901	0.00017705382436260624	0.0003541076487252125	0.00017705382436260624	0.0003541076487252125	21260.834189093486	0.00038457522206750437	0.00017705382436260624	0.0003541076487252125	0.00017705382436260624	0.0003541076487252125	21260.813031161473	0.0003845758480935512	3869629995	150	0.00017705382436260624	0.0003541076487252125	0.00017705382436260624	0.0003541076487252125	21260.855347025496	0.0003845745964995418	3	COMPLETE
4	0.010623229461756374	2020-04-02 19:17:01.530295	2020-04-02 19:44:29.018189	0.10642801243340935	6.364634533760153	256	7	0.009482060774184299	256	0.9383331928097544	0.002478753541076487	0.010623229461756374	0.005488668555240793	0.0084985835694051	19023.026115439094	0.0053330469520495175	0.002478753541076487	0.010623229461756374	0.005488668555240793	0.0084985835694051	19022.9934490085	0.0053330475525485465	2747903225	300	0.002478753541076487	0.010623229461756374	0.005488668555240793	0.0084985835694051	19023.058781869688	0.005333046351871147	4	COMPLETE
5	0.0019475920679886685	2020-04-02 19:44:29.090302	2020-04-02 19:51:41.093406	0.6977978799115475	2.011522556986762	128	80	0.019061027123325244	512	0.9482206988232947	0.00017705382436260624	0.0019475920679886685	0.000708215297450425	0.0008852691218130312	19222.956002124647	0.0009707829453540694	0.00017705382436260624	0.0019475920679886685	0.000708215297450425	0.0008852691218130312	19222.935552407933	0.0009707830516025362	1615682980	150	0.00017705382436260624	0.0019475920679886685	0.000708215297450425	0.0008852691218130312	19222.97645184136	0.0009707828391203085	5	COMPLETE
6	0.00141643059490085	2020-04-02 19:51:41.145256	2020-04-02 19:58:53.670273	0.997698783650353	8.72600800450869	128	82	0.014093582853577489	512	0.9510526373486641	0.00017705382436260624	0.00141643059490085	0.0003541076487252125	0.0005311614730878187	19280.983179886687	0.0007206295301834651	0.00017705382436260624	0.00141643059490085	0.0003541076487252125	0.0005311614730878187	19280.873583569406	0.0007206333745044668	1088895405	150	0.00017705382436260624	0.00141643059490085	0.0003541076487252125	0.0005311614730878187	19281.092776203965	0.0007206256964223906	6	COMPLETE
7	0.0005311614730878187	2020-04-02 19:58:53.716677	2020-04-02 20:18:34.411623	0.8197219371635999	11.701109004299347	256	33	0.0018142972709272634	128	1.0432193794726112	0.00017705382436260624	0.0005311614730878187	0.0003541076487252125	0.0003541076487252125	21149.782223796035	0.0004623957411200868	0.00017705382436260624	0.0005311614730878187	0.0003541076487252125	0.0003541076487252125	21149.72078611898	0.00046239625511692244	1387093633	150	0.00017705382436260624	0.0005311614730878187	0.0003541076487252125	0.0003541076487252125	21149.84366147309	0.0004623952272779499	7	COMPLETE
8	0.0017705382436260624	2020-04-02 20:18:34.462681	2020-04-02 20:25:30.051372	0.16014868137187538	3.442616023401361	128	13	0.015287919624845315	512	0.9401454680359496	0.0	0.0017705382436260624	0.000708215297450425	0.0010623229461756375	19059.49911473088	0.0009431132523699201	0.0	0.0017705382436260624	0.000708215297450425	0.0010623229461756375	19059.476274787536	0.0009431134585500188	70352471	150	0.0	0.0017705382436260624	0.000708215297450425	0.0010623229461756375	19059.52195467422	0.0009431130462446415	8	COMPLETE
9	0.00141643059490085	2020-04-02 20:25:30.100127	2020-04-02 20:44:20.314535	0.6559977737717603	10.380975982016057	64	44	0.07523472952724382	128	0.9417981280523118	0.0003541076487252125	0.00141643059490085	0.0008852691218130312	0.0012393767705382436	19092.953966005665	0.0010497106189974665	0.0003541076487252125	0.00141643059490085	0.0008852691218130312	0.0012393767705382436	19092.8888101983	0.0010497123219534066	202074019	150	0.0003541076487252125	0.00141643059490085	0.0008852691218130312	0.0012393767705382436	19093.01912181303	0.001049708917521023	9	COMPLETE
