number	value	datetime_start	datetime_complete	params_loss.margin	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.9096441947565543	2021-04-01 00:41:30.009447	2021-04-01 00:44:46.809473	2.847475142834088	128	91	0.021236085800003322	512	0.10513241362953314	0.27762172284644193	0.9096441947565543	0.5880149812734082	0.7509363295880149	5.094101123595506	0.4759472031230392	0.27762172284644193	0.9096441947565543	0.5880149812734082	0.7509363295880149	5.094101123595506	0.4759472031230392	1456918114	151	0.27762172284644193	0.9096441947565543	0.5880149812734082	0.7509363295880149	5.094101123595506	0.4759472031230392	0	COMPLETE
1	0.9241573033707865	2021-04-01 00:44:46.825278	2021-04-01 00:55:17.169611	6.874415847839028	256	64	0.058406798933213405	128	0.0909966464810185	0.34925093632958804	0.9241573033707865	0.673689138576779	0.8010299625468165	4.395599250936329	0.5407661172293345	0.34925093632958804	0.9241573033707865	0.673689138576779	0.8010299625468165	4.395599250936329	0.5407661172293345	3903573870	251	0.34925093632958804	0.9241573033707865	0.673689138576779	0.8010299625468165	4.395599250936329	0.5407661172293345	1	COMPLETE
2	0.9105805243445693	2021-04-01 00:55:17.182480	2021-04-01 00:59:34.608123	2.905652287924114	128	35	0.005853244045486413	128	0.10281233143232317	0.28745318352059923	0.9105805243445693	0.6081460674157303	0.7668539325842697	4.992509363295881	0.48962352741648085	0.28745318352059923	0.9105805243445693	0.6081460674157303	0.7668539325842697	4.992509363295881	0.48962352741648085	1290164663	151	0.28745318352059923	0.9105805243445693	0.6081460674157303	0.7668539325842697	4.992509363295881	0.48962352741648085	2	COMPLETE
3	0.9377340823970037	2021-04-01 00:59:34.617321	2021-04-01 01:05:42.695087	3.0383742445870503	256	63	0.030286722447192237	256	0.08382518349253758	0.34784644194756553	0.9377340823970037	0.6877340823970037	0.8211610486891385	4.051029962546816	0.5475667704114244	0.34784644194756553	0.9377340823970037	0.6877340823970037	0.8211610486891385	4.051029962546816	0.5475667704114244	3828801887	201	0.34784644194756553	0.9377340823970037	0.6877340823970037	0.8211610486891385	4.051029962546816	0.5475667704114244	3	COMPLETE
4	0.9129213483146067	2021-04-01 01:05:42.709996	2021-04-01 01:12:54.527571	6.567850932997261	64	100	0.009917519288039106	128	0.09757356471137915	0.31226591760299627	0.9129213483146067	0.6254681647940075	0.7832397003745318	4.741104868913857	0.5071886741472504	0.31226591760299627	0.9129213483146067	0.6254681647940075	0.7832397003745318	4.741104868913857	0.5071886741472504	2468323701	151	0.31226591760299627	0.9129213483146067	0.6254681647940075	0.7832397003745318	4.741104868913857	0.5071886741472504	4	COMPLETE
5	0.8904494382022472	2021-04-01 01:12:54.536655	2021-04-01 01:15:31.500061	7.424913498775787	64	20	0.03399455704705695	512	0.1076535544609337	0.2551498127340824	0.8904494382022472	0.5622659176029963	0.7265917602996255	5.221441947565543	0.45524476806091285	0.2551498127340824	0.8904494382022472	0.5622659176029963	0.7265917602996255	5.221441947565543	0.45524476806091285	1930584049	251	0.2551498127340824	0.8904494382022472	0.5622659176029963	0.7265917602996255	5.221441947565543	0.45524476806091285	5	COMPLETE
6	0.9222846441947565	2021-04-01 01:15:31.509384	2021-04-01 01:20:41.832358	5.446192518117078	256	79	0.02501227237200866	512	0.09239499786021083	0.3441011235955056	0.9222846441947565	0.650749063670412	0.7902621722846442	4.467228464419476	0.5320727911543175	0.3441011235955056	0.9222846441947565	0.650749063670412	0.7902621722846442	4.467228464419476	0.5320727911543175	3938119679	151	0.3441011235955056	0.9222846441947565	0.650749063670412	0.7902621722846442	4.467228464419476	0.5320727911543175	6	COMPLETE
7	0.9438202247191011	2021-04-01 01:20:41.841398	2021-04-01 01:32:03.343586	7.9753265550313275	256	84	0.030561381439316325	128	0.08489446802507765	0.3497191011235955	0.9438202247191011	0.6811797752808989	0.827247191011236	4.103932584269663	0.5493786290671316	0.3497191011235955	0.9438202247191011	0.6811797752808989	0.827247191011236	4.103932584269663	0.5493786290671316	400518949	201	0.3497191011235955	0.9438202247191011	0.6811797752808989	0.827247191011236	4.103932584269663	0.5493786290671316	7	COMPLETE
8	0.9391385767790262	2021-04-01 01:32:03.359589	2021-04-01 01:43:01.403297	8.031469401630467	256	84	0.0235759404562152	256	0.08613728620949086	0.32397003745318353	0.9391385767790262	0.6643258426966292	0.8197565543071161	4.165262172284645	0.527505766144531	0.32397003745318353	0.9391385767790262	0.6643258426966292	0.8197565543071161	4.165262172284645	0.527505766144531	749015578	201	0.32397003745318353	0.9391385767790262	0.6643258426966292	0.8197565543071161	4.165262172284645	0.527505766144531	8	COMPLETE
9	0.9044943820224719	2021-04-01 01:43:01.414293	2021-04-01 01:48:36.487042	8.35002323161265	256	71	0.00842688081247956	256	0.10370812992642071	0.2645131086142322	0.9044943820224719	0.5852059925093633	0.7504681647940075	5.02434456928839	0.4695149244967283	0.2645131086142322	0.9044943820224719	0.5852059925093633	0.7504681647940075	5.02434456928839	0.4695149244967283	23488475	151	0.2645131086142322	0.9044943820224719	0.5852059925093633	0.7504681647940075	5.02434456928839	0.4695149244967283	9	COMPLETE
