number	value	datetime_start	datetime_complete	params_loss.margin	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.37340651558073656	2021-04-02 10:02:01.009931	2021-04-02 11:29:34.223955	4.816526511517481	128	35	0.08680175410358111	128	0.4093126831700678	0.26841359773371104	0.37340651558073656	0.33321529745042494	0.3521600566572238	8297.750885269123	0.30784259665763886	0.26841359773371104	0.37340651558073656	0.33321529745042494	0.3521600566572238	8297.750708215297	0.3078425966579473	3321186018	301	0.26841359773371104	0.37340651558073656	0.33321529745042494	0.3521600566572238	8297.751062322946	0.3078425966573304	0	COMPLETE
1	0.46919263456090654	2021-04-02 11:29:34.240095	2021-04-02 11:42:10.549569	8.921729846773406	64	42	0.002891732637409503	512	0.3432063759462902	0.3969546742209632	0.46919263456090654	0.43873937677053826	0.4518413597733711	6956.92209631728	0.42442475386081313	0.3969546742209632	0.46919263456090654	0.43873937677053826	0.4518413597733711	6956.921919263456	0.42442475386097095	3421949203	151	0.3969546742209632	0.46919263456090654	0.43873937677053826	0.4518413597733711	6956.922273371105	0.42442475386065537	1	COMPLETE
2	0.43342776203966005	2021-04-02 11:42:10.562746	2021-04-02 12:03:52.499471	7.56445451252366	128	12	0.005429504319160613	256	0.38809493178993465	0.3640226628895184	0.43342776203966005	0.4068696883852691	0.4180240793201133	7867.29629957507	0.3903707762460264	0.3640226628895184	0.43342776203966005	0.4068696883852691	0.4180240793201133	7867.2962110481585	0.3903707762464359	2588854620	151	0.3640226628895184	0.43342776203966005	0.4068696883852691	0.4180240793201133	7867.296388101983	0.39037077624561695	2	COMPLETE
3	0.4084631728045326	2021-04-02 12:03:52.510877	2021-04-02 12:40:55.301946	7.277538530605966	64	28	0.007432024158247016	128	0.36985201918472643	0.3312677053824363	0.4084631728045326	0.3764164305949009	0.3918201133144476	7497.261685552408	0.3595140403100147	0.3312677053824363	0.4084631728045326	0.3764164305949009	0.3918201133144476	7497.261508498584	0.35951404031014966	3176330542	151	0.3312677053824363	0.4084631728045326	0.3764164305949009	0.3918201133144476	7497.261862606232	0.35951404030987977	3	COMPLETE
4	0.39713172804532576	2021-04-02 12:40:55.311078	2021-04-02 14:42:44.897267	1.3785455918363114	256	91	0.01159528723943911	512	0.35506627521533285	0.33976628895184136	0.39713172804532576	0.37163597733711046	0.3827903682719547	7197.01620042493	0.36139523585200467	0.33976628895184136	0.39713172804532576	0.37163597733711046	0.3827903682719547	7197.015757790368	0.36139523585311245	450374665	401	0.33976628895184136	0.39713172804532576	0.37163597733711046	0.3827903682719547	7197.01664305949	0.361395235850897	4	COMPLETE
5	0.4228045325779037	2021-04-02 14:42:44.908097	2021-04-02 14:54:30.996623	3.1296555133945136	64	33	0.004829254207567579	512	0.35859264757262155	0.35003541076487255	0.4228045325779037	0.3955382436260623	0.40793201133144474	7268.976186260623	0.37781206385717325	0.35003541076487255	0.4228045325779037	0.3955382436260623	0.40793201133144474	7268.9757436260625	0.3778120638643116	3862098488	151	0.35003541076487255	0.4228045325779037	0.3955382436260623	0.40793201133144474	7268.976628895184	0.37781206385003613	5	COMPLETE
6	0.386685552407932	2021-04-02 14:54:31.007733	2021-04-02 17:14:18.026194	5.829122789469428	256	78	0.05792393658118832	256	0.40811430255878806	0.2988668555240793	0.386685552407932	0.3576487252124646	0.369157223796034	8273.626859065156	0.3330332871538865	0.2988668555240793	0.386685552407932	0.3576487252124646	0.369157223796034	8273.626770538243	0.33303328715505287	1167258918	401	0.2988668555240793	0.386685552407932	0.3576487252124646	0.369157223796034	8273.626947592067	0.33303328715272035	6	COMPLETE
7	0.38774787535410765	2021-04-02 17:14:18.036890	2021-04-02 17:34:48.516959	0.6194266755674421	128	61	0.0026701935882641695	256	0.39779923927301203	0.31143767705382436	0.38774787535410765	0.35853399433427763	0.3726983002832861	8063.5575424929175	0.3403970409735179	0.31143767705382436	0.38774787535410765	0.35853399433427763	0.3726983002832861	8063.557011331445	0.3403970409918151	1679972524	101	0.31143767705382436	0.38774787535410765	0.35853399433427763	0.3726983002832861	8063.558073654391	0.3403970409552264	7	COMPLETE
8	0.4112960339943343	2021-04-02 17:34:48.527971	2021-04-02 20:56:44.330053	2.3020286145543984	256	100	0.01120279053037566	256	0.34876759563883525	0.3487960339943343	0.4112960339943343	0.38420679886685555	0.3951841359773371	7068.997875354107	0.3727457303395522	0.3487960339943343	0.4112960339943343	0.38420679886685555	0.3951841359773371	7068.996990084986	0.3727457303688571	655061169	501	0.3487960339943343	0.4112960339943343	0.38420679886685555	0.3951841359773371	7068.99876062323	0.3727457303102612	8	COMPLETE
9	0.3024079320113314	2021-04-02 20:56:44.342747	2021-04-02 21:40:30.961433	4.441539262255148	64	97	0.03679251543053233	128	0.37656782888862195	0.1763456090651558	0.3024079320113314	0.24592776203966005	0.2694759206798867	7633.6299575070825	0.22192269883786725	0.1763456090651558	0.3024079320113314	0.24592776203966005	0.2694759206798867	7633.629780453258	0.22192269883812593	990740021	151	0.1763456090651558	0.3024079320113314	0.24592776203966005	0.2694759206798867	7633.630134560906	0.22192269883760862	9	COMPLETE
