Replicate	Epoch	Loss
0	0	0.00022418363885086864
0	1	7.610741936602207e-05
0	2	5.089536716396486e-05
0	3	3.607208125546981e-05
0	4	2.7186868909259635e-05
0	5	2.143776078988483e-05
0	6	1.767853164497581e-05
0	7	1.5308137560264035e-05
0	8	1.3706970535187675e-05
0	9	1.2591334864514166e-05
0	10	1.1851063590656396e-05
0	11	1.129085534013691e-05
0	12	1.086229863529156e-05
0	13	1.052742336308585e-05
0	14	1.0293922881545281e-05
0	15	1.0059767867900539e-05
0	16	9.92339589312489e-06
0	17	9.777811661763836e-06
0	18	9.61859718516799e-06
0	19	9.545291362634424e-06
0	20	9.49067558421599e-06
0	21	9.410617243051289e-06
0	22	9.345073391808342e-06
0	23	9.238223639361569e-06
0	24	9.230980224162806e-06
0	25	9.160122688182827e-06
0	26	9.120377041412419e-06
0	27	9.050281045222256e-06
0	28	9.083823498410826e-06
0	29	9.019205076871064e-06
0	30	8.995912187691353e-06
0	31	8.956899699626273e-06
0	32	8.927985003662976e-06
0	33	8.90240264366372e-06
0	34	8.899066825542977e-06
0	35	8.881315669382969e-06
0	36	8.846188543356264e-06
0	37	8.843818963889971e-06
0	38	8.828750137975581e-06
0	39	8.80254047465461e-06
0	40	8.790368305498462e-06
0	41	8.807722813811547e-06
0	42	8.735185129704759e-06
0	43	8.715806441539077e-06
0	44	8.735570573003705e-06
0	45	8.752794647668883e-06
0	46	8.708825175031997e-06
0	47	8.702468099968566e-06
0	48	8.703393430657666e-06
0	49	8.681371136121239e-06
0	50	8.671320495796916e-06
0	51	8.678147453274069e-06
0	52	8.65534600538297e-06
0	53	8.662460346662077e-06
0	54	8.63239004193349e-06
0	55	8.636835963007776e-06
0	56	8.635273205369284e-06
0	57	8.601045084846126e-06
0	58	8.603241576195124e-06
0	59	8.592424371073557e-06
0	60	8.644275009517873e-06
0	61	8.641830532236044e-06
0	62	8.606343150272066e-06
0	63	8.599247438340925e-06
0	64	8.576639080840427e-06
0	65	8.58649745241157e-06
0	66	8.578486195575113e-06
0	67	8.58743619662234e-06
0	68	8.566098770533092e-06
0	69	8.561275841121617e-06
0	70	8.55962241767543e-06
