number	value	datetime_start	datetime_complete	params_loss.margin	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.0719787743923314	2020-03-21 17:50:46.745377	2020-03-21 21:03:45.834534	7.67936864485913	128	38	0.04708813887360041	256	0.37050817874844316	0.012353075430788544	0.0719787743923314	0.030326372246947394	0.04467648065730914	2661.2055660162046	0.034293080111709465	0.012353075430788544	0.0719787743923314	0.030326372246947394	0.04467648065730914	2661.2054661645557	0.03429308044479278	3390162279	450	0.012353075430788544	0.0719787743923314	0.030326372246947394	0.04467648065730914	2661.2056658678534	0.034293079779624876	0	COMPLETE
1	0.0005991098938719617	2020-03-21 21:03:45.888669	2020-03-21 21:51:45.132468	5.600055768944726	128	49	0.0052486709604728145	512	1.00054625824501	5.705808513066301e-05	0.0005991098938719617	0.0002567613830879836	0.0002567613830879836	7150.833747004451	0.0006226300990874407	5.705808513066301e-05	0.0005991098938719617	0.0002567613830879836	0.0002567613830879836	7150.833647152802	0.0006226301637092847	334723862	150	5.705808513066301e-05	0.0005991098938719617	0.0002567613830879836	0.0002567613830879836	7150.8338468561	0.0006226300345852483	1	COMPLETE
2	0.0775989957777017	2020-03-21 21:51:45.179792	2020-03-22 01:17:18.274407	9.066554858701789	128	28	0.04366243224064911	256	0.3434748886353769	0.012324546388223211	0.0775989957777017	0.030725778842862032	0.04624557799840237	2467.9965765148922	0.03552488072210171	0.012324546388223211	0.0775989957777017	0.030725778842862032	0.04624557799840237	2467.996462398722	0.035524926675340456	885588282	550	0.012324546388223211	0.0775989957777017	0.030725778842862032	0.04624557799840237	2467.9966906310624	0.035524837062333926	2	COMPLETE
3	0.0005705808513066301	2020-03-22 01:17:18.330497	2020-03-22 02:20:41.132443	7.061504702460072	128	72	0.009536134752518032	512	0.9942781010391026	2.8529042565331506e-05	0.0005705808513066301	0.00017117425539198904	0.00022823234052265205	7105.434568640876	0.000585156866558076	2.8529042565331506e-05	0.0005705808513066301	0.00017117425539198904	0.00022823234052265205	7105.434411731142	0.0005851568717728529	1265703170	150	2.8529042565331506e-05	0.0005705808513066301	0.00017117425539198904	0.00022823234052265205	7105.434725550611	0.0005851568613450106	3	COMPLETE
4	0.0008558712769599452	2020-03-22 02:20:41.183493	2020-03-22 04:23:47.258236	6.363663977184755	256	36	0.005590618156513319	256	0.994194845945098	5.705808513066301e-05	0.0008558712769599452	0.00022823234052265205	0.00034234851078397807	7103.196722013009	0.0006896555239100069	5.705808513066301e-05	0.0008558712769599452	0.00022823234052265205	0.00034234851078397807	7103.19662216136	0.0006896555288662442	509716604	150	5.705808513066301e-05	0.0008558712769599452	0.00022823234052265205	0.00034234851078397807	7103.196821864658	0.0006896555189555311	4	COMPLETE
5	0.0009129293620906082	2020-03-22 04:23:47.294746	2020-03-22 05:07:09.826268	5.216803145659939	128	42	0.00382065929837576	512	0.999918124789162	5.705808513066301e-05	0.0009129293620906082	0.00017117425539198904	0.0003994065959146411	7143.990756590209	0.0006945890591306211	5.705808513066301e-05	0.0009129293620906082	0.00017117425539198904	0.0003994065959146411	7143.990613944996	0.0006945891390657956	3263499279	150	5.705808513066301e-05	0.0009129293620906082	0.00017117425539198904	0.0003994065959146411	7143.990899235421	0.0006945889793683372	5	COMPLETE
6	0.0007988131918292822	2020-03-22 05:07:09.865609	2020-03-22 05:54:49.201514	6.478290343496661	64	40	0.01851695065474655	128	0.9767202880543409	0.00011411617026132602	0.0007988131918292822	0.00028529042565331506	0.0003994065959146411	6981.950573433755	0.0007117302484667007	0.00011411617026132602	0.0007988131918292822	0.00028529042565331506	0.0003994065959146411	6981.950502111149	0.0007117302532093919	693416705	150	0.00011411617026132602	0.0007988131918292822	0.00028529042565331506	0.0003994065959146411	6981.950644756362	0.0007117302437256207	6	COMPLETE
7	0.0005705808513066301	2020-03-22 05:54:49.243038	2020-03-22 07:07:26.722414	1.156114301399034	256	22	0.01979039111367037	512	0.9638440265148739	5.705808513066301e-05	0.0005705808513066301	0.00014264521282665753	0.00028529042565331506	6890.339652516262	0.0006585203201240365	5.705808513066301e-05	0.0005705808513066301	0.00014264521282665753	0.00028529042565331506	6890.339552664613	0.0006585203309636387	1250827539	150	5.705808513066301e-05	0.0005705808513066301	0.00014264521282665753	0.00028529042565331506	6890.3397523679105	0.0006585203092903581	7	COMPLETE
8	0.0004564646810453041	2020-03-22 07:07:26.766490	2020-03-22 07:31:01.459064	6.49539487393154	64	43	0.028324568208451962	512	0.9725717839783274	0.0	0.0004564646810453041	0.00011411617026132602	0.00017117425539198904	6950.140562592719	0.0005109321057106839	0.0	0.0004564646810453041	0.00011411617026132602	0.00017117425539198904	6950.1404770055915	0.0005109321103718746	1874100248	150	0.0	0.0004564646810453041	0.00011411617026132602	0.00017117425539198904	6950.140648179847	0.000510932101051104	8	COMPLETE
9	0.0006276389364372932	2020-03-22 07:31:01.505798	2020-03-22 08:31:26.788545	5.766687237961166	64	86	0.006548786212002489	128	0.9975036359803502	8.558712769599452e-05	0.0006276389364372932	0.00022823234052265205	0.00028529042565331506	7129.046759100765	0.0006700899574173423	8.558712769599452e-05	0.0006276389364372932	0.00022823234052265205	0.00028529042565331506	7129.046730571722	0.0006700899583317931	3917650586	150	8.558712769599452e-05	0.0006276389364372932	0.00022823234052265205	0.00028529042565331506	7129.046787629807	0.0006700899565030817	9	COMPLETE
10	0.0008273422343946138	2020-03-22 08:31:26.833040	2020-03-22 09:33:20.126831	2.7714709357885186	128	70	0.0020410402111909662	512	1.0027703165706676	8.558712769599452e-05	0.0008273422343946138	0.00022823234052265205	0.0003138194682186466	7165.158906767089	0.0007212307371760298	8.558712769599452e-05	0.0008273422343946138	0.00022823234052265205	0.0003138194682186466	7165.158764121876	0.0007212307798003546	3466058576	150	8.558712769599452e-05	0.0008273422343946138	0.00022823234052265205	0.0003138194682186466	7165.159049412302	0.0007212306945901519	10	COMPLETE
11	0.0007417551066986192	2020-03-22 09:33:20.172944	2020-03-22 10:48:31.137475	1.0810430554920305	128	51	0.0016344922468379615	128	0.9959412781755571	8.558712769599452e-05	0.0007417551066986192	0.00034234851078397807	0.0004279356384799726	7115.928791509757	0.0007345103306328332	8.558712769599452e-05	0.0007417551066986192	0.00034234851078397807	0.0004279356384799726	7115.928705922629	0.0007345103406538241	1786591912	150	8.558712769599452e-05	0.0007417551066986192	0.00034234851078397807	0.0004279356384799726	7115.928877096884	0.0007345103206169867	11	COMPLETE
12	0.0010555745749172658	2020-03-22 10:48:31.172927	2020-03-22 11:56:24.398878	1.3072351572571375	128	79	0.03943514023889508	512	0.894829894902551	2.8529042565331506e-05	0.0010555745749172658	0.00019970329795732054	0.00048499372361063563	6397.435567157366	0.0009310019378420519	2.8529042565331506e-05	0.0010555745749172658	0.00019970329795732054	0.00048499372361063563	6397.435524363802	0.0009310021133810634	692959253	150	2.8529042565331506e-05	0.0010555745749172658	0.00019970329795732054	0.00048499372361063563	6397.4356099509305	0.0009310017629160334	12	COMPLETE
13	0.0006561679790026247	2020-03-22 11:56:24.442603	2020-03-22 13:16:12.933886	0.8931181731673501	128	97	0.0155578125967034	512	0.993199096800088	0.00017117425539198904	0.0006561679790026247	0.00028529042565331506	0.0003994065959146411	7098.374030012553	0.0007239469392129164	0.00017117425539198904	0.0006561679790026247	0.00028529042565331506	0.0003994065959146411	7098.373901631861	0.0007239469496049487	938459975	150	0.00017117425539198904	0.0006561679790026247	0.00028529042565331506	0.0003994065959146411	7098.374158393244	0.0007239469288249342	13	COMPLETE
14	0.07229259386055004	2020-03-22 13:16:12.969892	2020-03-22 18:26:18.432754	9.942168382506296	128	96	0.07087516853607342	256	0.34145475123429464	0.01209631404770056	0.07229259386055004	0.030155197991555402	0.043478260869565216	2451.132389022024	0.03416720274940563	0.01209631404770056	0.07229259386055004	0.030155197991555402	0.043478260869565216	2451.132317699418	0.03416720416608851	326572178	400	0.01209631404770056	0.07229259386055004	0.030155197991555402	0.043478260869565216	2451.132460344631	0.03416720134277431	14	COMPLETE
