number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.10533707865168539	2020-03-18 13:43:37.322862	2020-03-18 13:47:47.377375	0.9719795969990975	26.78443989508722	128	69	0.032148488213250795	128	1.0045260719436984	0.014044943820224719	0.10533707865168539	0.035580524344569285	0.05758426966292135	48.514044943820224	0.05676532194180671	0.014044943820224719	0.10533707865168539	0.035580524344569285	0.05758426966292135	48.514044943820224	0.05676532194180671	547559581	200.0	0.014044943820224719	0.10533707865168539	0.035580524344569285	0.05758426966292135	48.514044943820224	0.05676532194180671	0	COMPLETE
1	0.10393258426966293	2020-03-18 13:47:47.392439	2020-03-18 13:49:39.341027	0.9264414456616455	10.025463816493726	128	50	0.0038146458611931426	256	0.9954497886443169	0.010767790262172285	0.10393258426966293	0.033707865168539325	0.05290262172284644	48.078183520599254	0.054154430765444364	0.010767790262172285	0.10393258426966293	0.033707865168539325	0.05290262172284644	48.078183520599254	0.054154430765444364	99750276	150.0	0.010767790262172285	0.10393258426966293	0.033707865168539325	0.05290262172284644	48.078183520599254	0.054154430765444364	1	COMPLETE
2	0.10720973782771535	2020-03-18 13:49:39.351193	2020-03-18 13:50:30.555382	0.15919014679798676	27.55675576526591	64	70	0.0013751795750472507	512	0.9965004156481418	0.011235955056179775	0.10720973782771535	0.031835205992509365	0.05196629213483146	48.07911985018727	0.05515847147197219	0.011235955056179775	0.10720973782771535	0.031835205992509365	0.05196629213483146	48.07911985018727	0.05515847147197219	3051936564	150.0	0.011235955056179775	0.10720973782771535	0.031835205992509365	0.05196629213483146	48.07911985018727	0.05515847147197219	2	COMPLETE
3	0.10112359550561797	2020-03-18 13:50:30.571890	2020-03-18 13:51:27.994632	0.15787085357893046	15.651390597922436	128	14	0.0061894089644221155	256	0.9916039958434033	0.007022471910112359	0.10112359550561797	0.031835205992509365	0.052434456928838954	47.84035580524345	0.05257761675341543	0.007022471910112359	0.10112359550561797	0.031835205992509365	0.052434456928838954	47.84035580524345	0.05257761675341543	1564742056	150.0	0.007022471910112359	0.10112359550561797	0.031835205992509365	0.052434456928838954	47.84035580524345	0.05257761675341543	3	COMPLETE
4	0.11142322097378277	2020-03-18 13:51:28.005737	2020-03-18 13:56:36.038677	0.761452855342635	7.949747997407067	256	46	0.005263732587492336	512	1.0065152262152637	0.009363295880149813	0.11142322097378277	0.031835205992509365	0.05664794007490637	48.55758426966292	0.05386283883844087	0.009363295880149813	0.11142322097378277	0.031835205992509365	0.05664794007490637	48.55758426966292	0.05386283883844087	3784759519	150.0	0.009363295880149813	0.11142322097378277	0.031835205992509365	0.05664794007490637	48.55758426966292	0.05386283883844087	4	COMPLETE
5	0.9288389513108615	2020-03-18 13:56:36.056907	2020-03-18 14:09:06.090413	0.17432677841040695	8.326668215223847	64	57	0.08436299298042484	128	0.08595060168203901	0.33286516853932585	0.9288389513108615	0.6816479400749064	0.8127340823970037	4.171816479400749	0.5383670219623609	0.33286516853932585	0.9288389513108615	0.6816479400749064	0.8127340823970037	4.171816479400749	0.5383670219623609	2322930383	850.0	0.33286516853932585	0.9288389513108615	0.6816479400749064	0.8127340823970037	4.171816479400749	0.5383670219623609	5	COMPLETE
6	0.09925093632958802	2020-03-18 14:09:06.108028	2020-03-18 14:18:13.463960	0.7322343360642222	27.94263423330131	256	83	0.004955750692889645	128	1.0241633877184326	0.007958801498127341	0.09925093632958802	0.027153558052434457	0.04541198501872659	49.47425093632959	0.05017447382502391	0.007958801498127341	0.09925093632958802	0.027153558052434457	0.04541198501872659	49.47425093632959	0.05017447382502391	4009080528	150.0	0.007958801498127341	0.09925093632958802	0.027153558052434457	0.04541198501872659	49.47425093632959	0.05017447382502391	6	COMPLETE
7	0.10861423220973783	2020-03-18 14:18:13.476522	2020-03-18 14:18:48.031185	0.3613948507367477	5.8504927760102365	128	8	0.016748120998885885	512	0.9968651619727622	0.009363295880149813	0.10861423220973783	0.032303370786516857	0.05571161048689138	48.16807116104869	0.05369275537148929	0.009363295880149813	0.10861423220973783	0.032303370786516857	0.05571161048689138	48.16807116104869	0.05369275537148929	2775572866	150.0	0.009363295880149813	0.10861423220973783	0.032303370786516857	0.05571161048689138	48.16807116104869	0.05369275537148929	7	COMPLETE
8	0.1151685393258427	2020-03-18 14:18:48.043029	2020-03-18 14:26:36.025312	0.3928484233768057	13.406685991895593	256	47	0.01734092278220433	512	0.9963766819080652	0.010767790262172285	0.1151685393258427	0.033707865168539325	0.05805243445692884	48.11704119850187	0.055586449928184706	0.010767790262172285	0.1151685393258427	0.033707865168539325	0.05805243445692884	48.11704119850187	0.055586449928184706	1693293072	200.0	0.010767790262172285	0.1151685393258427	0.033707865168539325	0.05805243445692884	48.11704119850187	0.055586449928184706	8	COMPLETE
9	0.11563670411985019	2020-03-18 14:26:36.037296	2020-03-18 14:27:26.302346	0.7055065011693803	17.817309140957367	64	22	0.0016084480186784684	256	1.001681518985119	0.008895131086142321	0.11563670411985019	0.032303370786516857	0.05337078651685393	48.41338951310861	0.053707245986382074	0.008895131086142321	0.11563670411985019	0.032303370786516857	0.05337078651685393	48.41338951310861	0.053707245986382074	2361665509	150.0	0.008895131086142321	0.11563670411985019	0.032303370786516857	0.05337078651685393	48.41338951310861	0.053707245986382074	9	COMPLETE
