number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.3723441926345609	2020-04-05 17:14:41.570487	2020-04-05 17:37:29.998870	0.7758149615625857	14.961443378741649	128	7	0.038425880598779	256	0.35813091292205496	0.27071529745042494	0.3723441926345609	0.32276912181303113	0.34419263456090654	7259.530187677054	0.30630446000580924	0.27071529745042494	0.3723441926345609	0.32276912181303113	0.34419263456090654	7259.529745042493	0.3063044600147633	11015833	300.0	0.27071529745042494	0.3723441926345609	0.32276912181303113	0.34419263456090654	7259.530630311615	0.3063044599968574	0	COMPLETE
1	0.3893413597733711	2020-04-05 17:37:30.048963	2020-04-05 18:15:57.565159	0.8602959631289208	14.336439505694813	128	3	0.005323461496369252	128	0.43586525742737536	0.3015226628895184	0.3893413597733711	0.358356940509915	0.37393767705382436	8835.627744334277	0.3345512787808906	0.3015226628895184	0.3893413597733711	0.358356940509915	0.37393767705382436	8835.627301699717	0.3345512787859832	1476894186	350.0	0.3015226628895184	0.3893413597733711	0.358356940509915	0.37393767705382436	8835.62818696884	0.3345512787757989	1	COMPLETE
2	0.4068696883852691	2020-04-05 18:15:57.612916	2020-04-05 19:16:55.634239	0.53224770637371	8.670314461507285	256	21	0.057109433129584955	512	0.3577228799581797	0.3153328611898017	0.4068696883852691	0.36597025495750707	0.3868626062322946	7250.836667847026	0.34800468200180834	0.3153328611898017	0.4068696883852691	0.36597025495750707	0.3868626062322946	7250.836048158641	0.3480046820034329	1049881897	350.0	0.3153328611898017	0.4068696883852691	0.36597025495750707	0.3868626062322946	7250.837287535411	0.3480046820001839	2	COMPLETE
3	0.32808073654390935	2020-04-05 19:16:55.680135	2020-04-05 19:48:17.094855	0.27670610210248986	16.3778569902397	128	16	0.024167640263282143	128	0.3335031065091737	0.2299929178470255	0.32808073654390935	0.2790368271954674	0.29922096317280455	6760.387482294617	0.2646724277676711	0.2299929178470255	0.32808073654390935	0.2790368271954674	0.29922096317280455	6760.387216713881	0.26467242776814065	3658735327	250.0	0.2299929178470255	0.32808073654390935	0.2790368271954674	0.29922096317280455	6760.387747875354	0.2646724277672015	3	COMPLETE
4	0.32294617563739375	2020-04-05 19:48:17.128556	2020-04-05 20:54:42.807320	0.2950290564016398	23.309865050176867	128	78	0.012187348661867907	128	0.30001835097249036	0.21689093484419264	0.32294617563739375	0.2673512747875354	0.2914305949008499	6081.736543909348	0.2544483684277579	0.21689093484419264	0.32294617563739375	0.2673512747875354	0.2914305949008499	6081.7361898017	0.2544483684285715	820019469	300.0	0.21689093484419264	0.32294617563739375	0.2673512747875354	0.2914305949008499	6081.736898016997	0.25444836842694435	4	COMPLETE
5	0.4173158640226629	2020-04-05 20:54:42.842206	2020-04-05 23:02:45.613162	0.15617777032381047	20.851180005328796	128	34	0.0010459234465378065	128	0.35336728528226696	0.36207507082152973	0.4173158640226629	0.39146600566572237	0.40208923512747874	7162.324716713881	0.38317418115690605	0.36207507082152973	0.4173158640226629	0.39146600566572237	0.40208923512747874	7162.323300283286	0.38317418128452824	2328065146	750.0	0.36207507082152973	0.4173158640226629	0.39146600566572237	0.40208923512747874	7162.3261331444755	0.3831741810294216	5	COMPLETE
6	0.32507082152974504	2020-04-05 23:02:45.666402	2020-04-05 23:33:45.039319	0.4596966198963324	7.918591442951114	128	14	0.014032297194400419	128	0.3446857591145364	0.22928470254957506	0.32507082152974504	0.28310906515580736	0.2979815864022663	6987.156427053825	0.2647227492061567	0.22928470254957506	0.32507082152974504	0.28310906515580736	0.2979815864022663	6987.155984419263	0.26472274924598355	4109080292	250.0	0.22928470254957506	0.32507082152974504	0.28310906515580736	0.2979815864022663	6987.156869688385	0.26472274916635524	6	COMPLETE
7	0.3955382436260623	2020-04-05 23:33:45.073354	2020-04-06 10:31:30.396794	0.43771818825574255	19.84554898602942	256	78	0.001083225506133376	512	0.4133260333431528	0.33905807365439095	0.3955382436260623	0.37110481586402266	0.38119688385269124	8377.92900141643	0.3604836626573865	0.33905807365439095	0.3955382436260623	0.37110481586402266	0.38119688385269124	8377.926876770538	0.36048366268331783	1308838590		0.33905807365439095	0.3955382436260623	0.37110481586402266	0.38119688385269124	8377.931126062324	0.3604836626314604	7	COMPLETE
8	0.3967776203966006	2020-04-06 10:31:30.434012	2020-04-06 11:24:18.286773	0.3897553336792453	7.565888953425365	128	74	0.004695193753734542	256	0.31870815563468596	0.27443342776203966	0.3967776203966006	0.3371104815864023	0.36083569405099153	6460.309932719547	0.31684500394372644	0.27443342776203966	0.3967776203966006	0.3371104815864023	0.36083569405099153	6460.309490084986	0.3168450039455138	2202621307	300.0	0.27443342776203966	0.3967776203966006	0.3371104815864023	0.36083569405099153	6460.310375354107	0.3168450039419393	8	COMPLETE
9	0.25743626062322944	2020-04-06 11:24:18.322907	2020-04-06 12:05:30.432142	0.9117734796294704	7.959070533427687	64	85	0.06042477413140935	128	0.2267507850045113	0.1504957507082153	0.25743626062322944	0.19794617563739378	0.2220254957507082	4596.453080736544	0.18765974779946257	0.1504957507082153	0.25743626062322944	0.19794617563739378	0.2220254957507082	4596.453080736544	0.18765974779946257	1056151299	300.0	0.1504957507082153	0.25743626062322944	0.19794617563739378	0.2220254957507082	4596.453080736544	0.18765974779946257	9	COMPLETE
