number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values
					loss.adversarial_temperature	loss.margin	model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	regularizer.weight	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101
0	TrialState.COMPLETE	0.0006196883852691218	2020-01-11 04:35:08.097075	2020-01-11 06:34:09.243526	0.3198092032682803	22.977814579168026	350.0	60.0	0.04572079549704217	0.026525220228391728	700.0	1.0009730293301597	8.852691218130312e-05	0.0006196883852691218	0.0003098441926345609	0.0005311614730878187	20292.651447415014	0.0004643348569503852	8.852691218130312e-05	0.0006196883852691218	0.0003098441926345609	0.0005311614730878187	20292.65129249292	0.00046433486282001986	8.852691218130312e-05	0.0006196883852691218	0.0003098441926345609	0.0005311614730878187	20292.65160233711	0.0004643348510833613	0	0.0005311614730878187	0.0005901794145420207
1	TrialState.COMPLETE	0.00017705382436260624	2020-01-11 06:34:09.244557	2020-01-11 07:05:07.032292	0.13845178096477187	12.3401553142913	150.0	80.0	0.01487640863832607	0.029208463002072995	1100.0	0.99917850998489	0.0	0.00017705382436260624	0.0	4.426345609065156e-05	20256.537336225214	0.0002449323811542292	0.0	0.00017705382436260624	0.0	4.426345609065156e-05	20256.537092776205	0.0002449325154508207	0.0	0.00017705382436260624	0.0	4.426345609065156e-05	20256.53757967422	0.00024493224707935085	1	0.00017705382436260624	0.00017705382436260624
2	TrialState.COMPLETE	0.0	2020-01-11 07:05:07.033915	2020-01-11 09:18:55.972108	0.10949514260631771	25.01896681162473	450.0	40.0	0.06235662927619264	0.021162102483370335	1000.0	1.0119356328008966	0.0	0.0	0.0	0.0	20515.555085871103	0.0001757968971406885	0.0	0.0	0.0	0.0	20515.554709631728	0.0001757969616592423	0.0	0.0	0.0	0.0	20515.555462110482	0.0001757968326834914	2	0.0	0.0
3	TrialState.COMPLETE	0.0	2020-01-11 09:18:55.973141	2020-01-11 09:56:27.696493	0.98093749929158	2.5765219298321975	150.0	100.0	0.006221219836315516	0.016352694591388963	700.0	1.0106712702005205	0.0	0.0	0.0	0.0	20489.649278505665	0.00019551908653639384	0.0	0.0	0.0	0.0	20489.64890226629	0.00019551908920922582	0.0	0.0	0.0	0.0	20489.649654745044	0.00019551908386389755	3	0.0	0.0
4	TrialState.COMPLETE	0.000398371104815864	2020-01-11 09:56:27.697635	2020-01-11 10:03:17.425555	0.5868826326462149	19.863125710052273	50.0	70.0	0.043520790266266055	0.00015862113185912	1000.0	1.0165414362614527	0.0	0.000398371104815864	8.852691218130312e-05	0.0002213172804532578	20609.12269830028	0.00027181584287122774	0.0	0.000398371104815864	8.852691218130312e-05	0.0002213172804532578	20609.12252124646	0.00027181584391633066	0.0	0.000398371104815864	8.852691218130312e-05	0.0002213172804532578	20609.122875354107	0.00027181584182624745	4	0.0004426345609065156	0.00041312559017941453
5	TrialState.COMPLETE	0.00017705382436260624	2020-01-11 10:03:17.426584	2020-01-11 13:23:23.710996	0.5816893646374581	21.904007365444205	450.0	60.0	0.08704311213560484	0.0015304431502898303	500.0	1.0021508369637255	0.0	0.00017705382436260624	0.0	4.426345609065156e-05	20317.211313739375	0.0002188287151822153	0.0	0.00017705382436260624	0.0	4.426345609065156e-05	20317.210871104817	0.00021882885671689595	0.0	0.00017705382436260624	0.0	4.426345609065156e-05	20317.211756373938	0.0002188285738553875	5	0.0003541076487252125	0.00023607176581680832
6	TrialState.COMPLETE	0.0	2020-01-11 13:23:23.712028	2020-01-11 16:16:24.645274	0.519712159350298	2.103678331034246	350.0	90.0	0.018592726387244577	0.00010281608386957939	1200.0	0.9974676373289437	0.0	0.0	0.0	0.0	20222.18953611898	0.0001555470351096464	0.0	0.0	0.0	0.0	20222.189049220964	0.0001555470451316766	0.0	0.0	0.0	0.0	20222.190023016996	0.00015554702509223053	6	0.0	0.0
7	TrialState.COMPLETE	0.0	2020-01-11 16:16:24.646289	2020-01-11 16:47:17.425840	0.607219806767363	4.923234442001725	150.0	80.0	0.004968245950486923	0.04722581592433346	1200.0	1.0107533453532747	0.0	0.0	0.0	0.0	20491.47961667847	0.00020206506003467105	0.0	0.0	0.0	0.0	20491.47928470255	0.00020206507766770224	0.0	0.0	0.0	0.0	20491.479948654393	0.00020206504240794917	7	0.0	0.0
8	TrialState.COMPLETE	0.0003541076487252125	2020-01-11 16:47:17.426894	2020-01-11 19:59:48.872899	0.6525432658881094	23.697430948703623	350.0	100.0	0.003787439384872899	0.00014817419903581454	2000.0	0.9974743676121084	0.0	0.0003541076487252125	0.0	0.0	20221.83525141643	0.00027142566647380176	0.0	0.0003541076487252125	0.0	0.0	20221.834764518415	0.00027142567564732834	0.0	0.0003541076487252125	0.0	0.0	20221.835738314447	0.0002714256573051357	8	0.0003541076487252125	0.0003541076487252125
9	TrialState.COMPLETE	0.00017705382436260624	2020-01-11 19:59:48.873946	2020-01-11 20:04:41.661118	0.6830149965915445	21.982612218888892	50.0	30.0	0.03238108300141623	0.0001519929600366515	800.0	1.0006671124753304	0.0	0.00017705382436260624	0.0	0.0	20286.79709631728	0.0001986767304854741	0.0	0.00017705382436260624	0.0	0.0	20286.79678647309	0.00019867673409532373	0.0	0.00017705382436260624	0.0	0.0	20286.797406161473	0.00019867672687630118	9	0.00017705382436260624	0.00017705382436260624
