number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.23910190574004336	2020-03-02 14:27:37.766322	2020-03-02 14:56:37.617354	64	40	0.029582233678828652	256	0.07085187308633241	0.07494579481912587	0.23910190574004336	0.1379949788885085	0.17516832135113547	495.197820381148	0.13078291238751472	0.07494579481912587	0.23910190574004336	0.1379949788885085	0.17516832135113547	495.19773479402033	0.13078291696880315	486773003	150	0.07494579481912587	0.23910190574004336	0.1379949788885085	0.17516832135113547	495.1979059682757	0.13078290787685298	0	COMPLETE
1	0.3086842405568869	2020-03-02 14:56:37.667746	2020-03-02 15:24:12.003738	64	21	0.0016256013799684464	512	0.04829731129436279	0.09246262695423942	0.3086842405568869	0.1732854045418236	0.22489444254250826	333.75827342234396	0.16315978849876875	0.09246262695423942	0.3086842405568869	0.1732854045418236	0.22489444254250826	333.75821636425883	0.16315979094331684	38049978	200	0.09246262695423942	0.3086842405568869	0.1732854045418236	0.22489444254250826	333.7583304804291	0.16315978608397852	1	COMPLETE
2	0.28434896724865916	2020-03-02 15:24:12.066674	2020-03-02 16:37:16.788196	128	10	0.0014486463624377311	128	0.05083676065688516	0.08829738673970101	0.28434896724865916	0.1676081250713226	0.2102305146639279	352.5689546958804	0.15481291122087815	0.08829738673970101	0.28434896724865916	0.1676081250713226	0.2102305146639279	352.56889763779526	0.1548129113637775	733187791	200	0.08829738673970101	0.28434896724865916	0.1676081250713226	0.2102305146639279	352.5690117539655	0.15481291107827333	2	COMPLETE
3	0.25048499372361066	2020-03-02 16:37:16.821826	2020-03-02 17:07:06.948973	128	38	0.023545131825111015	256	0.07268084098639851	0.08244893301380805	0.25048499372361066	0.14906424740385713	0.18929019742097455	507.1783207805546	0.13956791207971297	0.08244893301380805	0.25048499372361066	0.14906424740385713	0.18929019742097455	507.1782209289056	0.13956791251550113	3615581429	150	0.08244893301380805	0.25048499372361066	0.14906424740385713	0.18929019742097455	507.1784206322036	0.1395679116451988	3	COMPLETE
4	0.2760470158621477	2020-03-02 17:07:06.991603	2020-03-02 17:28:14.373329	256	19	0.012937885556206924	512	0.05988272181932678	0.09805431929704439	0.2760470158621477	0.16889193198676253	0.20940317242953327	416.8493381262125	0.15870388295990578	0.09805431929704439	0.2760470158621477	0.16889193198676253	0.20940317242953327	416.84928106812737	0.15870388317586295	2919184057	150	0.09805431929704439	0.2760470158621477	0.16889193198676253	0.20940317242953327	416.84939518429763	0.15870388274460182	4	COMPLETE
5	0.21553691658107954	2020-03-02 17:28:14.408022	2020-03-02 18:18:30.216951	128	82	0.039963368101977675	256	0.09545949214940128	0.06484651375099852	0.21553691658107954	0.12367339952071209	0.15850736049298186	669.2764749515006	0.11617263462278861	0.06484651375099852	0.21553691658107954	0.12367339952071209	0.15850736049298186	669.2763323062878	0.11617264365110481	3920443460	200	0.06484651375099852	0.21553691658107954	0.12367339952071209	0.15850736049298186	669.2766175967134	0.11617262579697232	5	COMPLETE
6	0.1916866369964624	2020-03-02 18:18:30.252596	2020-03-02 19:08:41.997730	128	44	0.029011807410125847	128	0.10588896786425038	0.055517516832135114	0.1916866369964624	0.10812507132260642	0.1398208376126897	743.568127353646	0.10282921814783427	0.055517516832135114	0.1916866369964624	0.10812507132260642	0.1398208376126897	743.5678991213055	0.10283001088544239	441523855	150	0.055517516832135114	0.1916866369964624	0.10812507132260642	0.1398208376126897	743.5683555859865	0.10282858390537543	6	COMPLETE
7	0.12082049526417893	2020-03-02 19:08:42.072357	2020-03-02 19:36:53.354718	256	3	0.021605126794428532	512	0.1460475836964091	0.03417779299326715	0.12082049526417893	0.06153714481342006	0.08222070067328541	1029.9589895013123	0.06461947218945635	0.03417779299326715	0.12082049526417893	0.06153714481342006	0.08222070067328541	1029.9587470044505	0.06461956755766603	1618551521	200	0.03417779299326715	0.12082049526417893	0.06153714481342006	0.08222070067328541	1029.9592319981741	0.06461938413683062	7	COMPLETE
8	0.25613374415154627	2020-03-02 19:36:53.390912	2020-03-02 20:21:53.070903	256	4	0.0022750500551684816	128	0.06729695119214787	0.08869679333561566	0.25613374415154627	0.15884970900376583	0.19582334816843547	469.57048099965766	0.14722761060725623	0.08869679333561566	0.25613374415154627	0.15884970900376583	0.19582334816843547	469.57040967705126	0.14722761152036903	2344847764	150	0.08869679333561566	0.25613374415154627	0.15884970900376583	0.19582334816843547	469.57055232226406	0.14722760969998752	8	COMPLETE
9	0.16820723496519457	2020-03-02 20:21:53.106713	2020-03-02 22:28:06.687525	256	98	0.03097401535777108	128	0.13279506568811447	0.04712997831792765	0.16820723496519457	0.08952413557001027	0.11731142302864316	934.7067214424284	0.08798941622470599	0.04712997831792765	0.16820723496519457	0.08952413557001027	0.11731142302864316	934.7065217391304	0.0879894174906357	1763125114	250	0.04712997831792765	0.16820723496519457	0.08952413557001027	0.11731142302864316	934.7069211457264	0.0879894149684557	9	COMPLETE
