number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_optimizer.lr	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.0005420518087412986	2020-03-05 14:29:13.470898	2020-03-05 14:58:52.415221	64	0.002559108924801821	512	0.029782974813378712	0.9994943420016651	2.8529042565331506e-05	0.0005420518087412986	0.00011411617026132602	0.0002567613830879836	7144.18461143444	0.0006272696406259246	2.8529042565331506e-05	0.0005420518087412986	0.00011411617026132602	0.0002567613830879836	7144.1795332648635	0.0006272707973759091	653303805	150	2.8529042565331506e-05	0.0005420518087412986	0.00011411617026132602	0.0002567613830879836	7144.189689604017	0.0006272684897849939	0	COMPLETE
1	0.0009699874472212713	2020-03-05 14:58:52.465128	2020-03-05 16:20:57.906080	256	0.025816721334271573	512	0.012129787429689594	0.9932261821762668	0.00017117425539198904	0.0009699874472212713	0.0003994065959146411	0.0006561679790026247	7098.175310966564	0.0009284065646313633	0.00017117425539198904	0.0009699874472212713	0.0003994065959146411	0.0006561679790026247	7098.164384343261	0.0009284087884673861	1460385698	150	0.00017117425539198904	0.0009699874472212713	0.0003994065959146411	0.0006561679790026247	7098.186237589866	0.0009284043493483368	1	COMPLETE
2	0.0006846970215679561	2020-03-05 16:20:57.952964	2020-03-05 17:43:03.854333	256	0.002007011303569438	512	0.054552509050694746	0.9860121124768418	8.558712769599452e-05	0.0006846970215679561	0.00028529042565331506	0.0004564646810453041	7043.2312706835555	0.0007309929195476528	8.558712769599452e-05	0.0006846970215679561	0.00028529042565331506	0.0004564646810453041	7043.221014492754	0.0007309941018046896	4247451112	150	8.558712769599452e-05	0.0006846970215679561	0.00028529042565331506	0.0004564646810453041	7043.241526874358	0.0007309917389092172	2	COMPLETE
3	0.0006561679790026247	2020-03-05 17:43:03.886216	2020-03-05 18:12:41.525211	64	0.01897728972232925	512	0.009706604030110186	0.9886481980677359	8.558712769599452e-05	0.0006561679790026247	0.00019970329795732054	0.0003138194682186466	7064.774663357298	0.0006926110141474628	8.558712769599452e-05	0.0006561679790026247	0.00019970329795732054	0.0003138194682186466	7064.769142987561	0.0006926117598706575	3262237339	150	8.558712769599452e-05	0.0006561679790026247	0.00019970329795732054	0.0003138194682186466	7064.7801837270345	0.0006926102697538635	3	COMPLETE
4	0.0006276389364372932	2020-03-05 18:12:41.564383	2020-03-05 19:35:06.787136	256	0.081438481770432	512	0.055610432025691804	0.9904864640499842	0.00011411617026132602	0.0006276389364372932	0.00019970329795732054	0.0004279356384799726	7076.844459659934	0.0007352984487383633	0.00011411617026132602	0.0006276389364372932	0.00019970329795732054	0.0004279356384799726	7076.833675681844	0.0007352995810077484	3172259363	150	0.00011411617026132602	0.0006276389364372932	0.00019970329795732054	0.0004279356384799726	7076.855243638023	0.0007352973176026599	4	COMPLETE
5	0.0008558712769599452	2020-03-05 19:35:06.826800	2020-03-05 20:06:44.508614	64	0.008605022666738162	128	0.028098918535631297	0.9971584347536977	0.00019970329795732054	0.0008558712769599452	0.0003994065959146411	0.0005420518087412986	7124.477690288714	0.0008657647395403168	0.00019970329795732054	0.0008558712769599452	0.0003994065959146411	0.0005420518087412986	7124.472412415839	0.0008657657867468679	3461679196	150	0.00019970329795732054	0.0008558712769599452	0.0003994065959146411	0.0005420518087412986	7124.482968161588	0.0008657636962412912	5	COMPLETE
6	0.0007988131918292822	2020-03-05 20:06:44.546133	2020-03-05 21:29:12.290831	256	0.02752147549960945	256	0.21136665158618645	0.9730495233189481	0.0	0.0007988131918292822	0.00019970329795732054	0.0003708775533493096	6949.9418435467305	0.000719376594581605	0.0	0.0007988131918292822	0.00019970329795732054	0.0003708775533493096	6949.931901175397	0.0007193782144861185	1164332556	150	0.0	0.0007988131918292822	0.00019970329795732054	0.0003708775533493096	6949.951785918064	0.0007193749789558231	6	COMPLETE
7	0.0007988131918292822	2020-03-05 21:29:12.325168	2020-03-05 21:59:39.372129	64	0.001950395308017349	256	0.9433048186993747	1.007684890094249	5.705808513066301e-05	0.0007988131918292822	0.00019970329795732054	0.0003708775533493096	7201.309354673057	0.0007100510839198718	5.705808513066301e-05	0.0007988131918292822	0.00019970329795732054	0.0003708775533493096	7201.3043763551295	0.0007100530510894369	2158813754	150	5.705808513066301e-05	0.0007988131918292822	0.00019970329795732054	0.0003708775533493096	7201.314332990984	0.0007100491281910833	7	COMPLETE
8	0.0006276389364372932	2020-03-05 21:59:39.410091	2020-03-05 23:22:22.748694	256	0.07285414054631043	256	0.0011978959846833243	0.9952380625810139	0.0	0.0006276389364372932	0.00022823234052265205	0.00034234851078397807	7110.136582791281	0.0006602472507801518	0.0	0.0006276389364372932	0.00022823234052265205	0.00034234851078397807	7110.126155426224	0.0006602505517029524	1280947682	150	0.0	0.0006276389364372932	0.00022823234052265205	0.00034234851078397807	7110.147010156339	0.0006602439719900896	8	COMPLETE
9	0.0004564646810453041	2020-03-05 23:22:22.783260	2020-03-05 23:52:28.947424	64	0.07348708988046207	512	0.002487452063280434	1.0054971481980295	5.705808513066301e-05	0.0004564646810453041	5.705808513066301e-05	0.00019970329795732054	7185.443127353646	0.0006109669836966778	5.705808513066301e-05	0.0004564646810453041	5.705808513066301e-05	0.00019970329795732054	7185.437407280611	0.0006109689570886723	4020864217	150	5.705808513066301e-05	0.0004564646810453041	5.705808513066301e-05	0.00019970329795732054	7185.44884742668	0.0006109650213211423	9	COMPLETE
