number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_optimizer.lr	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.3424055688691088	2020-03-12 09:56:54.708067	2020-03-12 10:40:51.048455	64	0.005506054655256781	512	0.0109479025485709	0.07563689637106359	0.14681045304119594	0.3424055688691088	0.22797557913956407	0.2741926280954011	527.3411217619537	0.21214634031554613	0.14681045304119594	0.3424055688691088	0.22797557913956407	0.2741926280954011	527.3405511811023	0.21214636057408343	1862713245	200	0.14681045304119594	0.3424055688691088	0.22797557913956407	0.2741926280954011	527.341692342805	0.2121463206868135	0	COMPLETE
1	0.35293278557571606	2020-03-12 10:40:51.104056	2020-03-12 11:42:34.732665	64	0.0010740931869128486	128	0.0669569372947811	0.083723036484542	0.15151774506447563	0.35293278557571606	0.23416638137624102	0.28146753394956064	581.6871790482711	0.21779581604623646	0.15151774506447563	0.35293278557571606	0.23416638137624102	0.281496062992126	581.6863231769942	0.21779634281593585	3292843920	250	0.15151774506447563	0.35293278557571606	0.23416638137624102	0.28146753394956064	581.688034919548	0.21779537581481176	1	COMPLETE
2	0.3091407052379322	2020-03-12 11:42:34.783508	2020-03-12 14:22:00.325690	64	0.09318119137596281	512	0.05996541253683333	0.17654271005479175	0.140790825059911	0.3091407052379322	0.21262695423941572	0.25176880063905055	1211.6839552664612	0.19721834543998565	0.140790825059911	0.3091407052379322	0.21262695423941572	0.25176880063905055	1211.6794762067784	0.19721839635331398	1578207291	600	0.140790825059911	0.3091407052379322	0.21262695423941572	0.25176880063905055	1211.688434326144	0.1972182964632558	2	COMPLETE
3	0.34137852333675683	2020-03-12 14:22:00.361013	2020-03-12 16:24:16.888889	256	0.04026458935924484	512	0.05227108994508883	0.13004465127978365	0.1522880292137396	0.34137852333675683	0.2308855414812279	0.2762181901175397	907.2120421088669	0.21437975843776563	0.1522880292137396	0.34137852333675683	0.2308855414812279	0.276246719160105	907.2104587470044	0.21438031296859472	2761562807	200	0.1522880292137396	0.34137852333675683	0.2308855414812279	0.2762181901175397	907.2136254707292	0.2143792918218896	3	COMPLETE
4	0.3928734451671802	2020-03-12 16:24:16.921410	2020-03-12 18:42:38.564420	128	0.0010798024849633901	512	0.021855438931483645	0.0617868877753696	0.1687778158165012	0.3928734451671802	0.2613830879835673	0.3149321008786945	428.9701586214767	0.242122637431622	0.1687778158165012	0.3928734451671802	0.2613830879835673	0.3149321008786945	428.9695024534977	0.2421226422331733	3945923908	350	0.1687778158165012	0.3928734451671802	0.2613830879835673	0.3149321008786945	428.9708147894557	0.24212263266053224	4	COMPLETE
5	0.38793792080337786	2020-03-12 18:42:38.611492	2020-03-12 19:54:41.039906	128	0.0018913243754544661	128	0.40831244131440014	0.10548124462274065	0.16954809996576514	0.38793792080337786	0.2616683784092206	0.31390505534634255	731.1023764692457	0.24121372770524557	0.16954809996576514	0.38793792080337786	0.2616683784092206	0.31390505534634255	731.1011069268516	0.2412137656219116	3672965844	200	0.16954809996576514	0.38793792080337786	0.2616683784092206	0.31390505534634255	731.1036460116399	0.24121369064408832	5	COMPLETE
6	0.3545304119593746	2020-03-12 19:54:41.072800	2020-03-12 20:56:17.238015	64	0.0011399174940955252	128	0.008063050717025193	0.0695316609040425	0.14909277644642246	0.3545304119593746	0.23285404541823576	0.2801551979915554	483.69884742668035	0.21688771727220918	0.14909277644642246	0.3545304119593746	0.23285404541823576	0.2801551979915554	483.6983339039142	0.21688772223388006	2155360725	250	0.14909277644642246	0.3545304119593746	0.23285404541823576	0.2801551979915554	483.69936094944654	0.21688771235468637	6	COMPLETE
7	0.33070866141732286	2020-03-12 20:56:17.278120	2020-03-12 22:08:25.094513	128	0.02163436733215213	128	0.029346847688281958	0.12878412808234882	0.14829396325459318	0.33070866141732286	0.2234679904142417	0.2661474380919776	893.8651004222298	0.2085279000320529	0.14829396325459318	0.33070866141732286	0.2234679904142417	0.2661474380919776	893.8641161702614	0.20852796254066813	3193570582	200	0.14829396325459318	0.33070866141732286	0.2234679904142417	0.2661474380919776	893.8660846741983	0.20852784136270905	7	COMPLETE
8	0.4214880748602077	2020-03-12 22:08:25.130110	2020-03-13 00:10:41.803309	256	0.006907526013297905	512	0.009023970648199884	0.05256870096586794	0.18061736848111376	0.4214880748602077	0.28414926395070184	0.3398094259956636	363.67910532922514	0.2599927889697095	0.18061736848111376	0.4214880748602077	0.28414926395070184	0.3398094259956636	363.67853474837386	0.2599928214705215	3924697080	200	0.18061736848111376	0.4214880748602077	0.28414926395070184	0.3398094259956636	363.67967591007647	0.25999275732966715	8	COMPLETE
9	0.4078511925139792	2020-03-13 00:10:41.861215	2020-03-13 01:43:10.813833	128	0.0012534755700626008	512	0.46588217106004803	0.08059353378154371	0.17605272167066074	0.4078511925139792	0.2750770284149264	0.32845486705466165	550.7560338925026	0.2521802839402942	0.17605272167066074	0.4078511925139792	0.2750770284149264	0.32845486705466165	550.7551637567043	0.2521803013851092	1237095351	250	0.17605272167066074	0.4078511925139792	0.2750770284149264	0.32845486705466165	550.7569040283008	0.25218026684329686	9	COMPLETE
