number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.0006276389364372932	2020-03-12 15:30:21.199819	2020-03-12 15:58:06.338826	0.6933183712493275	29.09213892155065	128	79	0.006256012576413631	128	1.2138528327210714	5.705808513066301e-05	0.0006276389364372932	5.705808513066301e-05	0.00019970329795732054	8694.13800924341	0.0005105788587758181	5.705808513066301e-05	0.0006276389364372932	5.705808513066301e-05	0.00019970329795732054	8694.131747118567	0.0005105801440604406	2476238069	150	5.705808513066301e-05	0.0006276389364372932	5.705808513066301e-05	0.00019970329795732054	8694.144271368254	0.0005105775784072017	0	COMPLETE
1	0.0007417551066986192	2020-03-12 15:58:06.386628	2020-03-12 16:08:51.875511	0.39774282099045954	2.3332927810943853	64	72	0.0014363176136857631	512	0.9586130803121796	5.705808513066301e-05	0.0007417551066986192	0.00019970329795732054	0.0002567613830879836	6845.534035147781	0.0007742561029688718	5.705808513066301e-05	0.0007417551066986192	0.00019970329795732054	0.0002567613830879836	6845.528329339268	0.0007742597717774222	3017820772	150	5.705808513066301e-05	0.0007417551066986192	0.00019970329795732054	0.0002567613830879836	6845.539740956294	0.0007742524700479137	1	COMPLETE
2	0.0003708775533493096	2020-03-12 16:08:51.921537	2020-03-12 16:24:35.721980	0.45198159982062874	28.835861770194168	64	60	0.08257612306849059	256	1.345636580219777	2.8529042565331506e-05	0.0003708775533493096	0.00011411617026132602	0.00022823234052265205	9648.528486249	0.0004228442692072165	2.8529042565331506e-05	0.0003708775533493096	0.00011411617026132602	0.00022823234052265205	9648.52467762182	0.0004228445151931637	3731429409	150	2.8529042565331506e-05	0.0003708775533493096	0.00011411617026132602	0.00022823234052265205	9648.532294876184	0.00042284402343199134	2	COMPLETE
3	0.0005705808513066301	2020-03-12 16:24:35.754506	2020-03-12 16:38:01.669227	0.337083549756743	10.472032515319155	128	91	0.015680617277491544	512	1.165707559422119	5.705808513066301e-05	0.0005705808513066301	0.00019970329795732054	0.0003708775533493096	8346.179133858268	0.0005742024118859245	5.705808513066301e-05	0.0005705808513066301	0.00019970329795732054	0.0003708775533493096	8346.172572178477	0.0005742028943364237	1346913447	150	5.705808513066301e-05	0.0005705808513066301	0.00019970329795732054	0.0003708775533493096	8346.185695538057	0.0005742019297733992	3	COMPLETE
4	0.0002567613830879836	2020-03-12 16:38:01.703314	2020-03-12 17:05:21.828374	0.7131568632044593	25.16054124728304	256	7	0.001785776298685034	128	1.1379245831275475	2.8529042565331506e-05	0.0002567613830879836	5.705808513066301e-05	0.00014264521282665753	8145.563862261783	0.00046682912136849646	2.8529042565331506e-05	0.0002567613830879836	5.705808513066301e-05	0.00014264521282665753	8145.554262238959	0.00046683239367768125	121737454	150	2.8529042565331506e-05	0.0002567613830879836	5.705808513066301e-05	0.00014264521282665753	8145.573462284606	0.00046682587525845434	4	COMPLETE
5	0.0005420518087412986	2020-03-12 17:05:21.862215	2020-03-12 17:15:22.494426	0.5242395329580598	14.101490936802234	64	25	0.01701618377812881	512	1.147859401433431	0.00019970329795732054	0.0005420518087412986	0.00034234851078397807	0.0003708775533493096	8216.850550610521	0.00070379759488547	0.00019970329795732054	0.0005420518087412986	0.00034234851078397807	0.0003708775533493096	8216.845800524934	0.000703797825208841	21286622	150	0.00019970329795732054	0.0005420518087412986	0.00034234851078397807	0.0003708775533493096	8216.855300696108	0.0007037973646578573	5	COMPLETE
6	0.0003138194682186466	2020-03-12 17:15:22.528282	2020-03-12 17:33:04.059196	0.5725328733500205	19.143972165596896	128	85	0.04789145334763287	256	1.3269278231153812	0.0	0.0003138194682186466	8.558712769599452e-05	0.00014264521282665753	9513.231698619195	0.00040704945124151896	0.0	0.0003138194682186466	8.558712769599452e-05	0.00014264521282665753	9513.226805888395	0.00040705155669758806	120877601	150	0.0	0.0003138194682186466	8.558712769599452e-05	0.00014264521282665753	9513.236591349994	0.00040704735941644063	6	COMPLETE
7	0.0006561679790026247	2020-03-12 17:33:04.093861	2020-03-12 17:43:03.852347	0.41860119837146936	26.851367695671648	128	9	0.005010272006116875	512	1.102513585318607	5.705808513066301e-05	0.0006561679790026247	0.00011411617026132602	0.0002567613830879836	7889.251597626384	0.0005991455216699951	5.705808513066301e-05	0.0006561679790026247	0.00011411617026132602	0.0002567613830879836	7889.244408307657	0.0005991464451179187	80930350	150	5.705808513066301e-05	0.0006561679790026247	0.00011411617026132602	0.0002567613830879836	7889.25878694511	0.0005991446004461755	7	COMPLETE
8	0.0009129293620906082	2020-03-12 17:43:03.887580	2020-03-12 17:56:02.292136	0.49582239247053694	7.704592695271543	128	82	0.0012022479055148155	512	1.0274988761085189	5.705808513066301e-05	0.0009129293620906082	0.0002567613830879836	0.0005420518087412986	7344.226563391532	0.0007560496718247108	5.705808513066301e-05	0.0009129293620906082	0.0002567613830879836	0.0005420518087412986	7344.21918863403	0.000756050371313824	794595966	150	5.705808513066301e-05	0.0009129293620906082	0.0002567613830879836	0.0005420518087412986	7344.233938149036	0.0007560489730882397	8	COMPLETE
9	0.0005420518087412986	2020-03-12 17:56:02.343885	2020-03-12 18:19:16.058984	0.8358950909754044	15.420625423515792	256	93	0.0012208966117506694	256	1.0871639768597	0.0	0.0005420518087412986	8.558712769599452e-05	0.00019970329795732054	7777.30149492183	0.000530756601241006	0.0	0.0005420518087412986	8.558712769599452e-05	0.00019970329795732054	7777.2910532922515	0.0005307575256229405	2453915950	150	0.0	0.0005420518087412986	8.558712769599452e-05	0.00019970329795732054	7777.311936551409	0.0005307556779828551	9	COMPLETE
10	0.06404770055916924	2020-03-12 18:19:16.095154	2020-03-12 18:44:26.328895	0.39987853696899384	2.6805876135235147	256	27	0.03238124657952061	256	0.5557842360529461	0.0056487504279356384	0.06404770055916924	0.02099737532808399	0.03654570352618966	3943.5575858724183	0.023560061616066972	0.0056487504279356384	0.06404770055916924	0.02099737532808399	0.03654570352618966	3943.5525219673627	0.023560063527086755	899957902	200	0.0056487504279356384	0.06404770055916924	0.02099737532808399	0.03654570352618966	3943.5626497774733	0.023560059718062187	10	COMPLETE
11	0.0020540910647038686	2020-03-12 18:44:26.381708	2020-03-12 19:01:25.398693	0.9613060229021598	4.947465179349987	256	27	0.0014208469564572653	256	0.9507459444356846	0.00028529042565331506	0.0020540910647038686	0.0007702841492639507	0.0010270455323519343	6788.511240442771	0.001377034773256842	0.00028529042565331506	0.0020540910647038686	0.0007702841492639507	0.0010270455323519343	6788.500285290425	0.001377036157480776	3141550290	150	0.00028529042565331506	0.0020540910647038686	0.0007702841492639507	0.0010270455323519343	6788.522195595116	0.0013770333911002906	11	COMPLETE
12	0.0657309140705238	2020-03-12 19:01:25.434817	2020-03-12 19:22:10.583593	0.4075276266154877	2.7129407166292134	128	31	0.016716308961763463	512	0.7108822866239627	0.011040739472783294	0.0657309140705238	0.029441971927422116	0.04618851991327171	5056.689418578113	0.028696171040089567	0.011040739472783294	0.0657309140705238	0.029441971927422116	0.04618851991327171	5056.683641446993	0.02869617722085401	190604535	250	0.011040739472783294	0.0657309140705238	0.029441971927422116	0.04618851991327171	5056.695195709232	0.028696164934441923	12	COMPLETE
13	0.00048499372361063563	2020-03-12 19:22:10.636497	2020-03-12 19:45:53.483557	0.1646497427389438	18.222052302629272	64	5	0.01819614941789548	128	1.2714618302998506	5.705808513066301e-05	0.00048499372361063563	0.00011411617026132602	0.0002567613830879836	9112.119707862605	0.0004972413251592702	5.705808513066301e-05	0.00048499372361063563	0.00011411617026132602	0.0002567613830879836	9112.115713796646	0.0004972422286247906	3297821636	150	5.705808513066301e-05	0.00048499372361063563	0.00011411617026132602	0.0002567613830879836	9112.123701928564	0.0004972404238895246	13	COMPLETE
14	0.00028529042565331506	2020-03-12 19:45:53.520311	2020-03-12 20:01:22.116360	0.1586361814017216	27.78094454949196	128	5	0.08955089482582465	256	1.3787077515705948	5.705808513066301e-05	0.00028529042565331506	0.00011411617026132602	0.00014264521282665753	9887.264378637454	0.0003845895827626583	5.705808513066301e-05	0.00028529042565331506	0.00011411617026132602	0.00014264521282665753	9887.259471642132	0.00038458988861492417	1791208393	150	5.705808513066301e-05	0.00028529042565331506	0.00011411617026132602	0.00014264521282665753	9887.269285632774	0.0003845892771633751	14	COMPLETE
