number	value	datetime_start	datetime_complete	params_loss.margin	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.17630948305374872	2020-03-09 09:46:12.473960	2020-03-09 11:19:29.962083	3.2543678593414267	64	89	0.004159936627685061	128	0.17786465802781004	0.029071094374072806	0.17630948305374872	0.07520255620221386	0.11117767887709688	1223.4278928449162	0.07707109749527344	0.029071094374072806	0.17630948305374872	0.07520255620221386	0.11117767887709688	1223.4259386055005	0.07707113517459557	563643861	200	0.029071094374072806	0.17630948305374872	0.07520255620221386	0.11117767887709688	1223.4298470843319	0.07707106091616331	0	COMPLETE
1	0.23502225265320095	2020-03-09 11:19:30.009321	2020-03-09 16:10:17.944261	2.7154008149849633	256	86	0.02941192194688735	256	0.15683934720366857	0.040197420974552096	0.23502225265320095	0.10241926280954011	0.151032751340865	1085.2519827684582	0.10045668903630456	0.040197420974552096	0.23502225265320095	0.10241926280954011	0.151032751340865	1085.246975921488	0.10045955685144997	523531549	650	0.040197420974552096	0.23502225265320095	0.10241926280954011	0.151032751340865	1085.2569896154284	0.10045477231346897	1	COMPLETE
2	0.22577884286203356	2020-03-09 16:10:17.990615	2020-03-09 17:08:19.702026	7.084185552916891	256	38	0.09255947145446392	128	0.11942300788716996	0.05451900034234851	0.22577884286203356	0.11597055802807257	0.1551124044277074	819.5183727034121	0.11161897630198388	0.05451900034234851	0.22577884286203356	0.11597055802807257	0.1551124044277074	819.5154627410705	0.11161916064444477	937002979	150	0.05451900034234851	0.22577884286203356	0.11597055802807257	0.1551124044277074	819.5212826657537	0.1116188089449897	2	COMPLETE
3	0.24560652744493894	2020-03-09 17:08:19.734988	2020-03-09 17:27:25.149278	9.953054493102103	64	16	0.08329514562533209	512	0.07625435550096317	0.06173684811137738	0.24560652744493894	0.12769599452242383	0.17009015177450645	522.1144157252082	0.1225071834905859	0.06173684811137738	0.24560652744493894	0.12769599452242383	0.17009015177450645	522.1138308798356	0.12250719245966704	1173436767	150	0.06173684811137738	0.24560652744493894	0.12769599452242383	0.17009015177450645	522.1150005705808	0.12250717461220625	3	COMPLETE
4	0.19916124614857925	2020-03-09 17:27:25.196920	2020-03-09 17:49:40.368135	1.2451906335164333	128	42	0.07453236628119998	512	0.09034662667918172	0.04664498459431701	0.19916124614857925	0.10039370078740158	0.1380805660162045	617.7280041081822	0.09840550666795687	0.04664498459431701	0.19916124614857925	0.10039370078740158	0.1380805660162045	617.7273194111606	0.09840554997281172	2559582349	150	0.04664498459431701	0.19916124614857925	0.10039370078740158	0.1380805660162045	617.7286888052037	0.09840546478785485	4	COMPLETE
5	0.24920118680817072	2020-03-09 17:49:40.401993	2020-03-09 21:55:25.593816	5.2230205978824715	128	76	0.04568589923241656	128	0.12687691696132664	0.0505249343832021	0.24920118680817072	0.11702613260298984	0.16504051124044278	883.2036403058313	0.11334026643881233	0.0505249343832021	0.24920118680817072	0.11702613260298984	0.16504051124044278	883.198476549127	0.1133407659282608	2357488894	450	0.0505249343832021	0.24920118680817072	0.11702613260298984	0.16504051124044278	883.2088040625357	0.11333982603488688	5	COMPLETE
6	0.18184411731142303	2020-03-09 21:55:25.642338	2020-03-09 22:26:40.215997	1.3271081065069896	256	16	0.0034698371039247806	256	0.2013029688636373	0.04091064703868538	0.18184411731142303	0.09317585301837271	0.1269257103731599	1386.3460144927535	0.08846156185412427	0.04091064703868538	0.18184411731142303	0.09317585301837271	0.1269257103731599	1386.34274791738	0.08846163774546907	3745525866	150	0.04091064703868538	0.18184411731142303	0.09317585301837271	0.1269257103731599	1386.3492810681273	0.08846148946377434	6	COMPLETE
7	0.22152801551979914	2020-03-09 22:26:40.250477	2020-03-09 22:49:35.859415	9.949017793799971	256	25	0.031031362813028283	512	0.12392412904738563	0.057314846513750996	0.22152801551979914	0.11725436494351249	0.1572806116626726	847.599466506904	0.11178897033201865	0.057314846513750996	0.22152801551979914	0.11725436494351249	0.1572806116626726	847.5976834417437	0.11178902196352508	3587878642	150	0.057314846513750996	0.22152801551979914	0.11725436494351249	0.1572806116626726	847.6012495720644	0.11178891996246766	7	COMPLETE
8	0.15106128038343034	2020-03-09 22:49:35.896305	2020-03-09 23:32:02.651169	1.5369698221989077	256	62	0.008859992490058049	256	0.20404697392530174	0.026018486819582336	0.15106128038343034	0.06681501768800639	0.09751226748830309	1401.0796673513637	0.06769338565576481	0.026018486819582336	0.15106128038343034	0.06681501768800639	0.09751226748830309	1401.0779413442885	0.06769346317201215	3456819294	150	0.026018486819582336	0.15106128038343034	0.06681501768800639	0.09751226748830309	1401.0813933584388	0.0676933112618315	8	COMPLETE
9	0.19705009699874473	2020-03-09 23:32:02.687056	2020-03-10 00:07:34.611038	4.09975424009925	256	36	0.03584111374576894	256	0.13601478762458435	0.04222298299669063	0.19705009699874473	0.09657080908364715	0.13394385484423144	932.5646325459318	0.0938031404519548	0.04222298299669063	0.19707862604131005	0.09657080908364715	0.13394385484423144	932.5625071322606	0.09380328124313782	1389582139	150	0.04222298299669063	0.19705009699874473	0.09657080908364715	0.13394385484423144	932.5667579596029	0.09380301204157311	9	COMPLETE
