number	value	datetime_start	datetime_complete	params_loss.margin	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.10861423220973783	2020-04-03 05:48:22.217164	2020-04-03 05:48:56.571129	8.262730288131161	64	43	0.0032659832302170248	256	0.9853895112884332	0.013576779026217229	0.10861423220973783	0.03089887640449438	0.054307116104868915	47.52738764044944	0.05646977505846996	0.013576779026217229	0.10861423220973783	0.03089887640449438	0.054307116104868915	47.52715355805243	0.05647034599114558	3990566642	150.0	0.013576779026217229	0.10861423220973783	0.03089887640449438	0.054307116104868915	47.52762172284644	0.056469231313064604	0	COMPLETE
1	0.10627340823970037	2020-04-03 05:48:56.631386	2020-04-03 05:50:06.496995	6.461413380545693	128	100	0.0017893413040336271	128	0.9955353719471824	0.013108614232209739	0.10627340823970037	0.03089887640449438	0.054307116104868915	48.11048689138577	0.056617067996515606	0.013108614232209739	0.10627340823970037	0.03089887640449438	0.054307116104868915	48.11048689138577	0.056617067996515606	3214799256	150.0	0.013108614232209739	0.10627340823970037	0.03089887640449438	0.054307116104868915	48.11048689138577	0.056617067996515606	1	COMPLETE
2	0.10205992509363296	2020-04-03 05:50:06.537701	2020-04-03 05:50:39.207571	2.0312664563588525	64	25	0.0013051057949103179	256	1.001099734854002	0.010767790262172285	0.10205992509363296	0.031835205992509365	0.05290262172284644	48.278323970037455	0.05391111749071899	0.010767790262172285	0.10205992509363296	0.031835205992509365	0.05290262172284644	48.27808988764045	0.05391121804157681	4112449504	150.0	0.010767790262172285	0.10205992509363296	0.031835205992509365	0.05290262172284644	48.278558052434455	0.05391101899191948	2	COMPLETE
3	0.09410112359550561	2020-04-03 05:50:39.242932	2020-04-03 05:51:45.958302	4.913761836112412	64	96	0.0038213118730393764	128	1.0061374232940348	0.007022471910112359	0.09410112359550561	0.023876404494382022	0.04400749063670412	48.56952247191011	0.048853712600171476	0.007022471910112359	0.09410112359550561	0.023876404494382022	0.04400749063670412	48.56928838951311	0.04885389074507026	3574512516	150.0	0.007022471910112359	0.09410112359550561	0.023876404494382022	0.04400749063670412	48.56975655430712	0.04885353926999969	3	COMPLETE
4	0.10159176029962547	2020-04-03 05:51:45.997023	2020-04-03 05:52:20.560169	9.907503964995842	256	74	0.0012834274800592165	512	1.0121777687799045	0.012640449438202247	0.10159176029962547	0.03277153558052434	0.05290262172284644	48.82116104868914	0.055320946335961026	0.012640449438202247	0.10159176029962547	0.03277153558052434	0.05290262172284644	48.82116104868914	0.055320946335961026	2761960470	150.0	0.012640449438202247	0.10159176029962547	0.03277153558052434	0.05290262172284644	48.82116104868914	0.055320946335961026	4	COMPLETE
5	0.11797752808988764	2020-04-03 05:52:20.595266	2020-04-03 05:53:06.248720	1.0127930568362702	128	100	0.0402602360303273	512	0.9929915779472541	0.015917602996254682	0.11797752808988764	0.046348314606741575	0.07162921348314606	47.85135767790262	0.062428148179601836	0.015917602996254682	0.11797752808988764	0.046348314606741575	0.07162921348314606	47.85112359550562	0.062428267731387835	3986905128	200.0	0.015917602996254682	0.11797752808988764	0.046348314606741575	0.07162921348314606	47.85159176029963	0.06242803128452219	5	COMPLETE
6	0.10252808988764045	2020-04-03 05:53:06.306176	2020-04-03 05:54:04.171142	7.707496312766181	64	39	0.003575609351386619	128	0.9782347572629064	0.008895131086142321	0.10252808988764045	0.02949438202247191	0.050093632958801496	47.24672284644195	0.05255005858243336	0.008895131086142321	0.10252808988764045	0.02949438202247191	0.050093632958801496	47.24672284644195	0.05255005858243336	2101432290	150.0	0.008895131086142321	0.10252808988764045	0.02949438202247191	0.050093632958801496	47.24672284644195	0.05255005858243336	6	COMPLETE
7	0.11142322097378277	2020-04-03 05:54:04.205884	2020-04-03 05:55:11.086974	2.877825201631022	128	40	0.047525618448410675	512	1.0254083628119197	0.010299625468164793	0.11142322097378277	0.031835205992509365	0.05852059925093633	49.510299625468164	0.05433469434605736	0.010299625468164793	0.11142322097378277	0.031835205992509365	0.05852059925093633	49.510299625468164	0.05433469434605736	877075686	350.0	0.010299625468164793	0.11142322097378277	0.031835205992509365	0.05852059925093633	49.510299625468164	0.05433469434605736	7	COMPLETE
8	0.8094569288389513	2020-04-03 05:55:11.138824	2020-04-03 06:05:50.220321	7.981698372373472	64	88	0.04676039433755571	128	0.13165525458613586	0.2448501872659176	0.8094569288389513	0.5037453183520599	0.6367041198501873	6.398408239700374	0.4233421502437808	0.2448501872659176	0.8094569288389513	0.5037453183520599	0.6367041198501873	6.398408239700374	0.4233421502437808	1267843354		0.2448501872659176	0.8094569288389513	0.5037453183520599	0.6367041198501873	6.398408239700374	0.4233421502437808	8	COMPLETE
9	0.09831460674157304	2020-04-03 06:05:50.281845	2020-04-03 06:06:10.748640	0.9562559370746071	64	15	0.00148742393362697	512	1.0398800880622034	0.010767790262172285	0.09831460674157304	0.026685393258426966	0.04728464419475655	50.164794007490634	0.05079423313215636	0.010767790262172285	0.09831460674157304	0.026685393258426966	0.04728464419475655	50.164794007490634	0.05079423313215636	1387971799	150.0	0.010767790262172285	0.09831460674157304	0.026685393258426966	0.04728464419475655	50.164794007490634	0.05079423313215636	9	COMPLETE
