number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.0997191011235955	2020-04-15 23:55:07.208512	2020-04-15 23:55:50.341236	256	68	256	0.9882288172262047	0.008426966292134831	0.0997191011235955	0.03323970037453183	0.05383895131086142	47.68375468164794	0.05289704810724899	0.008426966292134831	0.0997191011235955	0.03323970037453183	0.05383895131086142	47.68352059925093	0.052900490495440225	1394191736	150.0	0.008426966292134831	0.0997191011235955	0.03323970037453183	0.05383895131086142	47.68398876404494	0.052893988206634567	0	COMPLETE
1	0.09316479400749064	2020-04-15 23:55:50.386708	2020-04-15 23:56:42.332730	64	83	128	1.0278593869330466	0.007958801498127341	0.09316479400749064	0.024812734082397005	0.04307116104868914	49.53370786516854	0.04857599911438342	0.007958801498127341	0.09316479400749064	0.024812734082397005	0.04307116104868914	49.53370786516854	0.04857599911438342	2240196840	150.0	0.007958801498127341	0.09316479400749064	0.024812734082397005	0.04307116104868914	49.53370786516854	0.04857599911438342	1	COMPLETE
2	0.10720973782771535	2020-04-15 23:56:42.373941	2020-04-15 23:57:15.220303	256	62	512	1.0132475955008917	0.008895131086142321	0.10720973782771535	0.025749063670411985	0.04962546816479401	48.90589887640449	0.05207698703123845	0.008895131086142321	0.10720973782771535	0.025749063670411985	0.04962546816479401	48.90589887640449	0.05207698703123845	776328575	150.0	0.008895131086142321	0.10720973782771535	0.025749063670411985	0.04962546816479401	48.90589887640449	0.05207698703123845	2	COMPLETE
3	0.11142322097378277	2020-04-15 23:57:15.252707	2020-04-15 23:58:08.042419	128	34	128	1.0005049791521905	0.010299625468164793	0.11142322097378277	0.03885767790262172	0.0599250936329588	48.31039325842696	0.0562027686867274	0.010299625468164793	0.11142322097378277	0.03885767790262172	0.0599250936329588	48.31039325842696	0.0562027686867274	2896605550	150.0	0.010299625468164793	0.11142322097378277	0.03885767790262172	0.0599250936329588	48.31039325842696	0.0562027686867274	3	COMPLETE
4	0.10346441947565543	2020-04-15 23:58:08.068974	2020-04-15 23:58:37.056157	64	49	256	0.9943970026577429	0.006086142322097378	0.10346441947565543	0.023876404494382022	0.048220973782771535	48.01451310861423	0.0490214660739575	0.006086142322097378	0.10346441947565543	0.023876404494382022	0.048220973782771535	48.01451310861423	0.0490214660739575	523168203	150.0	0.006086142322097378	0.10346441947565543	0.023876404494382022	0.048220973782771535	48.01451310861423	0.0490214660739575	4	COMPLETE
5	0.10533707865168539	2020-04-15 23:58:37.077479	2020-04-16 00:00:19.529127	128	34	128	0.9899488002600755	0.011235955056179775	0.10533707865168539	0.030430711610486893	0.05149812734082397	47.76170411985019	0.054909590269156386	0.011235955056179775	0.10533707865168539	0.030430711610486893	0.05149812734082397	47.76170411985019	0.054909590269156386	639469043	250.0	0.011235955056179775	0.10533707865168539	0.030430711610486893	0.05149812734082397	47.76170411985019	0.054909590269156386	5	COMPLETE
6	0.08661048689138577	2020-04-16 00:00:19.550340	2020-04-16 00:01:12.041095	256	26	128	1.0313967881725983	0.00749063670411985	0.08661048689138577	0.023408239700374533	0.03932584269662921	49.69616104868914	0.046760501253474945	0.00749063670411985	0.08661048689138577	0.023408239700374533	0.03932584269662921	49.69616104868914	0.046760501253474945	3011505983	150.0	0.00749063670411985	0.08661048689138577	0.023408239700374533	0.03932584269662921	49.69616104868914	0.046760501253474945	6	COMPLETE
7	0.10018726591760299	2020-04-16 00:01:12.068326	2020-04-16 00:01:41.166169	64	43	256	1.036119390293007	0.010767790262172285	0.10018726591760299	0.03089887640449438	0.05383895131086142	49.93726591760299	0.05260731004840135	0.010767790262172285	0.10018726591760299	0.03089887640449438	0.05383895131086142	49.93726591760299	0.05260731004840135	761097509	150.0	0.010767790262172285	0.10018726591760299	0.03089887640449438	0.05383895131086142	49.93726591760299	0.05260731004840135	7	COMPLETE
8	0.09925093632958802	2020-04-16 00:01:41.224708	2020-04-16 00:02:12.965921	256	26	256	1.008369364378074	0.013108614232209739	0.09925093632958802	0.026685393258426966	0.04541198501872659	48.64653558052434	0.053150682603840836	0.013108614232209739	0.09925093632958802	0.026685393258426966	0.04541198501872659	48.64653558052434	0.053150682603840836	1864497745	150.0	0.013108614232209739	0.09925093632958802	0.026685393258426966	0.04541198501872659	48.64653558052434	0.053150682603840836	8	COMPLETE
9	0.09597378277153558	2020-04-16 00:02:12.986976	2020-04-16 00:02:42.479554	256	15	256	1.0291388404001012	0.008426966292134831	0.09597378277153558	0.033707865168539325	0.04681647940074907	49.642322097378276	0.051258805863004214	0.008426966292134831	0.09597378277153558	0.033707865168539325	0.04681647940074907	49.642322097378276	0.051258805863004214	2308606355	150.0	0.008426966292134831	0.09597378277153558	0.033707865168539325	0.04681647940074907	49.642322097378276	0.051258805863004214	9	COMPLETE
