Replicate	Epoch	Loss
0	0	1.2310111990523597e-05
0	1	1.1623461889038656e-05
0	2	1.1386070014170469e-05
0	3	1.0980244844115157e-05
0	4	1.0336290262763734e-05
0	5	9.52510287675068e-06
0	6	8.716280051350417e-06
0	7	8.025599449028215e-06
0	8	7.483823315438413e-06
0	9	7.074582986382216e-06
0	10	6.76271858440636e-06
0	11	6.521977185721408e-06
0	12	6.327483081246615e-06
0	13	6.166820808335352e-06
0	14	6.030783773389469e-06
0	15	5.913879286468918e-06
0	16	5.8142799886746255e-06
0	17	5.727490939801439e-06
0	18	5.651708839006898e-06
0	19	5.5848269927343e-06
0	20	5.527306407359671e-06
0	21	5.4767580031716724e-06
0	22	5.431597643188544e-06
0	23	5.390709247166957e-06
0	24	5.355549585578767e-06
0	25	5.323959354963171e-06
0	26	5.295596266250801e-06
0	27	5.2693343161310284e-06
0	28	5.245956477692565e-06
0	29	5.225237774369868e-06
0	30	5.2061802799420365e-06
0	31	5.187856284083694e-06
0	32	5.170657405564201e-06
0	33	5.157133320724659e-06
0	34	5.142547274167185e-06
0	35	5.130792446149251e-06
0	36	5.118906848915693e-06
0	37	5.108080487439526e-06
0	38	5.097991437136592e-06
0	39	5.089027841252971e-06
0	40	5.0803366280330256e-06
0	41	5.071450364107666e-06
0	42	5.062864811554387e-06
0	43	5.057654171143663e-06
0	44	5.0501688880087034e-06
0	45	5.0443445371795255e-06
0	46	5.0381810295303595e-06
0	47	5.0323628269659444e-06
0	48	5.026970007838031e-06
0	49	5.02178165553461e-06
0	50	5.0171568760768876e-06
0	51	5.0125764180633215e-06
0	52	5.008199091227535e-06
0	53	5.004378300030622e-06
0	54	4.999675030067544e-06
0	55	4.996223748940096e-06
0	56	4.993057509402874e-06
0	57	4.989068306271978e-06
0	58	4.98658514241023e-06
0	59	4.983218119992611e-06
0	60	4.9798058401833786e-06
0	61	4.977591275646145e-06
0	62	4.9758353085090605e-06
0	63	4.974305610744321e-06
0	64	4.970177511639857e-06
0	65	4.967776413746312e-06
0	66	4.965605820568912e-06
0	67	4.9638986015471125e-06
0	68	4.961717843429623e-06
0	69	4.9597374596936715e-06
0	70	4.9571069500082835e-06
0	71	4.955976009432035e-06
0	72	4.954299688977241e-06
0	73	4.95166464566002e-06
0	74	4.951114877220048e-06
0	75	4.950047982312634e-06
0	76	4.948165410416344e-06
0	77	4.945919666668796e-06
0	78	4.9442771445657565e-06
0	79	4.942991443245312e-06
