Replicate	Epoch	Loss
0	0	1.3118155967920925e-05
0	1	1.2046884013277681e-05
0	2	1.0739275970589659e-05
0	3	9.112414051990646e-06
0	4	7.930676330774937e-06
0	5	7.233999382598719e-06
0	6	6.807723227303656e-06
0	7	6.519387078379307e-06
0	8	6.310064998639422e-06
0	9	6.1546436258057525e-06
0	10	6.035326957910664e-06
0	11	5.943354828715035e-06
0	12	5.870744069466424e-06
0	13	5.8161328312942765e-06
0	14	5.769246390238743e-06
0	15	5.7299957029317575e-06
0	16	5.698637231404055e-06
0	17	5.673419094553975e-06
0	18	5.6497991522182296e-06
0	19	5.631022949281039e-06
0	20	5.614327101284963e-06
0	21	5.599892874303513e-06
0	22	5.587001786156544e-06
0	23	5.575021354390563e-06
0	24	5.563558261261938e-06
0	25	5.555773709045392e-06
0	26	5.546781485448891e-06
0	27	5.539422199273363e-06
0	28	5.5342005600926415e-06
0	29	5.52749669413649e-06
0	30	5.520699117057281e-06
0	31	5.5165136427630985e-06
0	32	5.51045075329228e-06
0	33	5.507513679729458e-06
0	34	5.501570092784479e-06
0	35	5.499163357723017e-06
0	36	5.49463764380072e-06
0	37	5.4911395437615875e-06
0	38	5.486810418187842e-06
0	39	5.483774478869264e-06
0	40	5.481561907939629e-06
0	41	5.478743231885291e-06
0	42	5.476504271111873e-06
0	43	5.47225906009241e-06
0	44	5.469322520864469e-06
0	45	5.4673375548342e-06
0	46	5.465360464584361e-06
0	47	5.4643076388715235e-06
0	48	5.462344457821929e-06
0	49	5.459175300162392e-06
0	50	5.458018121301211e-06
0	51	5.456796540882843e-06
0	52	5.454045583425071e-06
0	53	5.451923512258649e-06
0	54	5.44847361279883e-06
0	55	5.448310924402057e-06
0	56	5.445936484065918e-06
0	57	5.445097359648886e-06
0	58	5.442823221173988e-06
0	59	5.442856622134278e-06
0	60	5.440771080369423e-06
