number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_optimizer.lr	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.0005135227661759672	2020-03-09 23:34:42.054202	2020-03-10 00:22:15.634067	64	0.015354124048428579	256	0.014096708158068542	1.0054179973091388	2.8529042565331506e-05	0.0005135227661759672	2.8529042565331506e-05	0.00022823234052265205	7182.860977975579	0.0006068392654633323	2.8529042565331506e-05	0.0005135227661759672	2.8529042565331506e-05	0.00022823234052265205	7182.860835330366	0.0006068392794918121	839020779	150	2.8529042565331506e-05	0.0005135227661759672	2.8529042565331506e-05	0.00022823234052265205	7182.861120620792	0.0006068392514414018	0	COMPLETE
1	0.0007988131918292822	2020-03-10 00:22:15.694311	2020-03-10 02:36:00.149389	256	0.0116412858794576	128	0.02188725672954337	1.0027476756495313	8.558712769599452e-05	0.0007988131918292822	0.00034234851078397807	0.0004279356384799726	7164.664170375442	0.0007516137006094023	8.558712769599452e-05	0.0007988131918292822	0.00034234851078397807	0.0004279356384799726	7164.664041994751	0.0007516137246894761	565059496	150	8.558712769599452e-05	0.0007988131918292822	0.00034234851078397807	0.0004279356384799726	7164.664298756134	0.0007516136765443814	1	COMPLETE
2	0.0010555745749172658	2020-03-10 02:36:00.200260	2020-03-10 03:22:17.391750	64	0.010188835013525719	512	0.18037750050873042	1.000100353111615	0.00011411617026132602	0.0010555745749172658	0.0003708775533493096	0.0005705808513066301	7146.653928449161	0.0008373736412247183	0.00011411617026132602	0.0010555745749172658	0.0003708775533493096	0.0005705808513066301	7146.653857126555	0.0008373736534749729	1794514369	150	0.00011411617026132602	0.0010555745749172658	0.0003708775533493096	0.0005705808513066301	7146.653999771767	0.0008373736289816069	2	COMPLETE
3	0.0006276389364372932	2020-03-10 03:22:17.440774	2020-03-10 04:08:35.377016	64	0.054848712067124605	512	0.9056936219295174	1.0046788597193415	8.558712769599452e-05	0.0006276389364372932	0.00028529042565331506	0.0003708775533493096	7178.208390391418	0.0007103669438423796	8.558712769599452e-05	0.0006276389364372932	0.00028529042565331506	0.0003708775533493096	7178.2081478945565	0.0007103669753506858	1474500474	150	8.558712769599452e-05	0.0006276389364372932	0.00028529042565331506	0.0003708775533493096	7178.208632888281	0.0007103669123541383	3	COMPLETE
4	0.0009129293620906082	2020-03-10 04:08:35.411304	2020-03-10 06:19:34.639127	256	0.019580707426763967	256	0.4244429924843512	1.0039450347897987	8.558712769599452e-05	0.0009129293620906082	0.0003138194682186466	0.0005135227661759672	7173.219859066529	0.0007847608157463133	8.558712769599452e-05	0.0009129293620906082	0.0003138194682186466	0.0005135227661759672	7173.2197592148805	0.0007847608365325837	4222148730	150	8.558712769599452e-05	0.0009129293620906082	0.0003138194682186466	0.0005135227661759672	7173.219958918179	0.0007847607949737674	4	COMPLETE
5	0.0006846970215679561	2020-03-10 06:19:34.671139	2020-03-10 07:07:11.141053	64	0.0016260003003838687	256	0.001216572985212106	1.0026060242085075	5.705808513066301e-05	0.0006846970215679561	0.00017117425539198904	0.0003138194682186466	7162.298527901404	0.0006724496177822926	5.705808513066301e-05	0.0006846970215679561	0.00017117425539198904	0.0003138194682186466	7162.298385256191	0.0006724496473600045	2943571693	150	5.705808513066301e-05	0.0006846970215679561	0.00017117425539198904	0.0003138194682186466	7162.298670546616	0.0006724495882414806	5	COMPLETE
6	0.0008844003195252767	2020-03-10 07:07:11.172859	2020-03-10 07:56:56.893050	64	0.09046501159078005	128	0.004156529280830638	1.0000340511462968	0.00011411617026132602	0.0008844003195252767	0.0002567613830879836	0.0004564646810453041	7145.657865457035	0.0007675091527203199	0.00011411617026132602	0.0008844003195252767	0.0002567613830879836	0.0004564646810453041	7145.619279926966	0.0007675168622565134	959055357	150	0.00011411617026132602	0.0008844003195252767	0.0002567613830879836	0.0004564646810453041	7145.696450987105	0.0007675014810991065	6	COMPLETE
7	0.0006846970215679561	2020-03-10 07:56:56.927645	2020-03-10 09:14:42.229097	128	0.0011738205832252826	128	0.46865228628388256	0.9956782812534598	2.8529042565331506e-05	0.0006846970215679561	0.00019970329795732054	0.0003708775533493096	7113.897637795276	0.0006882599584643215	2.8529042565331506e-05	0.0006846970215679561	0.00019970329795732054	0.0003708775533493096	7113.897466621021	0.0006882600103619336	2872595268	150	2.8529042565331506e-05	0.0006846970215679561	0.00019970329795732054	0.0003708775533493096	7113.897808969531	0.0006882599066099018	7	COMPLETE
8	0.0005420518087412986	2020-03-10 09:14:42.269249	2020-03-10 10:02:15.367107	64	0.013115275651102576	256	0.11468212650162864	0.9953498876171532	5.705808513066301e-05	0.0005420518087412986	0.00022823234052265205	0.0003138194682186466	7112.93783521625	0.0006839046997685076	5.705808513066301e-05	0.0005420518087412986	0.00022823234052265205	0.0003138194682186466	7112.937664041995	0.0006839047293901756	1582388069	150	5.705808513066301e-05	0.0005420518087412986	0.00022823234052265205	0.0003138194682186466	7112.9380063905055	0.0006839046701740524	8	COMPLETE
9	0.0006846970215679561	2020-03-10 10:02:15.403610	2020-03-10 11:17:34.193649	128	0.0012405759153951588	256	0.0012956793128256637	1.0005722178593135	8.558712769599452e-05	0.0006846970215679561	0.00028529042565331506	0.0004279356384799726	7150.418920461029	0.0007437740668203943	8.558712769599452e-05	0.0006846970215679561	0.00028529042565331506	0.0004279356384799726	7150.418806344859	0.0007437740753859811	569768156	150	8.558712769599452e-05	0.0006846970215679561	0.00028529042565331506	0.0004279356384799726	7150.419034577199	0.0007437740582599577	9	COMPLETE
