number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.09784644194756555	2020-03-16 15:23:31.735983	2020-03-16 15:23:58.993076	256	5	0.004647405502792352	512	1.0258992180857835	0.008426966292134831	0.09784644194756555	0.024812734082397005	0.04119850187265917	49.55711610486891	0.049490188748181466	0.008426966292134831	0.09784644194756555	0.024812734082397005	0.04119850187265917	49.55711610486891	0.049490188748181466	2196641358	150	0.008426966292134831	0.09784644194756555	0.024812734082397005	0.04119850187265917	49.55711610486891	0.049490188748181466	0	COMPLETE
1	0.13342696629213482	2020-03-16 15:23:59.008254	2020-03-16 15:24:30.000364	256	74	0.042461580217720486	512	0.9675543541917124	0.012640449438202247	0.13342696629213482	0.03838951310861423	0.06320224719101124	46.65426029962547	0.060411580324317746	0.012640449438202247	0.13342696629213482	0.03838951310861423	0.06320224719101124	46.65402621722846	0.0604116239516399	2746509994	150	0.012640449438202247	0.13342696629213482	0.03838951310861423	0.06320224719101124	46.65449438202247	0.060411537286554004	1	COMPLETE
2	0.09597378277153558	2020-03-16 15:24:30.015896	2020-03-16 15:24:54.828193	128	4	0.02902958939134525	512	1.0456402695437803	0.0149812734082397	0.09597378277153558	0.0299625468164794	0.04728464419475655	50.43726591760299	0.05432279410904211	0.0149812734082397	0.09597378277153558	0.0299625468164794	0.04728464419475655	50.43726591760299	0.05432279410904211	2797150125	150	0.0149812734082397	0.09597378277153558	0.0299625468164794	0.04728464419475655	50.43726591760299	0.05432279410904211	2	COMPLETE
3	0.0997191011235955	2020-03-16 15:24:54.840056	2020-03-16 15:25:42.186071	128	91	0.019476289094748214	256	1.0117338493201282	0.006086142322097378	0.0997191011235955	0.02949438202247191	0.05664794007490637	48.82911985018727	0.050288993509125184	0.006086142322097378	0.0997191011235955	0.02949438202247191	0.05664794007490637	48.82911985018727	0.050288993509125184	1686003951	150	0.006086142322097378	0.0997191011235955	0.02949438202247191	0.05664794007490637	48.82911985018727	0.050288993509125184	3	COMPLETE
4	0.09925093632958802	2020-03-16 15:25:42.196100	2020-03-16 15:26:10.244485	128	94	0.06858678246694665	512	1.0331974918404698	0.010767790262172285	0.09925093632958802	0.033707865168539325	0.04868913857677903	49.827715355805246	0.053212694725345074	0.010767790262172285	0.09925093632958802	0.033707865168539325	0.04868913857677903	49.827715355805246	0.053212694725345074	858286751	150	0.010767790262172285	0.09925093632958802	0.033707865168539325	0.04868913857677903	49.827715355805246	0.053212694725345074	4	COMPLETE
5	0.11610486891385768	2020-03-16 15:26:10.256907	2020-03-16 15:27:39.593118	256	88	0.013037340240541196	128	0.9667044391110888	0.009363295880149813	0.11610486891385768	0.04119850187265917	0.06741573033707865	46.71816479400749	0.058336838899078744	0.009363295880149813	0.11610486891385768	0.04119850187265917	0.06741573033707865	46.71816479400749	0.058336838899078744	1217813838	150	0.009363295880149813	0.11610486891385768	0.04119850187265917	0.06741573033707865	46.71816479400749	0.058336838899078744	5	COMPLETE
6	0.0945692883895131	2020-03-16 15:27:39.605664	2020-03-16 15:28:29.365158	256	66	0.0016336158415116275	256	0.9904727863613516	0.006086142322097378	0.0945692883895131	0.02762172284644195	0.04541198501872659	47.796816479400746	0.04943374677691603	0.006086142322097378	0.0945692883895131	0.02762172284644195	0.04541198501872659	47.796816479400746	0.04943374677691603	2089279298	150	0.006086142322097378	0.0945692883895131	0.02762172284644195	0.04541198501872659	47.796816479400746	0.04943374677691603	6	COMPLETE
7	0.09410112359550561	2020-03-16 15:28:29.377142	2020-03-16 15:29:13.636151	64	87	0.002789262491361243	256	1.0041013583828684	0.009363295880149813	0.09410112359550561	0.02294007490636704	0.042134831460674156	48.47050561797753	0.04951937325044831	0.009363295880149813	0.09410112359550561	0.02294007490636704	0.042134831460674156	48.47050561797753	0.04951937325044831	2400164511	150	0.009363295880149813	0.09410112359550561	0.02294007490636704	0.042134831460674156	48.47050561797753	0.04951937325044831	7	COMPLETE
8	0.10486891385767791	2020-03-16 15:29:13.648069	2020-03-16 15:30:00.206465	128	94	0.020378456552702064	256	1.002985647111287	0.007022471910112359	0.10486891385767791	0.024812734082397005	0.04868913857677903	48.340823970037455	0.05018646200018485	0.007022471910112359	0.10486891385767791	0.024812734082397005	0.04868913857677903	48.340823970037455	0.05018646200018485	15778116	150	0.007022471910112359	0.10486891385767791	0.024812734082397005	0.04868913857677903	48.340823970037455	0.05018646200018485	8	COMPLETE
9	0.09737827715355805	2020-03-16 15:30:00.218807	2020-03-16 15:31:23.304300	128	23	0.0010121105283153317	128	0.9997818461812907	0.007022471910112359	0.09737827715355805	0.025749063670411985	0.0449438202247191	48.27153558052434	0.04941747195496032	0.007022471910112359	0.09737827715355805	0.025749063670411985	0.0449438202247191	48.27153558052434	0.04941747195496032	793123076	150	0.007022471910112359	0.09737827715355805	0.025749063670411985	0.0449438202247191	48.27153558052434	0.04941747195496032	9	COMPLETE
10	0.10252808988764045	2020-03-16 15:31:23.316631	2020-03-16 15:32:47.886463	128	55	0.003680368741641281	128	0.981255397746472	0.006554307116104869	0.10252808988764045	0.025280898876404494	0.052434456928838954	47.33426966292135	0.05091638730914992	0.006554307116104869	0.10252808988764045	0.025280898876404494	0.052434456928838954	47.33426966292135	0.05091638730914992	2599391881	150	0.006554307116104869	0.10252808988764045	0.025280898876404494	0.052434456928838954	47.33426966292135	0.05091638730914992	10	COMPLETE
11	0.11750936329588015	2020-03-16 15:32:47.899042	2020-03-16 15:33:34.705731	256	40	0.03912259681224874	256	1.0202045065642087	0.01544943820224719	0.11750936329588015	0.05149812734082397	0.06835205992509363	49.21348314606742	0.06279565739730422	0.01544943820224719	0.11750936329588015	0.05149812734082397	0.06835205992509363	49.21348314606742	0.06279565739730422	149220281	150	0.01544943820224719	0.11750936329588015	0.05149812734082397	0.06835205992509363	49.21348314606742	0.06279565739730422	11	COMPLETE
12	0.09784644194756555	2020-03-16 15:33:34.718237	2020-03-16 15:34:02.083036	128	37	0.0022506028255026237	512	1.0348866962477188	0.01544943820224719	0.09784644194756555	0.03323970037453183	0.05196629213483146	49.92088014981273	0.055698375241646426	0.01544943820224719	0.09784644194756555	0.03323970037453183	0.05196629213483146	49.92088014981273	0.055698375241646426	3101093751	150	0.01544943820224719	0.09784644194756555	0.03323970037453183	0.05196629213483146	49.92088014981273	0.055698375241646426	12	COMPLETE
13	0.09925093632958802	2020-03-16 15:34:02.095089	2020-03-16 15:34:30.397801	64	2	0.004197823657894865	256	0.9962463766312024	0.008426966292134831	0.09925093632958802	0.02902621722846442	0.048220973782771535	48.01825842696629	0.052030789352077673	0.008426966292134831	0.09925093632958802	0.02902621722846442	0.048220973782771535	48.01825842696629	0.052030789352077673	958520612	150	0.008426966292134831	0.09925093632958802	0.02902621722846442	0.048220973782771535	48.01825842696629	0.052030789352077673	13	COMPLETE
14	0.09831460674157304	2020-03-16 15:34:30.409871	2020-03-16 15:35:16.402072	128	98	0.006875375632245383	256	1.0148978875958699	0.0056179775280898875	0.09831460674157304	0.026685393258426966	0.048220973782771535	48.977059925093634	0.049051714925672125	0.0056179775280898875	0.09831460674157304	0.026685393258426966	0.048220973782771535	48.977059925093634	0.049051714925672125	1127466713	150	0.0056179775280898875	0.09831460674157304	0.026685393258426966	0.048220973782771535	48.977059925093634	0.049051714925672125	14	COMPLETE
15	0.10580524344569288	2020-03-16 15:35:16.414692	2020-03-16 15:35:59.806642	128	20	0.016874028471646436	256	0.9890241207422389	0.007958801498127341	0.10580524344569288	0.026217228464419477	0.04681647940074907	47.75702247191011	0.050990383947325184	0.007958801498127341	0.10580524344569288	0.026217228464419477	0.04681647940074907	47.75702247191011	0.050990383947325184	1770232854	150	0.007958801498127341	0.10580524344569288	0.026217228464419477	0.04681647940074907	47.75702247191011	0.050990383947325184	15	COMPLETE
16	0.09831460674157304	2020-03-16 15:35:59.819842	2020-03-16 15:37:24.031432	64	81	0.008800939998115122	128	1.0199033996344924	0.00749063670411985	0.09831460674157304	0.024812734082397005	0.04400749063670412	49.19616104868914	0.04795629043954449	0.00749063670411985	0.09831460674157304	0.024812734082397005	0.04400749063670412	49.19616104868914	0.04795629043954449	4163615578	150	0.00749063670411985	0.09831460674157304	0.024812734082397005	0.04400749063670412	49.19616104868914	0.04795629043954449	16	COMPLETE
17	0.10252808988764045	2020-03-16 15:37:24.043492	2020-03-16 15:37:49.695045	64	69	0.003856810291901575	512	1.0147879511660334	0.008895131086142321	0.10252808988764045	0.026685393258426966	0.04400749063670412	48.97612359550562	0.05079186534149668	0.008895131086142321	0.10252808988764045	0.026685393258426966	0.04400749063670412	48.97612359550562	0.05079186534149668	3805859041	150	0.008895131086142321	0.10252808988764045	0.026685393258426966	0.04400749063670412	48.97612359550562	0.05079186534149668	17	COMPLETE
18	0.10720973782771535	2020-03-16 15:37:49.706953	2020-03-16 15:39:12.345243	64	10	0.019620880842365063	128	0.9831224642641675	0.007958801498127341	0.10720973782771535	0.033707865168539325	0.05898876404494382	47.4499063670412	0.054678139037420574	0.007958801498127341	0.10720973782771535	0.033707865168539325	0.05898876404494382	47.4499063670412	0.054678139037420574	2416643493	150	0.007958801498127341	0.10720973782771535	0.033707865168539325	0.05898876404494382	47.4499063670412	0.054678139037420574	18	COMPLETE
19	0.0847378277153558	2020-03-16 15:39:12.357164	2020-03-16 15:40:02.014924	64	4	0.018184046338876887	128	1.01541717114513	0.007022471910112359	0.0847378277153558	0.02762172284644195	0.041666666666666664	49.00374531835206	0.04831746554544917	0.007022471910112359	0.0847378277153558	0.02762172284644195	0.041666666666666664	49.00374531835206	0.04831746554544917	3906059056	150	0.007022471910112359	0.0847378277153558	0.02762172284644195	0.041666666666666664	49.00374531835206	0.04831746554544917	19	COMPLETE
20	0.10533707865168539	2020-03-16 15:40:02.027026	2020-03-16 15:40:27.354686	64	89	0.022452774257495558	512	1.0163930866916138	0.010299625468164793	0.10533707865168539	0.03651685393258427	0.054775280898876406	49.10159176029963	0.05462444241957489	0.010299625468164793	0.10533707865168539	0.03651685393258427	0.054775280898876406	49.10159176029963	0.05462444241957489	193475438	150	0.010299625468164793	0.10533707865168539	0.03651685393258427	0.054775280898876406	49.10159176029963	0.05462444241957489	20	COMPLETE
21	0.10627340823970037	2020-03-16 15:40:27.367122	2020-03-16 15:41:50.832604	128	33	0.022220864717804652	128	1.0263955965367833	0.013576779026217229	0.10627340823970037	0.03277153558052434	0.054775280898876406	49.48829588014981	0.05528398395396926	0.013576779026217229	0.10627340823970037	0.03277153558052434	0.054775280898876406	49.48829588014981	0.05528398395396926	1648688410	150	0.013576779026217229	0.10627340823970037	0.03277153558052434	0.054775280898876406	49.48829588014981	0.05528398395396926	21	COMPLETE
22	0.09784644194756555	2020-03-16 15:41:50.844581	2020-03-16 15:42:40.581206	128	84	0.015131082311112357	256	0.9968784347582915	0.010767790262172285	0.09784644194756555	0.030430711610486893	0.05337078651685393	48.09176029962547	0.05315309875419774	0.010767790262172285	0.09784644194756555	0.030430711610486893	0.05337078651685393	48.09176029962547	0.05315309875419774	1444879556	150	0.010767790262172285	0.09784644194756555	0.030430711610486893	0.05337078651685393	48.09176029962547	0.05315309875419774	22	COMPLETE
