number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.40084985835694054	2020-04-06 18:20:17.251184	2020-04-06 19:10:01.326515	128	6	0.00156392878455931	256	0.38878944247501557	0.3718130311614731	0.40084985835694054	0.38987252124645894	0.3944759206798867	7880.273813739377	0.3836315803273729	0.3718130311614731	0.40084985835694054	0.38987252124645894	0.3944759206798867	7880.273194050991	0.38363158035138656	976160200	500	0.3718130311614731	0.40084985835694054	0.38987252124645894	0.3944759206798867	7880.274433427762	0.38363158030336886	0	COMPLETE
1	0.4097025495750708	2020-04-06 19:10:01.375453	2020-04-06 19:38:29.103213	64	92	0.010655527710489913	256	0.3212183242798251	0.375	0.4097025495750708	0.3946529745042493	0.40155807365439095	6510.453611898017	0.38948891566219473	0.375	0.4097025495750708	0.3946529745042493	0.40155807365439095	6510.45290368272	0.38948891566499483	964786843	300	0.375	0.4097025495750708	0.3946529745042493	0.40155807365439095	6510.454320113315	0.389488915659395	1	COMPLETE
2	0.41111898016997167	2020-04-06 19:38:29.156791	2020-04-06 20:28:40.141898	64	48	0.001120406575697261	256	0.37235213513078425	0.3773016997167139	0.41111898016997167	0.39660056657223797	0.4027974504249292	7547.047627478753	0.3909071170096405	0.3773016997167139	0.41111898016997167	0.39660056657223797	0.4027974504249292	7547.04709631728	0.39090711702054115	610655491	500	0.3773016997167139	0.41111898016997167	0.39660056657223797	0.4027974504249292	7547.048158640227	0.39090711699874214	2	COMPLETE
3	0.40828611898017	2020-04-06 20:28:40.196613	2020-04-06 20:46:24.915188	128	99	0.009688202789421153	256	0.377391931630654	0.37340651558073656	0.40828611898017	0.391643059490085	0.3976628895184136	7648.952018413598	0.38704954824444965	0.37340651558073656	0.40828611898017	0.391643059490085	0.3976628895184136	7648.951487252125	0.38704954833182253	2559273382	200	0.37340651558073656	0.40828611898017	0.391643059490085	0.3976628895184136	7648.95254957507	0.38704954815715836	3	COMPLETE
4	0.41359773371104813	2020-04-06 20:46:24.949504	2020-04-06 21:04:20.417371	128	38	0.004259091868345459	512	0.42735851206902853	0.3773016997167139	0.41359773371104813	0.3973087818696884	0.4035056657223796	8662.04992917847	0.39148907590708676	0.3773016997167139	0.41359773371104813	0.3973087818696884	0.4035056657223796	8662.048866855524	0.3914890759221322	2948361779	300	0.3773016997167139	0.41359773371104813	0.3973087818696884	0.4035056657223796	8662.050991501417	0.3914890758920444	4	COMPLETE
5	0.41165014164305946	2020-04-06 21:04:20.471231	2020-04-06 21:38:03.686114	64	62	0.002263936466659375	256	0.377550682167822	0.37889518413597734	0.41165014164305946	0.39890226628895187	0.40439093484419264	7652.494776912181	0.3922428565874056	0.37889518413597734	0.41165014164305946	0.39890226628895187	0.40439093484419264	7652.493626062323	0.3922428566004861	3758529635	350	0.37889518413597734	0.41165014164305946	0.39890226628895187	0.40439093484419264	7652.49592776204	0.39224285657432734	5	COMPLETE
6	0.41076487252124644	2020-04-06 21:38:03.721947	2020-04-06 21:48:57.233456	64	70	0.035503774824732104	512	0.32289711311058283	0.3668555240793201	0.41076487252124644	0.392528328611898	0.39890226628895187	6545.11039305949	0.3845994063923371	0.3668555240793201	0.41076487252124644	0.392528328611898	0.39890226628895187	6545.10959631728	0.3845994063981421	523070789	200	0.3668555240793201	0.41076487252124644	0.392528328611898	0.39890226628895187	6545.1111898017	0.3845994063865329	6	COMPLETE
7	0.3996104815864023	2020-04-06 21:48:57.268803	2020-04-06 22:22:11.144008	128	6	0.0018313300822581809	256	0.40988075887998593	0.375	0.3996104815864023	0.3902266288951841	0.39288243626062325	8307.19927407932	0.3851600219257656	0.375	0.3996104815864023	0.3902266288951841	0.39288243626062325	8307.198654390935	0.38516002193675264	1082641181	350	0.375	0.3996104815864023	0.3902266288951841	0.39288243626062325	8307.199893767705	0.38516002191478144	7	COMPLETE
8	0.3978399433427762	2020-04-06 22:22:11.189382	2020-04-06 22:54:57.648675	256	88	0.0028965984476620596	128	0.43312836967060653	0.37340651558073656	0.3978399433427762	0.3893413597733711	0.392528328611898	8778.097999291786	0.38387490926547924	0.37340651558073656	0.3978399433427762	0.3893413597733711	0.392528328611898	8778.096848441926	0.38387490929351903	2098829369	200	0.37340651558073656	0.3978399433427762	0.3893413597733711	0.392528328611898	8778.099150141643	0.3838749092374492	8	COMPLETE
9	0.4031515580736544	2020-04-06 22:54:57.686081	2020-04-06 23:12:14.083972	128	52	0.06526771508187927	256	0.37125659459850346	0.3631373937677054	0.4031515580736544	0.386685552407932	0.3921742209631728	7525.238580028328	0.3792061195767698	0.3631373937677054	0.4031515580736544	0.386685552407932	0.3921742209631728	7525.238314447592	0.3792061196184566	3646300119	200	0.3631373937677054	0.4031515580736544	0.386685552407932	0.3921742209631728	7525.238845609065	0.3792061195351107	9	COMPLETE
