number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.scoring_fct_norm	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.10861423220973783	2020-05-13 11:24:01.080460	2020-05-13 11:24:30.843900	64	2	256	0.004613557632988748	0.9966585081574691	0.009363295880149813	0.10861423220973783	0.03323970037453183	0.05664794007490637	48.02949438202247	0.054262055244777306	0.009363295880149813	0.10861423220973783	0.03323970037453183	0.05664794007490637	48.02949438202247	0.054262055244777306	3114821050	150.0	0.009363295880149813	0.10861423220973783	0.03323970037453183	0.05664794007490637	48.02949438202247	0.054262055244777306	0	COMPLETE
1	0.9531835205992509	2020-05-13 11:24:30.862615	2020-05-13 11:27:33.351533	128	1	256	0.006854897548325292	0.07281820281419192	0.46722846441947563	0.9531835205992509	0.7799625468164794	0.8764044943820225	3.4985955056179776	0.6442382122423758	0.46722846441947563	0.9531835205992509	0.7799625468164794	0.8764044943820225	3.4985955056179776	0.6442382122423758	115730028	550.0	0.46722846441947563	0.9531835205992509	0.7799625468164794	0.8764044943820225	3.4985955056179776	0.6442382122423758	1	COMPLETE
2	0.10627340823970037	2020-05-13 11:27:33.369334	2020-05-13 11:29:27.767420	256	2	256	0.0950404464608067	0.9906432908028364	0.011704119850187267	0.10627340823970037	0.02855805243445693	0.05196629213483146	47.6750936329588	0.05489722862024254	0.011704119850187267	0.10627340823970037	0.02855805243445693	0.05196629213483146	47.6750936329588	0.05489722862024254	587718225	150.0	0.011704119850187267	0.10627340823970037	0.02855805243445693	0.05196629213483146	47.6750936329588	0.05489722862024254	2	COMPLETE
3	0.11750936329588015	2020-05-13 11:29:27.784155	2020-05-13 11:30:13.238714	64	2	256	0.013236301199022648	0.9495884206761651	0.010767790262172285	0.11750936329588015	0.03417602996254682	0.056179775280898875	45.73033707865169	0.05684958260429515	0.010767790262172285	0.11750936329588015	0.03417602996254682	0.056179775280898875	45.73033707865169	0.05684958260429515	1289205498	250.0	0.010767790262172285	0.11750936329588015	0.03417602996254682	0.056179775280898875	45.73033707865169	0.05684958260429515	3	COMPLETE
4	0.952247191011236	2020-05-13 11:30:13.249023	2020-05-13 11:33:16.947537	128	1	256	0.28406249572284015	0.06784699986643447	0.4845505617977528	0.952247191011236	0.7930711610486891	0.8806179775280899	3.2677902621722845	0.6561864948518932	0.4845505617977528	0.952247191011236	0.7930711610486891	0.8806179775280899	3.2677902621722845	0.6561864948518932	222020629	550.0	0.4845505617977528	0.952247191011236	0.7930711610486891	0.8806179775280899	3.2677902621722845	0.6561864948518932	4	COMPLETE
5	0.24625468164794007	2020-05-13 11:33:16.959845	2020-05-13 11:38:03.390885	64	2	128	0.18426303977966213	0.6484218713747205	0.04681647940074907	0.24625468164794007	0.10346441947565543	0.1451310861423221	31.14185393258427	0.11927146810453235	0.04681647940074907	0.24625468164794007	0.10346441947565543	0.1451310861423221	31.14185393258427	0.11927146810453235	1799682870		0.04681647940074907	0.24625468164794007	0.10346441947565543	0.1451310861423221	31.14185393258427	0.11927146810453235	5	COMPLETE
6	0.9527153558052435	2020-05-13 11:38:03.403121	2020-05-13 11:46:10.565391	256	1	256	0.08816822116954606	0.07017062228759018	0.45880149812734083	0.9527153558052435	0.7645131086142322	0.875	3.384831460674157	0.6357770881309635	0.45880149812734083	0.9527153558052435	0.7645131086142322	0.875	3.384831460674157	0.6357770881309635	3139315684	500.0	0.45880149812734083	0.9527153558052435	0.7645131086142322	0.875	3.384831460674157	0.6357770881309635	6	COMPLETE
7	0.9564606741573034	2020-05-13 11:46:10.576026	2020-05-13 11:50:39.465232	128	1	512	0.002512439387758842	0.06913707267810426	0.47846441947565543	0.9564606741573034	0.778558052434457	0.8759363295880149	3.3333333333333335	0.6500511448195798	0.47846441947565543	0.9564606741573034	0.778558052434457	0.8759363295880149	3.3333333333333335	0.6500511448195798	3926808861	850.0	0.47846441947565543	0.9564606741573034	0.778558052434457	0.8759363295880149	3.3333333333333335	0.6500511448195798	7	COMPLETE
8	0.954119850187266	2020-05-13 11:50:39.480051	2020-05-13 11:55:52.075835	256	1	128	0.511546952156523	0.06801748594133121	0.47752808988764045	0.954119850187266	0.7991573033707865	0.8960674157303371	3.2818352059925093	0.6540796689684923	0.47752808988764045	0.954119850187266	0.7991573033707865	0.8960674157303371	3.2818352059925093	0.6540796689684923	2150001938	350.0	0.47752808988764045	0.954119850187266	0.7991573033707865	0.8960674157303371	3.2818352059925093	0.6540796689684923	8	COMPLETE
9	0.10393258426966293	2020-05-13 11:55:52.087758	2020-05-13 11:56:50.458879	128	2	256	0.017555104577952695	0.9887121813153771	0.011235955056179775	0.10393258426966293	0.03277153558052434	0.0552434456928839	47.57677902621723	0.055565688548405275	0.011235955056179775	0.10393258426966293	0.03277153558052434	0.0552434456928839	47.57677902621723	0.055565688548405275	1969033288	200.0	0.011235955056179775	0.10393258426966293	0.03277153558052434	0.0552434456928839	47.57677902621723	0.055565688548405275	9	COMPLETE
