number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.relation_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.08192883895131087	2020-03-12 12:02:54.259056	2020-03-12 12:06:41.067581	256	128	89	0.008869799851605756	512	1.0471617013899686	0.0	0.08192883895131087	0.014044943820224719	0.0351123595505618	50.485955056179776	0.0401706088474766	0.0	0.08192883895131087	0.014044943820224719	0.0351123595505618	50.485955056179776	0.0401706088474766	1110926675	300	0.0	0.08192883895131087	0.014044943820224719	0.0351123595505618	50.485955056179776	0.0401706088474766	0	COMPLETE
1	0.12734082397003746	2020-03-12 12:06:41.085882	2020-03-12 12:08:35.896654	64	128	9	0.08480988183259315	256	0.8932832731213072	0.0028089887640449437	0.12734082397003746	0.03604868913857678	0.06179775280898876	42.958333333333336	0.055392285401308396	0.0028089887640449437	0.12734082397003746	0.03604868913857678	0.06179775280898876	42.958333333333336	0.055392285401308396	3148180739	150	0.0028089887640449437	0.12734082397003746	0.03604868913857678	0.06179775280898876	42.958333333333336	0.055392285401308396	1	COMPLETE
2	0.07303370786516854	2020-03-12 12:08:35.914516	2020-03-12 12:14:35.311258	256	64	90	0.001939184602981017	256	1.1182078108756561	0.0	0.07303370786516854	0.011704119850187267	0.02855805243445693	53.717696629213485	0.03640566736390914	0.0	0.07303370786516854	0.011704119850187267	0.02855805243445693	53.717696629213485	0.03640566736390914	3655397259	350	0.0	0.07303370786516854	0.011704119850187267	0.02855805243445693	53.717696629213485	0.03640566736390914	2	COMPLETE
3	0.1601123595505618	2020-03-12 12:14:35.322277	2020-03-12 12:17:24.455331	256	256	27	0.003979300740661503	256	0.7629529170775682	0.0	0.1601123595505618	0.03464419475655431	0.0702247191011236	36.61610486891386	0.06220893107999945	0.0	0.1601123595505618	0.03464419475655431	0.0702247191011236	36.61610486891386	0.06220893107999945	3219305329	200	0.0	0.1601123595505618	0.03464419475655431	0.0702247191011236	36.61610486891386	0.06220893107999945	3	COMPLETE
4	0.28745318352059923	2020-03-12 12:17:24.473033	2020-03-12 12:24:14.675474	64	128	11	0.0023394746242471486	128	0.5049679440346787	0.010299625468164793	0.28745318352059923	0.09597378277153558	0.16385767790262173	24.323033707865168	0.1073469011538486	0.010299625468164793	0.28745318352059923	0.09597378277153558	0.16385767790262173	24.323033707865168	0.1073469011538486	3426217580	250	0.010299625468164793	0.28745318352059923	0.09597378277153558	0.16385767790262173	24.323033707865168	0.1073469011538486	4	COMPLETE
5	0.0749063670411985	2020-03-12 12:24:14.693368	2020-03-12 12:31:06.828871	128	128	67	0.01353664901160462	128	1.0468084046945032	0.0	0.0749063670411985	0.009363295880149813	0.0299625468164794	50.3623595505618	0.03826327743576144	0.0	0.0749063670411985	0.009363295880149813	0.0299625468164794	50.3623595505618	0.03826327743576144	632661955	250	0.0	0.0749063670411985	0.009363295880149813	0.0299625468164794	50.3623595505618	0.03826327743576144	5	COMPLETE
6	0.10533707865168539	2020-03-12 12:31:06.841042	2020-03-12 12:36:14.807770	128	128	38	0.0017577047658695708	128	0.8722428801026516	0.0	0.10533707865168539	0.014044943820224719	0.035580524344569285	41.89840823970037	0.0472409877352764	0.0	0.10533707865168539	0.014044943820224719	0.035580524344569285	41.89840823970037	0.0472409877352764	39638091	200	0.0	0.10533707865168539	0.014044943820224719	0.035580524344569285	41.89840823970037	0.0472409877352764	6	COMPLETE
7	0.28558052434456926	2020-03-12 12:36:14.819972	2020-03-12 12:39:53.787150	256	128	17	0.006171320566030233	256	0.6216490377692945	0.0	0.28558052434456926	0.09082397003745318	0.1605805243445693	29.65730337078652	0.09604326594387697	0.0	0.28558052434456926	0.09082397003745318	0.1605805243445693	29.65730337078652	0.09604326594387697	3266329699	250	0.0	0.28558052434456926	0.09082397003745318	0.1605805243445693	29.65730337078652	0.09604326594387697	7	COMPLETE
8	0.07818352059925093	2020-03-12 12:39:53.799004	2020-03-12 12:41:50.410218	256	64	90	0.003534068868709956	256	1.0611908253672975	0.0	0.07818352059925093	0.014044943820224719	0.03089887640449438	51.125	0.03943786652655693	0.0	0.07818352059925093	0.014044943820224719	0.03089887640449438	51.125	0.03943786652655693	4001049614	150	0.0	0.07818352059925093	0.014044943820224719	0.03089887640449438	51.125	0.03943786652655693	8	COMPLETE
9	0.18679775280898878	2020-03-12 12:41:50.422502	2020-03-12 12:43:22.234698	256	64	27	0.004078987771102832	512	0.7513242450085807	0.0	0.18679775280898878	0.039794007490636704	0.08707865168539326	35.877808988764045	0.0674629452462485	0.0	0.18679775280898878	0.039794007490636704	0.08707865168539326	35.877808988764045	0.0674629452462485	2883570961	200	0.0	0.18679775280898878	0.039794007490636704	0.08707865168539326	35.877808988764045	0.0674629452462485	9	COMPLETE
