Replicate	Epoch	Loss
0	0	0.00012978097014053726
0	1	0.00010160054747453141
0	2	9.790038645879358e-05
0	3	9.638740372856762e-05
0	4	9.568115271198285e-05
0	5	9.541983739435381e-05
0	6	9.540020461934034e-05
0	7	9.544951837687808e-05
0	8	9.542599983160363e-05
0	9	9.545524979617348e-05
0	10	9.548843084477071e-05
0	11	9.55444154520594e-05
0	12	9.560703966768633e-05
0	13	9.555083467030369e-05
0	14	9.574842271533815e-05
0	15	9.568992650919289e-05
0	16	9.575523977191864e-05
0	17	9.583092585602644e-05
0	18	9.571973579649748e-05
0	19	9.586870765262083e-05
0	20	9.585745795740396e-05
0	21	9.592610975088103e-05
0	22	9.60433730829786e-05
0	23	9.587888848528151e-05
0	24	9.578988800269602e-05
0	25	9.580238036857476e-05
0	26	9.569992321945221e-05
0	27	9.591671458958794e-05
0	28	9.608397295030896e-05
0	29	9.565279925694712e-05
0	30	9.596252416415968e-05
0	31	9.661758948804922e-05
0	32	9.631811739865439e-05
0	33	9.588814269291311e-05
0	34	9.74501539917286e-05
0	35	9.595758443324598e-05
0	36	9.567821220459541e-05
0	37	9.565476154301293e-05
0	38	9.565902835228277e-05
0	39	9.590159886845248e-05
0	40	9.564195465067042e-05
0	41	9.56359489184946e-05
0	42	9.59877588144882e-05
0	43	9.690757490134835e-05
0	44	9.581824207657654e-05
0	45	9.563471657863524e-05
0	46	9.578624794769485e-05
0	47	9.627748477958908e-05
0	48	9.555656841134595e-05
0	49	9.64062551887255e-05
0	50	9.616906576225998e-05
