number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.adversarial_temperature	loss.margin	model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	1501	1551	1601	1651
0	TrialState.COMPLETE	0.21501471106281847	2020-01-20 01:24:18.444324	2020-01-20 03:33:03.048022	0.8066584518874338	3.1404174129381603	50.0	2	10.0	0.04771664483444157	1100.0	0.49047968172591205	0.08730383182253447	0.21501471106281847	0.14929992210330986	0.1772559030310247	3472.3463419565464	0.13083687185977005	0.08730507221568949	0.21501471106281847	0.14930116249646488	0.1772559030310247	3472.34362859652	0.1308375983842094	0.08730383182253447	0.21501471106281847	0.14929992210330986	0.1772559030310247	3472.349055316573	0.13083644968219224	0						
1	TrialState.COMPLETE	0.14387576552930884	2020-01-20 03:33:03.048911	2020-01-20 04:58:51.007430	0.9859859729699485	5.700040808566626	150.0	1	90.0	0.0013835817910373928	700.0	0.7203897261556705	0.005348244512914146	0.14387576552930884	0.10047928791509757	0.12147476130701054	5123.161090189813	0.05896111332936722	0.005348244512914146	0.14387576552930884	0.10047928791509757	0.12147476130701054	5123.157951995131	0.058961113977440936	0.005348244512914146	0.14387576552930884	0.10047928791509757	0.12147476130701054	5123.164228384496	0.05896111268338797	1						
2	TrialState.COMPLETE	0.36992223798112195	2020-01-20 04:58:51.008329	2020-01-20 09:12:55.017421	0.47348309055869087	5.048193228141404	450.0	1	40.0	0.0741257945055467	1700.0	0.06439763471380283	0.13289398607782724	0.36992223798112195	0.23500268988115616	0.2905487357558566	448.2210328328524	0.21228532755510932	0.13289398607782724	0.36992223798112195	0.23500432011215988	0.2905487357558566	448.22077647902705	0.21228552614208587	0.13289398607782724	0.36992223798112195	0.23500268988115616	0.2905487357558566	448.2212891866778	0.21228517926946755	2					0.36808343621078987	0.3690298782984608
3	TrialState.COMPLETE	0.22315607288219408	2020-01-20 09:12:55.018322	2020-01-20 10:54:59.001658	0.5643337343265931	20.079922485260976	450.0	1	30.0	0.0033089670548609265	700.0	0.4671048485468679	0.0057001027045532355	0.22315607288219408	0.1322549355243638	0.17220130092434097	3314.818879569402	0.0847265135257	0.0057001027045532355	0.22315607288219408	0.1322549355243638	0.17220130092434097	3314.8150195899425	0.08472658478738607	0.0057001027045532355	0.22315607288219408	0.1322549355243638	0.17220130092434097	3314.8227395488607	0.08472645446601491	3						
4	TrialState.COMPLETE	0.35902416842163504	2020-01-20 10:54:59.002619	2020-01-20 15:16:29.188804	0.947598171129587	14.622087064414925	350.0	1	80.0	0.019241011723398937	1600.0	0.0999430660717427	0.12297400571964077	0.35902416842163504	0.2328920841416562	0.28529388371908054	700.728375850252	0.20318021937318068	0.12297400571964077	0.35902416842163504	0.2328920841416562	0.28529388371908054	700.7277637726114	0.20318022988818576	0.12297400571964077	0.35902416842163504	0.2328920841416562	0.28529388371908054	700.7289879278924	0.20318020935081665	4						
5	TrialState.COMPLETE	0.0055702955608809765	2020-01-20 15:16:29.189704	2020-01-20 15:28:39.937668	0.16007678732545053	25.073017599336257	50.0	2	40.0	0.003262923298031645	1200.0	1.0792278114568579	0.004964053406367682	0.0055702955608809765	0.005192285746890335	0.005306401917151661	7718.90347198448	0.005593112540686306	0.004964053406367682	0.0055702955608809765	0.005192285746890335	0.005306401917151661	7718.898778956978	0.005593114663846594	0.004964053406367682	0.0055702955608809765	0.005192285746890335	0.005306401917151661	7718.908165011982	0.005593110451879849	5	0.005634485906652973	0.005591692342804975				
6	TrialState.COMPLETE	0.2510037035884348	2020-01-20 15:28:39.938795	2020-01-20 16:32:30.632320	0.18634725069354466	25.134109408555503	250.0	1	40.0	0.033538561630718354	500.0	0.20207919326062423	0.08326330750158206	0.2510037035884348	0.1499590219206789	0.1889374747128941	1428.0402402145385	0.13909807461624035	0.08326330750158206	0.2510037035884348	0.149961615470003	0.1889374747128941	1428.0388695237207	0.1390982246341109	0.08326330750158206	0.2510037035884348	0.1499590219206789	0.1889374747128941	1428.0416109053563	0.13909795738095468	6						
7	TrialState.COMPLETE	0.26651260983681385	2020-01-20 16:32:30.633266	2020-01-20 17:51:19.208084	0.1299054242508843	8.750843103835965	150.0	1	20.0	0.013540389412349571	700.0	0.2896728592394312	0.07387500475484043	0.26651260983681385	0.16887861843356536	0.21122903115371447	2049.85540435163	0.1399615334366072	0.07387500475484043	0.2665145117729849	0.16887861843356536	0.2112309330898855	2049.8541138879377	0.13996160591701276	0.07387500475484043	0.26651260983681385	0.16887861843356536	0.21122903115371447	2049.856694815322	0.13996146978749824	7						
8	TrialState.COMPLETE	0.005670147209859637	2020-01-20 17:51:19.208978	2020-01-20 18:04:44.672483	0.7924835465484621	23.463051431455774	350.0	2	10.0	0.001205208707319604	800.0	1.0882253991308273	0.005135227661759671	0.005670147209859637	0.005242211571379664	0.005356327741640991	7784.300510669862	0.005689416504799999	0.005135227661759671	0.005670147209859637	0.005242211571379664	0.005356327741640991	7784.2911602761615	0.005689417477171989	0.005135227661759671	0.005670147209859637	0.005242211571379664	0.005356327741640991	7784.3098610635625	0.005689415534723118	8	0.005720073034348967	0.005686789151356081				
