number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.scoring_fct_norm	params_optimizer.lr	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.25140449438202245	2020-03-07 00:01:26.799044	2020-03-07 00:02:21.103653	128	2	0.0011688571929113938	512	0.00752684210672482	0.6682746691920547	0.0650749063670412	0.25140449438202245	0.12968164794007492	0.17181647940074907	32.199438202247194	0.13852315253374217	0.0650749063670412	0.25140449438202245	0.12968164794007492	0.17181647940074907	32.199438202247194	0.13852315253374217	1267958834	450	0.0650749063670412	0.25140449438202245	0.12968164794007492	0.17181647940074907	32.199438202247194	0.13852315253374217	0	COMPLETE
1	0.24906367041198502	2020-03-07 00:02:21.119352	2020-03-07 00:03:40.344420	128	2	0.0018762174315525855	256	0.45675487111204394	0.6674782474750255	0.05664794007490637	0.24906367041198502	0.11750936329588015	0.16385767790262173	32.13202247191011	0.1310665323121351	0.05664794007490637	0.24906367041198502	0.11750936329588015	0.16385767790262173	32.13202247191011	0.1310665323121351	3877442232	600	0.05664794007490637	0.24906367041198502	0.11750936329588015	0.16385767790262173	32.13202247191011	0.1310665323121351	1	COMPLETE
2	0.25608614232209737	2020-03-07 00:03:40.356143	2020-03-07 00:04:18.481447	256	2	0.009555413167255796	512	0.06436683471965082	0.6657677883716572	0.06320224719101124	0.25608614232209737	0.12359550561797752	0.1647940074906367	32.06086142322097	0.13583615966282486	0.06320224719101124	0.25608614232209737	0.12359550561797752	0.1647940074906367	32.06086142322097	0.13583615966282486	4269240728	350	0.06320224719101124	0.25608614232209737	0.12359550561797752	0.1647940074906367	32.06086142322097	0.13583615966282486	2	COMPLETE
3	0.25608614232209737	2020-03-07 00:04:18.497009	2020-03-07 00:05:02.702892	256	2	0.0023491722818209243	256	0.0019457127679666335	0.6625365147817085	0.0650749063670412	0.25608614232209737	0.13389513108614232	0.1760299625468165	31.90449438202247	0.13919826924524775	0.0650749063670412	0.25608614232209737	0.13389513108614232	0.1760299625468165	31.90449438202247	0.13919826924524775	2331405911	350	0.0650749063670412	0.25608614232209737	0.13389513108614232	0.1760299625468165	31.90449438202247	0.13919826924524775	3	COMPLETE
4	0.25842696629213485	2020-03-07 00:05:02.714716	2020-03-07 00:05:49.837942	128	2	0.014987706094434955	512	0.015032234433276493	0.6600028295000171	0.06132958801498127	0.25842696629213485	0.125	0.17322097378277154	31.789794007490638	0.13637033861351286	0.06132958801498127	0.25842696629213485	0.125	0.17322097378277154	31.789794007490638	0.13637033861351286	2910937888	400	0.06132958801498127	0.25842696629213485	0.125	0.17322097378277154	31.789794007490638	0.13637033861351286	4	COMPLETE
5	0.24765917602996254	2020-03-07 00:05:49.855839	2020-03-07 00:06:09.682851	64	2	0.007379875773690787	512	0.13746813331674165	0.6660672409498317	0.062265917602996254	0.24765917602996254	0.12078651685393259	0.16666666666666666	32.07677902621723	0.13489865044253857	0.062265917602996254	0.24765917602996254	0.12078651685393259	0.16666666666666666	32.07677902621723	0.13489865044253857	3817239495	200	0.062265917602996254	0.24765917602996254	0.12078651685393259	0.16666666666666666	32.07677902621723	0.13489865044253857	5	COMPLETE
6	0.25280898876404495	2020-03-07 00:06:09.693450	2020-03-07 00:06:35.936462	128	2	0.006921083409353898	512	0.015313039542331312	0.664274745613811	0.05852059925093633	0.25280898876404495	0.11891385767790262	0.16666666666666666	31.974719101123597	0.1321796482884784	0.05852059925093633	0.25280898876404495	0.11891385767790262	0.16666666666666666	31.974719101123597	0.1321796482884784	2971224015	250	0.05852059925093633	0.25280898876404495	0.11891385767790262	0.16666666666666666	31.974719101123597	0.1321796482884784	6	COMPLETE
7	0.25140449438202245	2020-03-07 00:06:35.948381	2020-03-07 00:06:55.758576	256	2	0.061370423647045466	512	0.2697504036287913	0.6776320266080428	0.05102996254681648	0.25140449438202245	0.10533707865168539	0.1596441947565543	32.629681647940075	0.12413944851882794	0.05102996254681648	0.25140449438202245	0.10533707865168539	0.1596441947565543	32.629681647940075	0.12413944851882794	1285060215	200	0.05102996254681648	0.25140449438202245	0.10533707865168539	0.1596441947565543	32.629681647940075	0.12413944851882794	7	COMPLETE
8	0.44662921348314605	2020-03-07 00:06:55.770443	2020-03-07 00:07:28.084843	256	1	0.008261005320004382	256	0.05645235709118134	0.47158673188164274	0.05852059925093633	0.44662921348314605	0.23548689138576778	0.32724719101123595	22.814606741573034	0.19317938052134276	0.05852059925093633	0.44662921348314605	0.23548689138576778	0.32724719101123595	22.814606741573034	0.19317938052134276	2061050268	250	0.05852059925093633	0.44662921348314605	0.23548689138576778	0.32724719101123595	22.814606741573034	0.19317938052134276	8	COMPLETE
9	0.25187265917602997	2020-03-07 00:07:28.109099	2020-03-07 00:07:56.530662	256	2	0.011440118553280726	512	0.3665157757659146	0.6654894666463723	0.048220973782771535	0.25187265917602997	0.11938202247191011	0.17322097378277154	32.03347378277154	0.12604145248464105	0.048220973782771535	0.25187265917602997	0.11938202247191011	0.17322097378277154	32.03323970037453	0.12604159697994782	1168900313	250	0.048220973782771535	0.25187265917602997	0.11938202247191011	0.17322097378277154	32.03370786516854	0.12604131151361	9	COMPLETE
