number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_regularizer.weight	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.20657879721556544	2020-03-24 01:26:15.943167	2020-03-24 03:42:25.486742	0.7602426385063986	20.300989078315624	256	2	67	0.022743418369673255	0.08094553294769118	512	0.5947582785282259	0.09973753280839895	0.20657879721556544	0.14875042793563847	0.17636654113887937	4216.086086385941	0.1354292848796673	0.09973753280839895	0.20657879721556544	0.14875042793563847	0.17636654113887937	4216.042565331508	0.13542934185076413	1687596343		0.09973753280839895	0.20657879721556544	0.14875042793563847	0.17636654113887937	4216.1296074403745	0.13542922895080103	0	COMPLETE
1	0.0003708775533493096	2020-03-24 03:42:25.546758	2020-03-24 04:15:00.812373	0.7915292275941269	19.869356417345237	64	1	91	0.0018232960915143214	0.24326250758670923	128	1.1144945410799172	8.558712769599452e-05	0.0003708775533493096	0.00019970329795732054	0.0002567613830879836	7974.38121933128	0.0005744577624994276	8.558712769599452e-05	0.0003708775533493096	0.00019970329795732054	0.0002567613830879836	7974.365114686751	0.0005744605168945311	571702849	150.0	8.558712769599452e-05	0.0003708775533493096	0.00019970329795732054	0.0002567613830879836	7974.397323975807	0.0005744550147943333	1	COMPLETE
2	0.0005705808513066301	2020-03-24 04:15:00.850743	2020-03-24 04:47:34.024268	0.1950585952645474	19.064641935273162	256	1	13	0.0018278142326554527	0.11646284549994938	128	1.1016429212862962	8.558712769599452e-05	0.0005705808513066301	0.00028529042565331506	0.0003708775533493096	7881.4699731827	0.0006535515023725721	8.558712769599452e-05	0.0005705808513066301	0.00028529042565331506	0.0003708775533493096	7881.407822663471	0.0006535631185866342	2915100473	150.0	8.558712769599452e-05	0.0005705808513066301	0.00028529042565331506	0.0003708775533493096	7881.532123701929	0.0006535399431547795	2	COMPLETE
3	0.18521054433413214	2020-03-24 04:47:34.056652	2020-03-24 07:27:00.601536	0.3522051699535706	8.773227690611584	128	2	1	0.003466611869392249	0.025428700376738438	256	0.6257775491632837	0.10835330366312906	0.18521054433413214	0.14940659591464112	0.16626726007075202	4433.91581079539	0.1353913951993267	0.10835330366312906	0.18521054433413214	0.14940659591464112	0.16626726007075202	4433.898836015063	0.13539148232592454	4000095863		0.10835330366312906	0.18521054433413214	0.14940659591464112	0.16626726007075202	4433.9327855757165	0.13539131390120226	3	COMPLETE
4	0.0004564646810453041	2020-03-24 07:27:00.643096	2020-03-24 07:38:20.191270	0.5225033072033972	20.355008064025366	128	2	4	0.0057970377183544424	0.028362358604031187	512	1.1296063997297416	0.0	0.0004564646810453041	5.705808513066301e-05	0.00019970329795732054	8085.926024192628	0.0005119920041811606	0.0	0.0004564646810453041	5.705808513066301e-05	0.00019970329795732054	8085.894071664955	0.0005119982525634058	1813706107	150.0	0.0	0.0004564646810453041	5.705808513066301e-05	0.00019970329795732054	8085.957976720301	0.0005119857864631396	4	COMPLETE
5	0.2821522309711286	2020-03-24 07:38:20.238286	2020-03-24 09:47:39.713770	0.8498635956391735	11.989106691753431	128	1	96	0.0695497739425454	0.015769602179094667	128	0.3010423853748497	0.10216250142645213	0.2821522309711286	0.17685153486249003	0.21827570466735136	2108.911117767888	0.15955773508060525	0.10216250142645213	0.2821522309711286	0.17685153486249003	0.21827570466735136	2108.9011753965538	0.15955786286954232	989111985	450.0	0.10216250142645213	0.2821522309711286	0.17685153486249003	0.21827570466735136	2108.921060139222	0.1595576141206788	5	COMPLETE
6	0.23967248659135	2020-03-24 09:47:39.762365	2020-03-24 11:55:58.836012	0.3004742170171946	8.95945832738803	64	2	68	0.07120089269375322	0.10968896353192492	128	0.36128384048297035	0.10065046217048956	0.23967248659135	0.15434212027844346	0.18857697135684126	2534.612418692229	0.1459458343027496	0.10065046217048956	0.23967248659135	0.15434212027844346	0.18857697135684126	2534.6051580508956	0.14594599661986	4126000867	450.0	0.10065046217048956	0.23967248659135	0.15434212027844346	0.18857697135684126	2534.6196793335616	0.1459456834232776	6	COMPLETE
7	0.0005991098938719617	2020-03-24 11:55:58.869935	2020-03-24 12:14:41.939058	0.18719833007472378	28.791479068237614	64	2	99	0.0025026054719225555	0.20897026494865314	256	1.0960379941447207	0.00011411617026132602	0.0005991098938719617	0.00019970329795732054	0.0003138194682186466	7839.506590208833	0.000606117806780234	0.00011411617026132602	0.0005991098938719617	0.00019970329795732054	0.0003138194682186466	7839.490385712656	0.0006061193150946975	3243114056	150.0	0.00011411617026132602	0.0005991098938719617	0.00019970329795732054	0.0003138194682186466	7839.52279470501	0.0006061163007398231	7	COMPLETE
8	0.00022823234052265205	2020-03-24 12:14:41.974104	2020-03-24 12:46:52.685125	0.15875300534738995	17.18804756175916	64	2	23	0.004575579360643773	0.015105211610202977	128	1.172243587253048	0.0	0.00022823234052265205	2.8529042565331506e-05	8.558712769599452e-05	8392.08640020541	0.00045247718773376274	0.0	0.00022823234052265205	2.8529042565331506e-05	8.558712769599452e-05	8392.065531210772	0.00045248047689675365	3573781733	150.0	0.0	0.00022823234052265205	2.8529042565331506e-05	8.558712769599452e-05	8392.107269200045	0.0004524739099323629	8	COMPLETE
9	0.0007417551066986192	2020-03-24 12:46:52.721707	2020-03-24 12:58:23.427683	0.14564675410549432	14.582392905000395	128	2	24	0.008852368550132394	0.06271402012306576	512	1.0948326879253065	0.00017117425539198904	0.0007417551066986192	0.00022823234052265205	0.0003138194682186466	7833.969031724296	0.0006971537244332016	0.00017117425539198904	0.0007417551066986192	0.00022823234052265205	0.0003138194682186466	7833.944511012211	0.000697160765556724	3912446333	150.0	0.00017117425539198904	0.0007417551066986192	0.00022823234052265205	0.0003138194682186466	7833.99355243638	0.0006971467452145456	9	COMPLETE
