number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_regularizer.weight	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.035918064589752365	2020-03-03 09:32:05.754121	2020-03-03 09:49:43.919524	256	2	4	0.02836879833726131	0.20764434791980396	256	0.9896880517646619	0.019342690859294763	0.035918064589752365	0.031496062992125984	0.033378979801437864	7068.800738902202	0.026606370494165494	0.019342690859294763	0.035918064589752365	0.031496062992125984	0.033378979801437864	7068.797329681616	0.02660637399735169	1502993770	150	0.019342690859294763	0.035918064589752365	0.031496062992125984	0.033378979801437864	7068.804148122789	0.026606366997693923	0	COMPLETE
1	0.24942941914869338	2020-03-03 09:49:43.965436	2020-03-03 10:49:17.310957	128	2	9	0.0015165469907173247	0.07474421162505787	128	0.09158555068598843	0.08812621248430903	0.24942941914869338	0.15188862261782496	0.1869793449731827	643.4346256989616	0.14217915813646356	0.08812621248430903	0.24942941914869338	0.15188862261782496	0.1869793449731827	643.434297614972	0.14217916055242596	1103866712	250	0.08812621248430903	0.24942941914869338	0.15188862261782496	0.1869793449731827	643.4349537829511	0.14217915574068024	1	COMPLETE
2	0.14689604016889193	2020-03-03 10:49:17.358517	2020-03-03 11:03:56.610021	128	1	1	0.03161812571794381	0.030453965754599986	512	0.25714697782511065	0.05286431587355928	0.14689604016889193	0.08929590322948762	0.10955152345087299	1819.8291680931188	0.08670894587350303	0.05286431587355928	0.14689604016889193	0.08929590322948762	0.10955152345087299	1819.8286830993952	0.08670900053436165	2938586760	200	0.05286431587355928	0.14689604016889193	0.08929590322948762	0.10955152345087299	1819.8296530868424	0.08670889439249746	2	COMPLETE
3	0.06898322492297158	2020-03-03 11:03:56.644692	2020-03-03 11:21:10.534952	64	2	7	0.05551988282736177	0.0175060946843903	256	0.8880668005376036	0.04382060938034919	0.06898322492297158	0.05431929704439119	0.05982540225950017	6332.656267830652	0.052511688713780966	0.04382060938034919	0.06898322492297158	0.05431929704439119	0.05982540225950017	6332.651974209745	0.05251168976633256	3030242860	150	0.04382060938034919	0.06898322492297158	0.05431929704439119	0.05982540225950017	6332.660561451557	0.05251168766290152	3	COMPLETE
4	0.15904941230172315	2020-03-03 11:21:10.568962	2020-03-03 12:05:00.423634	128	2	55	0.0032321764939001294	0.2666965843279513	256	0.20883871990791522	0.08202099737532809	0.15904941230172315	0.11123473696222755	0.12644071664954923	1478.434454524706	0.10861430836057798	0.08202099737532809	0.15904941230172315	0.11123473696222755	0.12644071664954923	1478.4319297044392	0.10861431339049843	2909695606	300	0.08202099737532809	0.15904941230172315	0.11123473696222755	0.12644071664954923	1478.4369793449732	0.1086143033775515	4	COMPLETE
5	0.011240442770740613	2020-03-03 12:05:00.457705	2020-03-03 12:50:50.694907	64	1	69	0.04313160927865822	0.06626135318975687	128	1.0123727754120289	0.004108182129407737	0.011240442770740613	0.0075031381946821865	0.008844003195252767	7236.382060938035	0.00714758490096353	0.004108182129407737	0.011240442770740613	0.0075031381946821865	0.008844003195252767	7236.368623758986	0.007147587649514489	1652003297	200	0.004108182129407737	0.011240442770740613	0.0075031381946821865	0.008844003195252767	7236.395498117083	0.007147582162151851	5	COMPLETE
6	0.11505762866598197	2020-03-03 12:50:50.729189	2020-03-03 13:21:33.915478	128	1	63	0.019182586722456273	0.014905706770463965	128	0.4154744349076583	0.03520483852561908	0.11505762866598197	0.06584503024078511	0.08347597854615998	2947.1110350336644	0.06398552430999309	0.03520483852561908	0.11505762866598197	0.06584503024078511	0.08347597854615998	2947.1069553805773	0.06398553058712095	2340573670	150	0.03520483852561908	0.11505762866598197	0.06584503024078511	0.08347597854615998	2947.115114686751	0.06398551811673155	6	COMPLETE
7	0.02330822777587584	2020-03-03 13:21:33.948780	2020-03-03 13:48:05.965558	256	1	17	0.030370518139009747	0.1475898501246488	256	1.0404830100862248	0.011240442770740613	0.02330822777587584	0.01800182585872418	0.020398265434212026	7438.759856784206	0.016055541423672885	0.011240442770740613	0.02330822777587584	0.01800182585872418	0.020398265434212026	7438.749229715851	0.016055545446774053	875853906	200	0.011240442770740613	0.02330822777587584	0.01800182585872418	0.020398265434212026	7438.7704838525615	0.016055537412465726	7	COMPLETE
8	0.01081250713226064	2020-03-03 13:48:06.000855	2020-03-03 14:14:11.184328	128	1	31	0.0603718542222925	0.01891134404104328	256	0.991960835998204	0.005249343832020997	0.01081250713226064	0.007360492981855529	0.008416067556772796	7086.444268515349	0.007497651320043834	0.005249343832020997	0.01081250713226064	0.007360492981855529	0.008416067556772796	7086.43215793678	0.007497656320734262	2847646989	200	0.005249343832020997	0.01081250713226064	0.007360492981855529	0.008416067556772796	7086.456379093917	0.0074976463482006196	8	COMPLETE
9	0.1429590322948762	2020-03-03 14:14:11.221775	2020-03-03 14:59:55.105968	128	1	48	0.004712338502080373	0.12873181013088736	128	0.3434944305434627	0.06875499258244894	0.1429590322948762	0.10216250142645213	0.11791053292251512	2438.6630720073035	0.09700102816724489	0.06875499258244894	0.1429590322948762	0.10216250142645213	0.11791053292251512	2438.6606470386855	0.09700103591096976	4129569429	200	0.06875499258244894	0.1429590322948762	0.10216250142645213	0.11791053292251512	2438.6654969759215	0.09700102053682227	9	COMPLETE
10	0.23624900148351022	2020-03-03 14:59:55.141270	2020-03-03 15:16:25.249238	256	1	6	0.0036857510809762115	0.08475403214537175	512	0.2181953001042239	0.109294762067785	0.23624900148351022	0.16053292251512039	0.1886910875271026	1540.4975037087756	0.15188066702795544	0.109294762067785	0.23624900148351022	0.16053292251512039	0.1886910875271026	1540.4968332762753	0.15188066756956037	2447763448	200	0.109294762067785	0.23624900148351022	0.16053292251512039	0.1886910875271026	1540.4981741412757	0.15188066648778378	10	COMPLETE
