number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.scoring_fct_norm	params_optimizer.lr	params_regularizer.weight	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.09737827715355805	2020-03-07 00:17:59.309317	2020-03-07 00:18:21.423873	256	2	0.015614658977658997	0.04410042347631214	512	0.0020911736925066818	1.0037082905518344	0.0	0.09737827715355805	0.02200374531835206	0.04119850187265917	48.37102059925093	0.04388961320502849	0.0	0.09737827715355805	0.02200374531835206	0.04119850187265917	48.37078651685393	0.0438897732066669	1725219447	150.0	0.0	0.09737827715355805	0.02200374531835206	0.04119850187265917	48.37125468164794	0.043889457305996186	0	COMPLETE
1	0.09082397003745318	2020-03-07 00:18:21.442311	2020-03-07 00:18:49.847226	256	2	0.09156238162526581	0.09879215682225544	128	0.07700719089089617	1.0069909312209455	0.0056179775280898875	0.09082397003745318	0.02153558052434457	0.037921348314606744	48.551029962546814	0.04652074862666913	0.0056179775280898875	0.09082397003745318	0.02153558052434457	0.037921348314606744	48.551029962546814	0.04652074862666913	2840356535	150.0	0.0056179775280898875	0.09082397003745318	0.02153558052434457	0.037921348314606744	48.551029962546814	0.04652074862666913	1	COMPLETE
2	0.09410112359550561	2020-03-07 00:18:49.859099	2020-03-07 00:20:03.350806	128	1	0.01000406665172441	0.06743981703242642	128	0.16276604760607663	1.0083460374281843	0.0	0.09410112359550561	0.015917602996254682	0.03417602996254682	48.620318352059925	0.041485645805114456	0.0	0.09410112359550561	0.015917602996254682	0.03417602996254682	48.620318352059925	0.041485645805114456	1055481349	300.0	0.0	0.09410112359550561	0.015917602996254682	0.03417602996254682	48.620318352059925	0.041485645805114456	2	COMPLETE
3	0.10252808988764045	2020-03-07 00:20:03.362759	2020-03-07 00:20:20.466790	128	2	0.0017991745059730629	0.2939175765669028	512	0.003028437785584606	1.0037480554567852	0.0	0.10252808988764045	0.02153558052434457	0.042134831460674156	48.42649812734082	0.04442636453381074	0.0	0.10252808988764045	0.02153558052434457	0.042134831460674156	48.42649812734082	0.04442636453381074	1196933717	150.0	0.0	0.10252808988764045	0.02153558052434457	0.042134831460674156	48.42649812734082	0.04442636453381074	3	COMPLETE
4	0.10393258426966293	2020-03-07 00:20:20.484443	2020-03-07 00:20:37.668006	128	1	0.0014220181621285063	0.01577547953079927	512	0.0041184612106319385	0.993503377570558	0.0	0.10393258426966293	0.02153558052434457	0.04260299625468165	47.9124531835206	0.04494176738520814	0.0	0.10393258426966293	0.02153558052434457	0.04260299625468165	47.9124531835206	0.04494176738520814	2302634265	150.0	0.0	0.10393258426966293	0.02153558052434457	0.04260299625468165	47.9124531835206	0.04494176738520814	4	COMPLETE
5	0.08707865168539326	2020-03-07 00:20:37.685927	2020-03-07 00:21:08.317117	256	2	0.025164207139563858	0.015266876959190741	128	0.011530777258569077	1.028260086160781	0.0	0.08707865168539326	0.021067415730337078	0.04073033707865169	49.68445692883895	0.043117634255682886	0.0	0.08707865168539326	0.021067415730337078	0.04073033707865169	49.68445692883895	0.043117634255682886	2850103076	150.0	0.0	0.08707865168539326	0.021067415730337078	0.04073033707865169	49.68445692883895	0.043117634255682886	5	COMPLETE
6	0.09784644194756555	2020-03-07 00:21:08.329019	2020-03-07 00:21:39.078329	128	2	0.0013839795198284967	0.060097262474761735	128	0.4337556382011294	0.9959937387637878	0.0	0.09784644194756555	0.019662921348314606	0.046348314606741575	48.02153558052434	0.044258276793779784	0.0	0.09784644194756555	0.019662921348314606	0.046348314606741575	48.02153558052434	0.044258276793779784	3248210679	150.0	0.0	0.09784644194756555	0.019662921348314606	0.046348314606741575	48.02153558052434	0.044258276793779784	6	COMPLETE
7	0.0997191011235955	2020-03-07 00:21:39.090271	2020-03-07 00:22:11.130443	64	2	0.00821184757992771	0.02290710823188351	256	0.0023809799778350426	1.0005341891063315	0.0	0.0997191011235955	0.024812734082397005	0.0449438202247191	48.27200374531835	0.04626666540553657	0.0	0.0997191011235955	0.024812734082397005	0.0449438202247191	48.27200374531835	0.04626666540553657	1428080416	200.0	0.0	0.0997191011235955	0.024812734082397005	0.0449438202247191	48.27200374531835	0.04626666540553657	7	COMPLETE
8	0.0800561797752809	2020-03-07 00:22:11.142355	2020-03-07 00:22:56.990544	256	1	0.01203832591609418	0.014188064495871915	128	0.004471431041561457	1.033399031490562	0.0	0.0800561797752809	0.0149812734082397	0.03604868913857678	49.79962546816479	0.04043920742810335	0.0	0.0800561797752809	0.0149812734082397	0.03604868913857678	49.79962546816479	0.04043920742810335	2826228032	200.0	0.0	0.0800561797752809	0.0149812734082397	0.03604868913857678	49.79962546816479	0.04043920742810335	8	COMPLETE
9	0.10486891385767791	2020-03-07 00:22:57.002426	2020-03-07 00:23:21.935665	128	2	0.014680428736608533	0.036907541453972695	512	0.00828657218751232	1.0184655689010014	0.0	0.10486891385767791	0.024344569288389514	0.046348314606741575	49.12921348314607	0.04548109640114113	0.0	0.10486891385767791	0.024344569288389514	0.046348314606741575	49.12921348314607	0.04548109640114113	3146957332	200.0	0.0	0.10486891385767791	0.024344569288389514	0.046348314606741575	49.12921348314607	0.04548109640114113	9	COMPLETE
