number	value	datetime_start	datetime_complete	params_model.dropout_0	params_model.dropout_1	params_model.dropout_2	params_model.embedding_dim	params_model.relation_dim	params_optimizer.lr	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.010327513408650006	2020-03-20 11:13:08.418832	2020-03-20 12:45:52.394438	0.40612043452195523	0.10364351768326925	0.19399067837349518	256	64	0.028220407215817714	512	0.0026717647583527006	0.9824946213184952	0.009899577770170033	0.010327513408650006	0.009899577770170033	0.009899577770170033	7019.101106926852	0.010434310492218156	0.009899577770170033	0.010327513408650006	0.009899577770170033	0.009899577770170033	7019.100736049299	0.010434310510292116	1597970628	150	0.009899577770170033	0.010327513408650006	0.009899577770170033	0.009899577770170033	7019.101477804405	0.010434310474152242	0	COMPLETE
1	0.0006561679790026247	2020-03-20 12:45:52.443201	2020-03-20 14:47:51.172305	0.36542886266942154	0.4315303077941412	0.22496950629089973	256	128	0.03012865484404833	128	0.04268059425937861	1.0210685459086548	8.558712769599452e-05	0.0006561679790026247	0.00028529042565331506	0.0003708775533493096	7297.028828597512	0.0007139362151770243	8.558712769599452e-05	0.0006561679790026247	0.00028529042565331506	0.0003708775533493096	7297.028443455438	0.0007139373010293442	1238508710	150	8.558712769599452e-05	0.0006561679790026247	0.00028529042565331506	0.0003708775533493096	7297.029213739587	0.00071393513836877	1	COMPLETE
2	0.2868595229944083	2020-03-20 14:47:51.210929	2020-03-20 15:41:43.852064	0.4777896356272066	0.4755988576447051	0.127686336307984	64	256	0.004013820056888576	256	0.017000038310636477	0.1983291189071605	0.13180417665183156	0.2868595229944083	0.1995606527444939	0.234423142759329	1401.5426223895927	0.18462320539296453	0.13180417665183156	0.2868595229944083	0.1995606527444939	0.234423142759329	1401.5424512153372	0.18462320565762633	3366240210	200	0.13180417665183156	0.2868595229944083	0.1995606527444939	0.234423142759329	1401.542793563848	0.18462320512931849	2	COMPLETE
3	0.2932500285290426	2020-03-20 15:41:44.768521	2020-03-20 16:38:29.366679	0.4215468939957133	0.4304205047499254	0.40870734891790295	64	256	0.002924736732789132	128	0.0025800511313442743	0.1730502863196042	0.12019285632774164	0.2932500285290426	0.1917722241241584	0.23445167180189433	1219.525476435011	0.1775872212651821	0.12019285632774164	0.2932500285290426	0.1917722241241584	0.23445167180189433	1219.5251911445853	0.17758722229160923	696559119	200	0.12019285632774164	0.2932500285290426	0.1917722241241584	0.23445167180189433	1219.5257617254365	0.17758722024535006	3	COMPLETE
4	0.0005420518087412986	2020-03-20 16:38:29.429045	2020-03-20 17:24:13.852560	0.4295600419547356	0.27777257880956635	0.18481907004116227	128	64	0.0519278929565653	512	0.0029725424708680406	0.9879273573876891	2.8529042565331506e-05	0.0005420518087412986	0.00019970329795732054	0.0002567613830879836	7056.212912244665	0.0006802753288403921	2.8529042565331506e-05	0.0005420518087412986	0.00019970329795732054	0.0002567613830879836	7056.212427250942	0.0006802753642708689	4192650691	150	2.8529042565331506e-05	0.0005420518087412986	0.00019970329795732054	0.0002567613830879836	7056.213397238389	0.0006802752934300284	4	COMPLETE
5	0.00048499372361063563	2020-03-20 17:24:13.888835	2020-03-20 20:29:12.014446	0.45451524379469843	0.325615494395769	0.19977409337834418	256	256	0.035665763628216204	256	0.4099815337990704	1.0126723214777187	0.00014264521282665753	0.00048499372361063563	0.00022823234052265205	0.00028529042565331506	7233.161132032409	0.000630213433382205	0.00014264521282665753	0.00048499372361063563	0.00022823234052265205	0.00028529042565331506	7233.160647038685	0.0006302134447716853	4252690320	150	0.00014264521282665753	0.00048499372361063563	0.00022823234052265205	0.00028529042565331506	7233.161617026132	0.0006302134219952358	5	COMPLETE
6	0.0009129293620906082	2020-03-20 20:29:12.065432	2020-03-20 20:58:51.390332	0.20916283943094835	0.19166793067175336	0.21984908087586175	64	64	0.07172912610339927	256	0.039880301424875246	1.045428751031367	0.00022823234052265205	0.0009129293620906082	0.0003708775533493096	0.0005135227661759672	7471.548855985393	0.000756870296775403	0.00022823234052265205	0.0009129293620906082	0.0003708775533493096	0.0005135227661759672	7471.548470843319	0.0007568703077321696	3950965785	150	0.00022823234052265205	0.0009129293620906082	0.0003708775533493096	0.0005135227661759672	7471.549241127468	0.000756870285822057	6	COMPLETE
7	0.07902544790596827	2020-03-20 20:58:51.427529	2020-03-20 22:06:43.405406	0.3960059795913954	0.4914129550227301	0.2649315498971374	128	64	0.006949199132794613	256	0.0025306960957896395	0.8305970341627796	0.05488987789569782	0.07902544790596827	0.06427593289969188	0.07020997375328084	5941.227547643501	0.0630132182744342	0.05488987789569782	0.07902544790596827	0.06427593289969188	0.07020997375328084	5941.226920004565	0.06301321839755035	2928182451	200	0.05488987789569782	0.07902544790596827	0.06427593289969188	0.07020997375328084	5941.228175282437	0.06301321815156817	7	COMPLETE
8	0.4032865457035262	2020-03-20 22:06:43.444337	2020-03-21 00:26:16.453245	0.19425196482871906	0.27078785501637065	0.3757014014214603	256	64	0.0029222797254608687	256	0.009709084555665609	0.10358701679738966	0.1684354673057172	0.4032865457035262	0.27142531096656397	0.32771311194796304	718.5514949218305	0.24637062093644183	0.1684354673057172	0.4032865457035262	0.27142531096656397	0.32771311194796304	718.5514093347027	0.24637062269441687	2362274427	200	0.1684354673057172	0.4032865457035262	0.27142531096656397	0.32771311194796304	718.5515805089581	0.24637061919771422	8	COMPLETE
9	0.007417551066986192	2020-03-21 00:26:16.520454	2020-03-21 03:40:26.059621	0.22641305454645	0.3935275675875753	0.3299264951544233	256	128	0.018856620301695503	512	0.3136314891800361	1.1034600610237724	0.007132260641332877	0.007417551066986192	0.007274905854159535	0.007331963939290197	7894.273836015063	0.007553407850349307	0.007132260641332877	0.007417551066986192	0.007274905854159535	0.007331963939290197	7894.273564989159	0.007553407866011725	6779206	200	0.007132260641332877	0.007417551066986192	0.007274905854159535	0.007331963939290197	7894.2741070409675	0.007553407834692391	9	COMPLETE
