number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.010184868195823349	2020-03-26 18:17:30.663970	2020-03-26 18:44:41.371173	0.5258933274989764	24.479460968174955	256	2	5	0.04887101842487731	128	0.625665749466578	0.005135227661759671	0.010184868195823349	0.00661873787515691	0.007845486705466165	4450.475935752596	0.007930264737113616	0.005135227661759671	0.010184868195823349	0.00661873787515691	0.007845486705466165	4450.4698162729655	0.007930272582803627	1986810914	200	0.005135227661759671	0.010184868195823349	0.00661873787515691	0.007845486705466165	4450.482055232226	0.0079302569718896	0	COMPLETE
1	0.020512381604473353	2020-03-26 18:44:41.468272	2020-03-26 19:04:48.469076	0.6338967542346207	27.396154419874218	128	1	90	0.01227667079291283	256	0.46541459106994876	0.005135227661759671	0.020512381604473353	0.008644299897295447	0.01192513979230857	3296.8295532351935	0.01316383840964041	0.005135227661759671	0.020512381604473353	0.008644299897295447	0.01192513979230857	3296.8285404541825	0.013164021247236257	3628490623	250	0.005135227661759671	0.020512381604473353	0.008644299897295447	0.01192513979230857	3296.8305660162046	0.013163664071940258	1	COMPLETE
2	0.009129293620906082	2020-03-26 19:04:48.558631	2020-03-26 19:11:52.561798	0.605162190344633	19.329301243314603	256	2	20	0.050346675809331325	512	0.6250149148760737	0.005135227661759671	0.009129293620906082	0.006019627981284948	0.006961086385940888	4441.865813648294	0.00756822949130912	0.005135227661759671	0.009129293620906082	0.006019627981284948	0.006961086385940888	4441.859408878238	0.007568232186890646	594206519	150	0.005135227661759671	0.009129293620906082	0.006019627981284948	0.006961086385940888	4441.87221841835	0.007568226803528878	2	COMPLETE
3	0.05822777587584161	2020-03-26 19:11:52.650646	2020-03-26 19:27:04.834579	0.720363576349263	4.0021900306730505	128	2	44	0.003353797834524852	256	0.6247482892098986	0.005135227661759671	0.05822777587584161	0.011554262238959261	0.022167066073262583	4437.457049526418	0.019600915903643597	0.005135227661759671	0.05822777587584161	0.011554262238959261	0.022167066073262583	4437.453897067215	0.019600920002901354	356054970	200	0.005135227661759671	0.05822777587584161	0.011554262238959261	0.022167066073262583	4437.460201985621	0.019600911863322214	3	COMPLETE
4	0.007446080109551523	2020-03-26 19:27:04.939102	2020-03-26 19:37:19.265174	0.6926440456268115	27.503669281960114	128	2	12	0.056884881698647055	256	0.7627299647496311	0.005135227661759671	0.007446080109551523	0.005620221385370307	0.006105215108980943	5433.1501198219785	0.006615784787007549	0.005135227661759671	0.007446080109551523	0.005620221385370307	0.006105215108980943	5433.145640762296	0.006615785821384741	4008883420	150	0.005135227661759671	0.007446080109551523	0.005620221385370307	0.006105215108980943	5433.1545988816615	0.006615783756885146	4	COMPLETE
5	0.006276389364372931	2020-03-26 19:37:19.365668	2020-03-26 19:48:02.708635	0.7734449194825641	29.66759071077579	256	2	21	0.018413360891856374	256	0.9221463705032672	0.005135227661759671	0.006276389364372931	0.005477576172543649	0.0056487504279356384	6580.1988759557225	0.005994176214297161	0.005135227661759671	0.006276389364372931	0.005477576172543649	0.0056487504279356384	6580.191943398379	0.005994177161292278	2736515903	150	0.005135227661759671	0.006276389364372931	0.005477576172543649	0.0056487504279356384	6580.205808513067	0.005994175268828617	5	COMPLETE
6	0.009756932557343376	2020-03-26 19:48:02.799723	2020-03-26 20:14:51.904732	0.8901496934587312	10.243736072240932	64	1	27	0.007669997767187602	128	0.5370994485705953	0.005135227661759671	0.009756932557343376	0.006076686066415611	0.006647266917722241	3811.154613146183	0.009237710852787915	0.005135227661759671	0.009756932557343376	0.006076686066415611	0.006647266917722241	3811.1536003651718	0.009237711756077486	2399014823	200	0.005135227661759671	0.009756932557343376	0.006076686066415611	0.006647266917722241	3811.155625927194	0.009237709953619179	6	COMPLETE
7	0.015377153942713682	2020-03-26 20:14:51.981887	2020-03-26 20:43:21.395748	0.2923272717255191	3.8802872198758065	256	2	15	0.009578048374168683	128	0.473927319734958	0.005135227661759671	0.015377153942713682	0.0068754992582448935	0.009300467876298072	3356.967248659135	0.012420199565420589	0.005135227661759671	0.015377153942713682	0.0068754992582448935	0.009300467876298072	3356.9661074974324	0.012420259812418713	3702659320	200	0.005135227661759671	0.015377153942713682	0.0068754992582448935	0.009300467876298072	3356.9683898208377	0.012420141144634843	7	COMPLETE
8	0.03577541937692571	2020-03-26 20:43:21.495636	2020-03-26 21:01:53.254320	0.9055850173315886	12.277309650009459	128	1	3	0.0014944511136774645	256	0.6313992832727255	0.005135227661759671	0.03577541937692571	0.009956635855300697	0.015776560538628324	4486.958048042908	0.016205745399707597	0.005135227661759671	0.03577541937692571	0.009956635855300697	0.015776560538628324	4486.955580280725	0.016205746072998663	3234088533	250	0.005135227661759671	0.03577541937692571	0.009956635855300697	0.015776560538628324	4486.96051580509	0.01620574472784465	8	COMPLETE
9	0.006219331279242269	2020-03-26 21:01:53.344503	2020-03-26 21:08:08.162219	0.7206588533482101	26.639099068440956	64	2	3	0.025905874561834224	512	0.9317032258647063	0.005135227661759671	0.006219331279242269	0.005620221385370307	0.005734337555631633	6651.686209060824	0.006066537878179495	0.005135227661759671	0.006219331279242269	0.005620221385370307	0.005734337555631633	6651.682100878695	0.006066538334141151	3578220975	150	0.005135227661759671	0.006219331279242269	0.005620221385370307	0.005734337555631633	6651.690317242953	0.006066537422736626	9	COMPLETE
10	0.015462741070409677	2020-03-26 21:08:08.242310	2020-03-26 21:27:46.739314	0.7927804528875069	9.315033575663184	64	1	94	0.002052993397659233	256	0.6751946498752702	0.005135227661759671	0.015462741070409677	0.0067899121305488985	0.008473125641903457	4801.959032294876	0.010663425736585026	0.005135227661759671	0.015462741070409677	0.0067899121305488985	0.008473125641903457	4801.957691429876	0.010663437265176275	1586682443	250	0.005135227661759671	0.015462741070409677	0.0067899121305488985	0.008473125641903457	4801.960373159876	0.010663414503029144	10	COMPLETE
11	0.008729887024991442	2020-03-26 21:27:46.812794	2020-03-26 21:40:24.898068	0.6380521725132322	21.318195348099383	256	2	78	0.02398426324308949	512	0.6942349810957564	0.005135227661759671	0.008729887024991442	0.006076686066415611	0.006846970215679562	4937.434354673057	0.007238341072489804	0.005135227661759671	0.008729887024991442	0.006076686066415611	0.006846970215679562	4937.427678877097	0.007238342985953602	1792434275	200	0.005135227661759671	0.008729887024991442	0.006076686066415611	0.006846970215679562	4937.441030469017	0.007238339165521414	11	COMPLETE
12	0.014806573091407052	2020-03-26 21:40:25.087137	2020-03-26 22:07:50.058257	0.6079198892957463	9.021048026178882	64	2	53	0.013296391493302598	128	0.5134079808677556	0.005135227661759671	0.014806573091407052	0.007103731598767545	0.00890106128038343	3640.385741184526	0.011926935874892962	0.005135227661759671	0.014806573091407052	0.007103731598767545	0.00890106128038343	3640.3845714937806	0.01192699210111212	3954824701	200	0.005135227661759671	0.014806573091407052	0.007103731598767545	0.00890106128038343	3640.386910875271	0.011926882136220797	12	COMPLETE
13	0.05868424055688691	2020-03-26 22:07:50.139719	2020-03-26 23:31:35.269501	0.6918199003880157	12.892458865569562	64	1	9	0.03264603043091296	128	0.21721052649824765	0.005135227661759671	0.05868424055688691	0.01891475522081479	0.031695766290083305	1525.3311651260983	0.026180533817439147	0.005135227661759671	0.05868424055688691	0.01891475522081479	0.031695766290083305	1525.3307371904598	0.026180537992454775	2563921903	550	0.005135227661759671	0.05868424055688691	0.01891475522081479	0.031695766290083305	1525.3315930617368	0.026180529692110717	13	COMPLETE
14	0.014863631176537715	2020-03-26 23:31:35.358435	2020-03-26 23:46:47.698103	0.9566361112340029	15.628251644036474	64	2	96	0.006316446253253336	256	0.6508819367837058	0.005135227661759671	0.014863631176537715	0.007417551066986192	0.0098710487276047	4622.157822663471	0.00992776704041676	0.005135227661759671	0.014863631176537715	0.007417551066986192	0.0098710487276047	4622.155340636768	0.009927768074374312	895259835	200	0.005135227661759671	0.014863631176537715	0.007417551066986192	0.0098710487276047	4622.160304690175	0.009927766008980226	14	COMPLETE
