number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.005705808513066302	2020-03-25 18:09:30.558683	2020-03-25 18:19:08.806440	256	1	13	0.03236356335111042	256	1.0015910155108094	0.005135227661759671	0.005705808513066302	0.005220814789455666	0.005420518087412987	7157.398408079425	0.00577569624014669	0.005135227661759671	0.005705808513066302	0.005220814789455666	0.005420518087412987	7157.393215793678	0.0057756964554965965	181932594	150	0.005135227661759671	0.005705808513066302	0.005220814789455666	0.005420518087412987	7157.403600365172	0.00577569602491985	0	COMPLETE
1	0.006076686066415611	2020-03-25 18:19:08.919932	2020-03-25 18:24:41.836957	128	1	3	0.016023742133205038	512	0.9929502294340229	0.005135227661759671	0.006076686066415611	0.005391989044847655	0.005506105215108981	7095.169234280497	0.0058528181591975675	0.005135227661759671	0.006076686066415611	0.005391989044847655	0.005506105215108981	7095.166124614858	0.005852818534834549	3952328035	150	0.005135227661759671	0.006076686066415611	0.005391989044847655	0.005506105215108981	7095.1723439461375	0.005852817784083217	1	COMPLETE
2	0.005762866598196964	2020-03-25 18:24:41.922568	2020-03-25 18:30:23.469169	64	1	85	0.016013285415878677	512	0.9880312585184935	0.005135227661759671	0.005762866598196964	0.005249343832020997	0.005306401917151661	7061.069311308913	0.005770921018225319	0.005135227661759671	0.005762866598196964	0.005249343832020997	0.005306401917151661	7061.06672943056	0.005770921172179418	3915204064	150	0.005135227661759671	0.005762866598196964	0.005249343832020997	0.005306401917151661	7061.071893187264	0.005770920864406483	2	COMPLETE
3	0.005819924683327628	2020-03-25 18:30:23.556916	2020-03-25 18:39:26.962290	128	1	5	0.00936675120953429	256	1.0092893089773352	0.005135227661759671	0.005819924683327628	0.005306401917151661	0.005420518087412987	7211.519799155541	0.005763330562825834	0.005135227661759671	0.005819924683327628	0.005306401917151661	0.005420518087412987	7211.516603902773	0.005763330763310223	4154061306	150	0.005135227661759671	0.005819924683327628	0.005306401917151661	0.005420518087412987	7211.522994408308	0.005763330362479731	3	COMPLETE
4	0.0058484537258929594	2020-03-25 18:39:27.054802	2020-03-25 18:45:01.369256	64	1	71	0.010058484472642525	512	0.9957995669912145	0.005135227661759671	0.0058484537258929594	0.005192285746890335	0.005477576172543649	7112.785561451557	0.005757471026658578	0.005135227661759671	0.0058484537258929594	0.005192285746890335	0.005477576172543649	7112.7833789798015	0.005757471174195942	466333120	150	0.005135227661759671	0.0058484537258929594	0.005192285746890335	0.005477576172543649	7112.787743923314	0.005757470879271243	4	COMPLETE
5	0.0058484537258929594	2020-03-25 18:45:01.440383	2020-03-25 18:50:33.407835	128	1	5	0.00446315731453215	512	0.9959191343801738	0.005135227661759671	0.0058484537258929594	0.0053349309597169915	0.005449047129978318	7116.511140591122	0.005795999393717801	0.005135227661759671	0.0058484537258929594	0.0053349309597169915	0.005449047129978318	7116.507474609152	0.005796000425020707	3062167481	150	0.005135227661759671	0.0058484537258929594	0.0053349309597169915	0.005449047129978318	7116.514806573092	0.005795998366153205	5	COMPLETE
6	0.03520483852561908	2020-03-25 18:50:33.482703	2020-03-25 19:07:41.201329	128	2	16	0.009609631770999034	128	0.20119189694895032	0.005135227661759671	0.03520483852561908	0.011668378409220586	0.018715051922857467	1408.0477148236905	0.01850657204801431	0.005135227661759671	0.03520483852561908	0.011668378409220586	0.018715051922857467	1408.0474723268287	0.01850659418692997	1470477349	150	0.005135227661759671	0.03520483852561908	0.011668378409220586	0.018715051922857467	1408.0479573205523	0.018506550685418784	6	COMPLETE
7	0.00587698276845829	2020-03-25 19:07:41.299274	2020-03-25 19:16:48.684541	128	1	10	0.008889620462995415	256	1.0039625129233982	0.005135227661759671	0.00587698276845829	0.005277872874586329	0.005477576172543649	7172.60264749515	0.005806622182337813	0.005135227661759671	0.00587698276845829	0.005277872874586329	0.005477576172543649	7172.599224010042	0.005806622431763676	342406130	150	0.005135227661759671	0.00587698276845829	0.005277872874586329	0.005477576172543649	7172.606070980258	0.005806621933087237	7	COMPLETE
8	0.005762866598196964	2020-03-25 19:16:48.781214	2020-03-25 19:27:37.915776	256	1	80	0.02048356767327726	256	0.9918482663705294	0.005135227661759671	0.005762866598196964	0.005163756704325003	0.005277872874586329	7087.621533721328	0.005738928826844703	0.005135227661759671	0.005762866598196964	0.005163756704325003	0.005277872874586329	7087.616626726007	0.00573892916923303	3356589997	150	0.005135227661759671	0.005762866598196964	0.005163756704325003	0.005277872874586329	7087.62644071665	0.005738928484737802	8	COMPLETE
9	0.0056487504279356384	2020-03-25 19:27:38.010773	2020-03-25 19:33:11.399095	64	1	20	0.04461865073743593	512	0.9968858087685013	0.005135227661759671	0.0056487504279356384	0.005277872874586329	0.005391989044847655	7122.196579367796	0.005770412822680267	0.005135227661759671	0.0056487504279356384	0.005277872874586329	0.005391989044847655	7122.194111605614	0.005770413185832082	4019775623	150	0.005135227661759671	0.0056487504279356384	0.005277872874586329	0.005391989044847655	7122.199047129979	0.0057704124600924	9	COMPLETE
10	0.017088896496633574	2020-03-25 19:33:11.541247	2020-03-25 19:42:34.523598	128	2	19	0.030958258652921237	256	0.3942317131320315	0.005135227661759671	0.017088896496633574	0.007617254364943512	0.009928106812735364	2787.922401004222	0.011611505609428235	0.005135227661759671	0.017088896496633574	0.007617254364943512	0.009928106812735364	2787.9216021910306	0.011611507053604884	3596975639	150	0.005135227661759671	0.017088896496633574	0.007617254364943512	0.009928106812735364	2787.923199817414	0.011611504172124155	10	COMPLETE
11	0.018115942028985508	2020-03-25 19:42:34.675144	2020-03-25 19:52:02.201901	128	2	13	0.02902858191901904	256	0.3910868853591885	0.005135227661759671	0.018115942028985508	0.007874015748031496	0.010498687664041995	2767.2848054319297	0.01190825356219913	0.005135227661759671	0.018115942028985508	0.007874015748031496	0.010498687664041995	2767.2841777929934	0.011908254356897694	2408595606	150	0.005135227661759671	0.018115942028985508	0.007874015748031496	0.010498687664041995	2767.285433070866	0.011908252770428885	11	COMPLETE
12	0.005762866598196964	2020-03-25 19:52:02.274692	2020-03-25 20:09:11.453140	128	1	95	0.029013776450981868	128	0.9971778777169301	0.005135227661759671	0.005762866598196964	0.005277872874586329	0.005391989044847655	7124.789954924113	0.0057537616626105684	0.005135227661759671	0.005762866598196964	0.005277872874586329	0.005391989044847655	7124.78680246491	0.005753761900142076	2387710584	150	0.005135227661759671	0.005762866598196964	0.005277872874586329	0.005391989044847655	7124.793107383316	0.005753761425213309	12	COMPLETE
13	0.044334132146525165	2020-03-25 20:09:11.548020	2020-03-25 20:15:10.971595	128	2	22	0.00953303774335484	512	0.1463988592796252	0.005135227661759671	0.044334132146525165	0.014720985963711058	0.023736163414355815	1019.5847027273765	0.022294846548459868	0.005135227661759671	0.044334132146525165	0.014720985963711058	0.023736163414355815	1019.5843033207806	0.02229484948272695	1123726943	150	0.005135227661759671	0.044334132146525165	0.014720985963711058	0.023736163414355815	1019.5851021339723	0.022294843634035257	13	COMPLETE
14	0.01629008330480429	2020-03-25 20:15:11.049436	2020-03-25 20:21:00.882658	128	2	9	0.0460008530043304	512	0.48954740253315315	0.005135227661759671	0.01629008330480429	0.007246376811594203	0.009671345429647382	3471.685567157366	0.010498247706878235	0.005135227661759671	0.01629008330480429	0.007246376811594203	0.009671345429647382	3471.6841834988018	0.010498249746483982	2644991262	150	0.005135227661759671	0.01629008330480429	0.007246376811594203	0.009671345429647382	3471.6869508159307	0.010498245678278919	14	COMPLETE
15	0.045646468104530415	2020-03-25 20:21:00.965934	2020-03-25 20:28:56.604310	256	2	68	0.012753328878973026	512	0.1630954160008176	0.005135227661759671	0.045646468104530415	0.014435695538057743	0.024135570010270457	1138.3691087527102	0.022472268257953953	0.005135227661759671	0.045646468104530415	0.014435695538057743	0.024135570010270457	1138.3685667009015	0.0224722932445319	1339980831	150	0.005135227661759671	0.045646468104530415	0.014435695538057743	0.024135570010270457	1138.369650804519	0.022472244243812226	15	COMPLETE
16	0.023707634371790482	2020-03-25 20:28:56.713496	2020-03-25 20:46:24.327272	128	2	15	0.01572115899804351	128	0.289384709845069	0.005135227661759671	0.023707634371790482	0.008958119365514093	0.013294533835444482	2037.8427193883374	0.014418875438853469	0.005135227661759671	0.023707634371790482	0.008958119365514093	0.013294533835444482	2037.8422629236563	0.014418876148813618	3150964639	150	0.005135227661759671	0.023707634371790482	0.008958119365514093	0.013294533835444482	2037.8431758530185	0.014418874732551826	16	COMPLETE
17	0.005819924683327628	2020-03-25 20:46:24.418549	2020-03-25 20:57:14.623010	256	1	83	0.036221482852634185	256	0.9971129820651629	0.005135227661759671	0.005819924683327628	0.005306401917151661	0.005420518087412987	7124.538999201187	0.005799284519228727	0.005135227661759671	0.005819924683327628	0.005306401917151661	0.005420518087412987	7124.534320438206	0.005799284811570382	3734710556	150	0.005135227661759671	0.005819924683327628	0.005306401917151661	0.005420518087412987	7124.543677964168	0.00579928422711764	17	COMPLETE
18	0.009186351706036745	2020-03-25 20:57:14.715747	2020-03-25 21:02:51.306171	64	2	11	0.0916138353706808	512	0.8443421967037702	0.005135227661759671	0.009186351706036745	0.006133744151546274	0.007046673513636882	6010.940331507474	0.00794914896311457	0.005135227661759671	0.009186351706036745	0.006133744151546274	0.007046673513636882	6010.939233139336	0.007949150683697235	4282177202	150	0.005135227661759671	0.009186351706036745	0.006133744151546274	0.007046673513636882	6010.941429875614	0.007949147257418536	18	COMPLETE
