number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.scoring_fct_norm	params_optimizer.lr	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.0945692883895131	2020-03-08 12:17:18.887187	2020-03-08 12:17:43.516697	64	1	0.0011684420761820609	128	0.09844659580098415	0.9961726461826694	0.0	0.0945692883895131	0.017322097378277154	0.042134831460674156	48.05173220973783	0.043874885421788454	0.0	0.0945692883895131	0.017322097378277154	0.042134831460674156	48.05149812734082	0.04387492365180593	518975407	150	0.0	0.0945692883895131	0.017322097378277154	0.042134831460674156	48.05196629213483	0.043874847675695244	0	COMPLETE
1	0.0945692883895131	2020-03-08 12:17:43.535344	2020-03-08 12:17:57.797130	64	1	0.0032875958090088364	256	0.24054624963963825	1.0037464417503232	0.0	0.0945692883895131	0.01638576779026217	0.03651685393258427	48.50187265917603	0.04275292316313852	0.0	0.0945692883895131	0.01638576779026217	0.03651685393258427	48.50187265917603	0.04275292316313852	1030655080	150	0.0	0.0945692883895131	0.01638576779026217	0.03651685393258427	48.50187265917603	0.04275292316313852	1	COMPLETE
2	0.09925093632958802	2020-03-08 12:17:57.809190	2020-03-08 12:18:15.243760	64	1	0.011874876450068446	128	0.946837705553403	1.007569795509291	0.0	0.09925093632958802	0.023408239700374533	0.048220973782771535	48.63014981273408	0.0451582058668086	0.0	0.09925093632958802	0.023408239700374533	0.048220973782771535	48.63014981273408	0.0451582058668086	3933105471	150	0.0	0.09925093632958802	0.023408239700374533	0.048220973782771535	48.63014981273408	0.0451582058668086	2	COMPLETE
3	0.08426966292134831	2020-03-08 12:18:15.261919	2020-03-08 12:18:28.892214	64	1	0.09870297247901413	512	0.3930716336016837	1.0023424715006006	0.0	0.08426966292134831	0.016853932584269662	0.03651685393258427	48.40121722846442	0.041641735838281645	0.0	0.08426966292134831	0.016853932584269662	0.03651685393258427	48.40121722846442	0.041641735838281645	1450252166	150	0.0	0.08426966292134831	0.016853932584269662	0.03651685393258427	48.40121722846442	0.041641735838281645	3	COMPLETE
4	0.10627340823970037	2020-03-08 12:18:28.903921	2020-03-08 12:18:44.189409	256	2	0.007648036027955903	256	0.06878142537979157	0.9950725628753726	0.0	0.10627340823970037	0.023876404494382022	0.04962546816479401	48.00702247191011	0.04621970658913861	0.0	0.10627340823970037	0.023876404494382022	0.04962546816479401	48.00702247191011	0.04621970658913861	3701117373	150	0.0	0.10627340823970037	0.023876404494382022	0.04962546816479401	48.00702247191011	0.04621970658913861	4	COMPLETE
5	0.10580524344569288	2020-03-08 12:18:44.207195	2020-03-08 12:19:02.755717	128	1	0.002943945972496276	128	0.0032801312233002853	1.0123769363287265	0.0	0.10580524344569288	0.025280898876404494	0.047752808988764044	48.83941947565543	0.04593576208646339	0.0	0.10580524344569288	0.025280898876404494	0.047752808988764044	48.83941947565543	0.04593576208646339	2513187081	150	0.0	0.10580524344569288	0.025280898876404494	0.047752808988764044	48.83941947565543	0.04593576208646339	5	COMPLETE
6	0.09925093632958802	2020-03-08 12:19:02.767542	2020-03-08 12:19:21.444664	256	2	0.004630090584008716	128	0.014627880790366882	1.0148512643085241	0.0	0.09925093632958802	0.03277153558052434	0.05383895131086142	48.95880149812734	0.04793760651550653	0.0	0.09925093632958802	0.03277153558052434	0.05383895131086142	48.95880149812734	0.04793760651550653	195619061	150	0.0	0.09925093632958802	0.03277153558052434	0.05383895131086142	48.95880149812734	0.04793760651550653	6	COMPLETE
7	0.09878277153558053	2020-03-08 12:19:21.456566	2020-03-08 12:19:38.241443	256	2	0.01891062389950787	512	0.0030538298951663253	1.0372946638184903	0.0	0.09878277153558053	0.023408239700374533	0.04541198501872659	50.06132958801498	0.043598494002767836	0.0	0.09878277153558053	0.023408239700374533	0.04541198501872659	50.06132958801498	0.043598494002767836	250537899	150	0.0	0.09878277153558053	0.023408239700374533	0.04541198501872659	50.06132958801498	0.043598494002767836	7	COMPLETE
8	0.09550561797752809	2020-03-08 12:19:38.253536	2020-03-08 12:19:53.724891	128	2	0.0038096421896572498	256	0.1859384527984796	1.0049457224731226	0.0	0.09550561797752809	0.018258426966292134	0.0351123595505618	48.52247191011236	0.04256098288046773	0.0	0.09550561797752809	0.018258426966292134	0.0351123595505618	48.52247191011236	0.04256098288046773	600817157	150	0.0	0.09550561797752809	0.018258426966292134	0.0351123595505618	48.52247191011236	0.04256098288046773	8	COMPLETE
9	0.08801498127340825	2020-03-08 12:19:53.736825	2020-03-08 12:20:09.690401	64	2	0.07927404010241344	256	0.0018288761402818965	1.0281100291078595	0.0	0.08801498127340825	0.019662921348314606	0.039794007490636704	49.62125468164794	0.04204729729190028	0.0	0.08801498127340825	0.019662921348314606	0.039794007490636704	49.62125468164794	0.04204729729190028	3634110027	150	0.0	0.08801498127340825	0.019662921348314606	0.039794007490636704	49.62125468164794	0.04204729729190028	9	COMPLETE
10	0.09035580524344569	2020-03-08 12:20:09.702494	2020-03-08 12:20:28.306999	64	1	0.08411917890306415	128	0.03203213606515233	1.0028303856420773	0.0	0.09035580524344569	0.021067415730337078	0.03885767790262172	48.36540262172284	0.043458257156774295	0.0	0.09035580524344569	0.021067415730337078	0.03885767790262172	48.36516853932584	0.04345832383741722	3612469498	150	0.0	0.09035580524344569	0.021067415730337078	0.03885767790262172	48.36563670411985	0.043458191587475416	10	COMPLETE
11	0.08052434456928839	2020-03-08 12:20:28.317818	2020-03-08 12:20:41.987888	64	1	0.030441317613264348	512	0.07356994999538803	1.0291094099457483	0.0	0.08052434456928839	0.020131086142322098	0.03464419475655431	49.72940074906367	0.04192797173215748	0.0	0.08052434456928839	0.020131086142322098	0.03464419475655431	49.72940074906367	0.04192797173215748	241230450	150	0.0	0.08052434456928839	0.020131086142322098	0.03464419475655431	49.72940074906367	0.04192797173215748	11	COMPLETE
