number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.scoring_fct_norm	params_optimizer.lr	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
0	0.0008852691218130312	2020-05-05 15:54:32.753028	2020-05-05 17:15:11.661262	128	1	0.008008640683284838	128	0.011768630350156769	0.9890947949230064	0.000708215297450425	0.0008852691218130312	0.000708215297450425	0.0008852691218130312	20052.311260623228	0.0010101738252694904	0.000708215297450425	0.0008852691218130312	0.000708215297450425	0.0008852691218130312	20052.300991501415	0.0010101773557309416		2265446649.0	150.0	0.000708215297450425	0.0008852691218130312	0.000708215297450425	0.0008852691218130312	20052.321529745044	0.0010101703162373314	0		COMPLETE
1	0.0010623229461756375	2020-05-05 17:15:11.710701	2020-05-05 18:35:55.566984	128	1	0.005050553566624761	256	0.13010528379942699	0.980506731017833	0.000708215297450425	0.0010623229461756375	0.000708215297450425	0.0008852691218130312	19878.206444759206	0.0010117752962655261	0.000708215297450425	0.0010623229461756375	0.000708215297450425	0.0008852691218130312	19878.19723796034	0.001011775634040392		2926360830.0	150.0	0.000708215297450425	0.0010623229461756375	0.000708215297450425	0.0008852691218130312	19878.215651558072	0.0010117749588389813	1		COMPLETE
2	0.000708215297450425	2020-05-05 18:35:55.620701	2020-05-05 19:26:47.520377	64	1	0.0037962398618561315	128	0.0016772971260159222	0.9971124830625645	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20214.349769830027	0.000877000074501077	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20214.343130311616	0.000877000141638252		1172720851.0	150.0	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20214.356409348442	0.0008770000073862845	2		COMPLETE
3	0.000708215297450425	2020-05-05 19:26:47.561186	2020-05-05 20:18:08.149179	64	1	0.0016825177870422757	256	0.011204662321278092	0.9822074548656226	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	19912.776026912183	0.0008890727907500749	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	19912.768767705384	0.0008890729283510679		1711274843.0	150.0	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	19912.78328611898	0.0008890726532487244	3		COMPLETE
4	0.442457507082153	2020-05-05 20:18:08.184653	2020-05-05 22:25:20.769932	64	2	0.0010550365386847863	512	0.0010669782309587672	0.14995890599424141	0.000708215297450425	0.442457507082153	0.27390226628895187	0.3631373937677054	3038.9753895184135	0.1593973695289116	0.000708215297450425	0.442457507082153	0.27390226628895187	0.3631373937677054	3038.974150141643	0.1593973702463513		3715073779.0	300.0	0.000708215297450425	0.442457507082153	0.27390226628895187	0.3631373937677054	3038.976628895184	0.15939736881320313	4		COMPLETE
5	0.000708215297450425	2020-05-05 22:25:20.823850	2020-05-05 23:46:30.576944	128	1	0.0266928276570262	512	0.003958037645653355	0.9924555287227983	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20120.22689447592	0.0009269857037585319	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20120.21795325779	0.0009269858627807972		219785906.0	150.0	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20120.23583569405	0.0009269855448055794	5		COMPLETE
6	0.3939447592067989	2020-05-05 23:46:30.618297	2020-05-06 02:58:49.417685	128	2	0.052661774962270265	512	0.020301706249591437	0.35158466807356376	0.000708215297450425	0.3939447592067989	0.2268059490084986	0.30789660056657225	7125.403240084986	0.13897215654004122	0.000708215297450425	0.3939447592067989	0.2268059490084986	0.30789660056657225	7125.400318696884	0.1389721572487486		1246701818.0	300.0	0.000708215297450425	0.3939447592067989	0.2268059490084986	0.30789660056657225	7125.406161473088	0.13897215583325762	6		COMPLETE
7	0.44157223796033995	2020-05-06 02:58:49.454979	2020-05-06 04:14:44.086836	64	2	0.0037563284263231454	512	0.004446151929752386	0.12512870252138172	0.000708215297450425	0.44157223796033995	0.2756728045325779	0.3654390934844193	2535.673424220963	0.1593812436948167	0.000708215297450425	0.44157223796033995	0.2756728045325779	0.3654390934844193	2535.6726274787534	0.1593812439785191		1205627708.0	200.0	0.000708215297450425	0.44157223796033995	0.2756728045325779	0.3654390934844193	2535.674220963173	0.1593812434116072	7		COMPLETE
8	0.00141643059490085	2020-05-06 04:14:44.129804	2020-05-06 05:06:35.856523	64	1	0.047089830217987814	256	0.04066219824990153	1.0020729133238628	0.000708215297450425	0.00141643059490085	0.0010623229461756375	0.0010623229461756375	20315.291253541076	0.0011408723105765873	0.000708215297450425	0.00141643059490085	0.0010623229461756375	0.0010623229461756375	20315.283994334277	0.0011408725257801861		322821075.0	150.0	0.000708215297450425	0.00141643059490085	0.0010623229461756375	0.0010623229461756375	20315.298512747875	0.001140872095547641	8		COMPLETE
9	0.10393059490084985	2020-05-06 05:06:35.894443	2020-05-06 07:19:34.442717	256	2	0.04118061796949609	128	0.002959427092890259	1.0349919142245714	0.000708215297450425	0.10393059490084985	0.05258498583569405	0.07524787535410765	20982.54178470255	0.03604079747437788	0.000708215297450425	0.10393059490084985	0.05258498583569405	0.07524787535410765	20982.535941926344	0.036040797793359		3260594306.0	150.0	0.000708215297450425	0.10393059490084985	0.05258498583569405	0.07524787535410765	20982.547627478754	0.03604079715575471	9		COMPLETE
10	0.000708215297450425	2020-05-06 07:19:34.479500	2020-05-06 08:11:07.890364	64	1	0.02088889023179728	256	0.8859817509160072	0.988334089171215	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20037.107029036826	0.0009123790186186272	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20037.10021246459	0.0009123790708306678		3056210012.0	150.0	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20037.113845609067	0.0009123789664173506	10		COMPLETE
11	0.4447592067988669	2020-05-06 08:11:07.930742	2020-05-06 09:28:19.087217	64	2	0.0034191249668582744	512	0.0328745449775833	0.1297122505105033	0.000708215297450425	0.4447592067988669	0.27407932011331443	0.3634915014164306	2628.662535410765	0.15927777292023423	0.000708215297450425	0.4447592067988669	0.27407932011331443	0.3634915014164306	2628.6612960339944	0.15927777293202133		3426985909.0	200.0	0.000708215297450425	0.4447592067988669	0.27407932011331443	0.3634915014164306	2628.663774787535	0.1592777729084489	11		COMPLETE
12	0.0010623229461756375	2020-05-06 09:28:19.140722	2020-05-06 10:50:13.110754	128	1	0.02980210861030595	512	0.005959431263050101	0.991882890274664	0.000708215297450425	0.0010623229461756375	0.0008852691218130312	0.0008852691218130312	20108.43103753541	0.0010376687743131972	0.000708215297450425	0.0010623229461756375	0.0008852691218130312	0.0008852691218130312	20108.42209631728	0.0010376688874299512		2868114268.0	150.0	0.000708215297450425	0.0010623229461756375	0.0008852691218130312	0.0008852691218130312	20108.43997875354	0.0010376686612499717	12		COMPLETE
13	0.000708215297450425	2020-05-06 10:50:13.150522	2020-05-06 12:11:23.866548	128	1	0.004452152813991384	512	0.026138471414857704	1.0095381677686164	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20466.658197592067	0.0009000938432578334	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20466.649256373938	0.0009000938921857276		2123877234.0	150.0	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20466.667138810197	0.0009000937943372658	13		COMPLETE
14	0.4256373937677054	2020-05-06 12:11:23.909891	2020-05-06 14:45:08.188314	128	2	0.028414912900337902	512	0.002797448139894867	0.1168164976454211	0.000708215297450425	0.4256373937677054	0.2584985835694051	0.34171388101983	2367.007347733711	0.15303030387269323	0.000708215297450425	0.4256373937677054	0.2584985835694051	0.34171388101983	2367.0065509915016	0.15303030387518535		566296530.0	250.0	0.000708215297450425	0.4256373937677054	0.2584985835694051	0.34171388101983	2367.0081444759207	0.15303030387020128	14		COMPLETE
15		2020-05-06 14:45:08.228734	2020-05-06 14:45:28.567782	256	2	0.003528902751749043	256	0.06773521143125487														CUDA out of memory. Tried to allocate 9.29 GiB (GPU 0; 31.75 GiB total capacity; 18.76 GiB already allocated; 2.95 GiB free; 9.25 GiB cached; 0 bytes inactive)									15	Setting status of trial#15 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
16	0.3335694050991501	2020-05-06 14:45:28.575776	2020-05-06 17:19:27.209068	128	2	0.09668241826894744	512	0.5657805136003488	0.6926884743740666	0.000708215297450425	0.3335694050991501	0.21972379603399433	0.2788597733711048	14041.475743626062	0.12280430553220714	0.000708215297450425	0.3335694050991501	0.21972379603399433	0.2788597733711048	14041.47078611898	0.12280430594941939		3370568839.0	250.0	0.000708215297450425	0.3335694050991501	0.21972379603399433	0.2788597733711048	14041.480701133145	0.12280430511536926	16		COMPLETE
