number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.3204674220963173	2020-04-02 12:28:29.467548	2020-04-02 12:36:00.753862	64	1	52	0.002149251026135892	512	0.06585724756099699	0.000708215297450425	0.3204674220963173	0.14677762039660056	0.22114022662889518	1334.5955205382436	0.10675587306268404	0.000708215297450425	0.3204674220963173	0.14677762039660056	0.22114022662889518	1334.594723796034	0.10675587306774072	4082396312	200	0.000708215297450425	0.3204674220963173	0.14677762039660056	0.22114022662889518	1334.5963172804531	0.10675587305762835	0	COMPLETE
1	0.009383852691218131	2020-04-02 12:36:00.810386	2020-04-02 12:43:32.489937	128	1	89	0.022301515963250973	256	0.8098164592066978	0.000708215297450425	0.009383852691218131	0.006728045325779037	0.007613314447592068	16414.908905807366	0.004804762540370855	0.000708215297450425	0.009383852691218131	0.006728045325779037	0.007613314447592068	16414.905630311616	0.004804762672976354	282137565	150	0.000708215297450425	0.009383852691218131	0.006728045325779037	0.007613314447592068	16414.912181303116	0.004804762407850362	1	COMPLETE
2	0.010623229461756374	2020-04-02 12:43:32.527712	2020-04-02 12:48:45.889037	128	1	56	0.03221449722765232	512	0.8243472627338398	0.000708215297450425	0.010623229461756374	0.007436260623229462	0.009029745042492918	16709.485924220964	0.0050949965190509785	0.000708215297450425	0.010623229461756374	0.007436260623229462	0.009029745042492918	16709.482294617563	0.0050949966419925235	115304195	150	0.000708215297450425	0.010623229461756374	0.007436260623229462	0.009029745042492918	16709.48955382436	0.005094996396153362	2	COMPLETE
3	0.012039660056657223	2020-04-02 12:48:45.922381	2020-04-02 12:56:05.967298	128	1	8	0.0036362790899345104	256	0.8068669075585657	0.000708215297450425	0.012039660056657223	0.008852691218130312	0.009560906515580737	16355.061172096317	0.006015794362510515	0.000708215297450425	0.012039660056657223	0.008852691218130312	0.009560906515580737	16355.05683427762	0.006015794568685525	3930124982	150	0.000708215297450425	0.012039660056657223	0.008852691218130312	0.009560906515580737	16355.065509915014	0.00601579415651197	3	COMPLETE
4	0.4019121813031161	2020-04-02 12:56:06.008589	2020-04-02 13:06:45.435259	128	2	94	0.00174193769066852	512	0.0620915357971153	0.000708215297450425	0.4019121813031161	0.2044971671388102	0.29992917847025496	1258.2569936260622	0.13647612689973776	0.000708215297450425	0.4019121813031161	0.2044971671388102	0.29992917847025496	1258.2567280453259	0.13647612690511673	409596861	250	0.000708215297450425	0.4019121813031161	0.2044971671388102	0.29992917847025496	1258.2572592067988	0.13647612689435967	4	COMPLETE
5	0.3822592067988669	2020-04-02 13:06:45.487146	2020-04-02 13:36:46.670690	128	2	54	0.002028023768846823	128	0.062149050993098906	0.000708215297450425	0.3822592067988669	0.1899787535410765	0.27425637393767704	1259.402797450425	0.12949328337547278	0.000708215297450425	0.3822592067988669	0.1899787535410765	0.27425637393767704	1259.4020892351275	0.1294932833875791	183842746	300	0.000708215297450425	0.3822592067988669	0.1899787535410765	0.27425637393767704	1259.4035056657224	0.12949328336336838	5	COMPLETE
6	0.1329674220963173	2020-04-02 13:36:46.707837	2020-04-02 13:44:07.496886	64	2	16	0.022238038839715604	256	0.12575846635424617	0.000708215297450425	0.1329674220963173	0.05771954674220963	0.08834985835694051	2548.8385269121814	0.04794972998460695	0.000708215297450425	0.1329674220963173	0.05771954674220963	0.08834985835694051	2548.8376416430597	0.047949730356200336	3356714161	150	0.000708215297450425	0.1329674220963173	0.05771954674220963	0.08834985835694051	2548.839412181303	0.04794972961348567	6	COMPLETE
7	0.009915014164305949	2020-04-02 13:44:07.531659	2020-04-02 13:57:00.407444	256	1	96	0.0018253757145995976	128	0.7958135430185085	0.000708215297450425	0.009915014164305949	0.006905099150141643	0.008144475920679886	16130.90625	0.005303793338105781	0.000708215297450425	0.009915014164305949	0.006905099150141643	0.008144475920679886	16130.9026203966	0.005303793627880106	2384858061	150	0.000708215297450425	0.009915014164305949	0.006905099150141643	0.008144475920679886	16130.9098796034	0.005303793048660724	7	COMPLETE
8	0.37942634560906513	2020-04-02 13:57:00.720305	2020-04-02 14:07:12.185547	64	2	94	0.006294999212914696	512	0.06077404521480538	0.000708215297450425	0.37942634560906513	0.19475920679886685	0.27708923512747874	1231.5393059490084	0.12971034398222672	0.000708215297450425	0.37942634560906513	0.19475920679886685	0.27708923512747874	1231.538597733711	0.12971034827594788	2172768928	250	0.000708215297450425	0.37942634560906513	0.19475920679886685	0.27708923512747874	1231.540014164306	0.12971033971734075	8	COMPLETE
9	0.008144475920679886	2020-04-02 14:07:12.239571	2020-04-02 14:14:39.725289	128	1	38	0.04525615150483605	256	0.8184050443694875	0.000708215297450425	0.008144475920679886	0.006196883852691218	0.007082152974504249	16588.997875354107	0.0042626089526631	0.000708215297450425	0.008144475920679886	0.006196883852691218	0.007082152974504249	16588.995396600567	0.0042626090057980934	4094576261	150	0.000708215297450425	0.008144475920679886	0.006196883852691218	0.007082152974504249	16589.000354107648	0.004262608899542586	9	COMPLETE
10	0.36508498583569404	2020-04-02 14:14:39.772022	2020-04-02 14:37:34.666673	256	2	83	0.006562991784299593	512	0.06251988447597757	0.000708215297450425	0.36508498583569404	0.17492917847025496	0.2584985835694051	1266.9219192634562	0.12253393649107817	0.000708215297450425	0.36508498583569404	0.17492917847025496	0.2584985835694051	1266.9215651558075	0.12253393650149301	237401005	450	0.000708215297450425	0.36508498583569404	0.17492917847025496	0.2584985835694051	1266.922273371105	0.12253393648066561	10	COMPLETE
11	0.0910056657223796	2020-04-02 14:37:34.712228	2020-04-02 14:49:49.874061	128	2	73	0.017603849237806907	128	0.20498475810522995	0.000708215297450425	0.0910056657223796	0.039837110481586405	0.05807365439093484	4154.79629957507	0.03346259986620081	0.000708215297450425	0.0910056657223796	0.039837110481586405	0.05807365439093484	4154.794617563739	0.03346260006478068	1210719937	150	0.000708215297450425	0.0910056657223796	0.039837110481586405	0.05807365439093484	4154.797981586402	0.033462599667808506	11	COMPLETE
12	0.042492917847025496	2020-04-02 14:49:49.922197	2020-04-02 14:57:30.120296	128	2	8	0.055590700514547814	512	0.7561891764751213	0.000708215297450425	0.042492917847025496	0.03434844192634561	0.03877478753541076	15328.419440509915	0.018907057347673152	0.000708215297450425	0.042492917847025496	0.03434844192634561	0.03877478753541076	15328.417138810199	0.018907057911712197	2954262856	200	0.000708215297450425	0.042492917847025496	0.03434844192634561	0.03877478753541076	15328.421742209632	0.0189070567847786	12	COMPLETE
13	0.0881728045325779	2020-04-02 14:57:30.160610	2020-04-02 15:23:04.357726	64	2	1	0.01245988631641007	128	0.15718008613231582	0.000708215297450425	0.0881728045325779	0.04638810198300283	0.06515580736543909	3185.972645184136	0.03467076883877346	0.000708215297450425	0.0881728045325779	0.04638810198300283	0.06515580736543909	3185.971317280453	0.034670796469189864	516082559	300	0.000708215297450425	0.0881728045325779	0.04638810198300283	0.06515580736543909	3185.9739730878186	0.03467074158891299	13	COMPLETE
14	0.04337818696883853	2020-04-02 15:23:04.405694	2020-04-02 15:31:31.307009	256	2	61	0.07845170803015229	512	0.827714030750784	0.000708215297450425	0.04337818696883853	0.032577903682719546	0.03877478753541076	16778.253009915014	0.018055781725183	0.000708215297450425	0.04337818696883853	0.032577903682719546	0.03877478753541076	16778.249645892352	0.018055781940599622	1981510276	200	0.000708215297450425	0.04337818696883853	0.032577903682719546	0.03877478753541076	16778.25637393768	0.018055781509904344	14	COMPLETE
