model	loss	training_approach	inverse_relations	hits@10 (%)
ComplEx	CEL	LCWA	True	0.4483804677561405
ConvE	BCEL	LCWA	True	0.492122516880321
ConvKB	SPL	sLCWA	False	0.3226098444074762
DistMult	CEL	LCWA	True	0.4738721988452882
ERMLP	BCEL	LCWA	True	0.4509981407182699
HolE	CEL	LCWA	True	0.4222526666014287
KG2E	SPL	LCWA	True	0.4550102749779822
MuRE	BCEL	LCWA	True	0.4719884528818867
NTN	SPL	sLCWA	False	0.2034200998140718
ProjE	BCEL	LCWA	True	0.4161610725119875
QuatE	CEL	LCWA	True	0.4616645464331148
RESCAL	CEL	LCWA	True	0.4646002544280262
RotatE	NSSAL	sLCWA	False	0.4975046482043253
SE	NSSAL	sLCWA	True	0.3942655837166063
SimplE	CEL	LCWA	True	0.4030727077013406
TransD	MRL	sLCWA	True	0.4185585673744985
TransE	MRL	sLCWA	False	0.4642332909286623
TransH	MRL	sLCWA	False	0.3529454936882278
TransR	CEL	LCWA	True	0.3918680888540953
TuckER	BCEL	LCWA	True	0.5285742244838046
UM	CEL	LCWA	False	0.080242685194246
