number	state	value	datetime_start	datetime_complete	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251
0	TrialState.COMPLETE	0.016598796033994334	2020-01-11 07:59:34.276535	2020-01-11 08:07:12.170585	350.0	21.0	0.0015346088092075983	2000.0	0.7963538057016843	0.004691926345609066	0.016598796033994334	0.00597556657223796	0.01022485835694051	16142.853642882435	0.00887444763716393	0.004691926345609066	0.016598796033994334	0.00597556657223796	0.01022485835694051	16142.774300637393	0.008874449918395732	0.004691926345609066	0.016598796033994334	0.00597556657223796	0.01022485835694051	16142.932985127478	0.008874445358930833	0	0.016200424929178472	0.01646600566572238			
1	TrialState.COMPLETE	0.0170856940509915	2020-01-11 08:07:12.171605	2020-01-11 08:15:15.450845	350.0	91.0	0.0017701930441364042	900.0	0.817378677555862	0.0030099150141643057	0.0170856940509915	0.008587110481586403	0.010136331444759207	16569.372476983004	0.008813583135837078	0.0030099150141643057	0.0170856940509915	0.008587110481586403	0.010136331444759207	16569.273061260625	0.008813585803605146	0.0030099150141643057	0.0170856940509915	0.008587110481586403	0.010136331444759207	16569.471892705384	0.008813580471156697	1	0.017174220963172806	0.0171152030217186			
2	TrialState.COMPLETE	0.017307011331444758	2020-01-11 08:15:15.451764	2020-01-11 08:22:28.393096	450.0	1.0	0.06521495831249047	1500.0	0.8949292814508366	0.009782223796033994	0.017307011331444758	0.012659348441926345	0.014783994334277621	18141.619953966005	0.012696205473730017	0.009782223796033994	0.017307011331444758	0.012659348441926345	0.014783994334277621	18141.61765226629	0.012696205510454273	0.009782223796033994	0.017307011331444758	0.012659348441926345	0.014783994334277621	18141.622255665723	0.012696205437016782	2	0.017793909348441925	0.017469310670443813			
3	TrialState.COMPLETE	0.017793909348441925	2020-01-11 08:22:28.394003	2020-01-11 08:29:08.524664	150.0	91.0	0.008634854851155128	800.0	0.7903862985907129	0.0048689801699716715	0.017793909348441925	0.010401912181303116	0.011242917847025496	16021.641842245042	0.010393807226352138	0.0048689801699716715	0.017793909348441925	0.010401912181303116	0.011242917847025496	16021.624955736545	0.010393808658049966	0.0048689801699716715	0.017793909348441925	0.010401912181303116	0.011242917847025496	16021.65872875354	0.010393805799022666	3	0.018413597733711047	0.018000472143531634			
4	TrialState.COMPLETE	0.04567988668555241	2020-01-11 08:29:08.525584	2020-01-11 08:35:36.647712	150.0	21.0	0.017283763343170794	1700.0	0.733428538623769	0.025717067988668556	0.04567988668555241	0.031958215297450424	0.037004249291784704	14866.69690598442	0.032452208222204695	0.025717067988668556	0.04567988668555241	0.031958215297450424	0.037004249291784704	14866.69033286119	0.03245663631049809	0.025717067988668556	0.04567988668555241	0.031958215297450424	0.037004249291784704	14866.70347910765	0.03244925559419718	4	0.04585694050991501	0.04573890462700661			
5	TrialState.COMPLETE	0.028576487252124645	2020-01-11 08:35:36.648786	2020-01-11 08:47:55.828644	450.0	11.0	0.0038879978216430394	900.0	0.7791242170882432	0.0057011331444759205	0.028576487252124645	0.01423512747875354	0.01929886685552408	15793.737871813031	0.013898848049837664	0.0057011331444759205	0.028576487252124645	0.01423512747875354	0.01929886685552408	15793.689235127478	0.013898878701849889	0.0057011331444759205	0.028576487252124645	0.01423512747875354	0.01929886685552408	15793.786508498584	0.01389881847167863	5		0.028269593956562793	0.028461402266288953		
6	TrialState.COMPLETE	0.022175991501416432	2020-01-11 08:47:55.829594	2020-01-11 08:56:12.200216	450.0	11.0	0.0027544981834191225	1100.0	0.7824495985572246	0.0029656515580736543	0.022175991501416432	0.009339589235127479	0.013013456090651559	15860.940598441926	0.00998406585862382	0.0029656515580736543	0.022175991501416432	0.009339589235127479	0.013013456090651559	15860.889695467422	0.009984069103345922	0.0029656515580736543	0.022175991501416432	0.009339589235127479	0.013013456090651559	15860.99150141643	0.009984062620374604	6	0.022043201133144476	0.022131728045325778			
7	TrialState.COMPLETE	0.016067634560906516	2020-01-11 08:56:12.201168	2020-01-11 09:02:46.388481	150.0	61.0	0.0023221905753845955	1600.0	0.8329203792923342	0.003895184135977337	0.016067634560906516	0.007037889518413598	0.0084985835694051	16884.01146423513	0.008491831027794404	0.003895184135977337	0.016067634560906516	0.007037889518413598	0.0084985835694051	16883.98118803116	0.008491832186016183	0.003895184135977337	0.016067634560906516	0.007037889518413598	0.0084985835694051	16884.041740439094	0.00849182987141514	7	0.016554532577903684	0.016229933899905572			
8	TrialState.COMPLETE	0.06405807365439094	2020-01-11 09:02:46.389423	2020-01-11 09:13:08.557377	250.0	71.0	0.06880151909160465	800.0	0.7273205434502066	0.043873937677053824	0.06405807365439094	0.05594900849858357	0.059702549575070825	14743.160977337111	0.05154195075044136	0.043873937677053824	0.06405807365439094	0.05594900849858357	0.059702549575070825	14743.155984419263	0.0515419508579906	0.043873937677053824	0.06405807365439094	0.05594900849858357	0.059702549575070825	14743.165970254957	0.05154195064295608	8		0.06356232294617564	0.06387216713881019		
