number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.adversarial_temperature	loss.margin	model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	251	301	1051	1101	1151	1201	1251	1351	1401
0	TrialState.COMPLETE	0.5189992373066028	2019-12-29 11:23:29.618287	2019-12-29 13:57:52.584230	0.5485162323074406	20.057156744957393	250.0	70.0	0.044414522540407377	1800.0	0.1004710222135643	0.28621431684462845	0.5189992373066028	0.4156202331662672	0.4623147744606668	2036.116164333188	0.369543050137178	0.28621431684462845	0.5189992373066028	0.4156202331662672	0.4623147744606668	2036.1153573763347	0.369543051764354	0.28621431684462845	0.5189992373066028	0.4156202331662672	0.4623147744606668	2036.1169712900414	0.3695430485248206	0					0.5171594664778093	0.5181161473087819			
1	TrialState.COMPLETE	0.5514872521246459	2019-12-29 13:57:52.585025	2019-12-29 15:37:22.494820	0.4926142577210788	6.435374702370344	150.0	70.0	0.0013278005839645185	1300.0	0.08903575074276297	0.3682152974504249	0.5514872521246459	0.4657294617563739	0.5011048158640227	1804.4798335694052	0.4333152595368955	0.3682152974504249	0.5514872521246459	0.4657294617563739	0.5011048158640227	1804.479114730878	0.43331526106948043	0.3682152974504249	0.5514872521246459	0.4657294617563739	0.5011048158640227	1804.480552407932	0.4333152580252099	1				0.54968284271462	0.5506226392823418				
2	TrialState.COMPLETE	0.5542634560906515	2019-12-29 15:37:22.495635	2019-12-29 20:54:27.445769	0.5468933758641247	11.388982098485934	450.0	100.0	0.0019031723846439452	1200.0	0.10809225217349741	0.40521246458923516	0.5542634560906515	0.47956090651558075	0.510828611898017	2190.623211756374	0.4580732972850421	0.40521246458923516	0.5542634560906515	0.47956090651558075	0.510828611898017	2190.622209631728	0.4580732978886006	0.40521246458923516	0.5542634560906515	0.47956090651558075	0.510828611898017	2190.62421388102	0.4580732966856278	2									
3	TrialState.COMPLETE	0.5292479298322075	2019-12-29 20:54:27.446604	2019-12-30 00:56:08.745138	0.7819027834691556	21.137642315714892	450.0	60.0	0.002452022975847332	1500.0	0.1787539446414583	0.4106014382218348	0.5292479298322075	0.4707793092176945	0.4948654390934844	3622.9270333950753	0.4528950928069525	0.4106014382218348	0.5292479298322075	0.4707793092176945	0.4948654390934844	3622.9246908367836	0.4528950935653254	0.4106014382218348	0.5292479298322075	0.4707793092176945	0.4948654390934844	3622.9293759533666	0.45289509205443396	3					0.5275244924457035	0.5284206798866855			
4	TrialState.COMPLETE	0.0339943342776204	2019-12-30 00:56:08.745868	2019-12-30 01:47:51.205651	0.5901979224762789	13.4277350252077	450.0	40.0	0.08138306177196279	1000.0	0.5808744315221611	0.014341359773371105	0.0339943342776204	0.021467776203966005	0.02611543909348442	11773.838062145893	0.021963158832808423	0.014341359773371105	0.0339943342776204	0.021467776203966005	0.02611543909348442	11773.835649787536	0.021963160998269487	0.014341359773371105	0.0339943342776204	0.021467776203966005	0.02611543909348442	11773.84047450425	0.021963156678483437	4	0.03263692162417375	0.03341258599757183							
5	TrialState.COMPLETE	0.5522785465242972	2019-12-30 01:47:51.206683	2019-12-30 04:46:40.576612	0.3893977145410319	13.004919348823917	350.0	50.0	0.0052234871790388495	1700.0	0.10112923383208644	0.4041253541076487	0.5522785465242972	0.4788080191762911	0.5095881455654827	2049.3398514109826	0.45706891794930465	0.4041253541076487	0.5522785465242972	0.4788080191762911	0.5095881455654827	2049.3389150686426	0.45706891881909734	0.4041253541076487	0.5522785465242972	0.4788080191762911	0.5095881455654827	2049.340787753323	0.4570689170846181	5					0.5506447710103871	0.5514943342776204			
6	TrialState.COMPLETE	0.5460274367852271	2019-12-30 04:46:40.577437	2019-12-30 05:57:24.827902	0.4429301487042705	12.05534838075042	50.0	80.0	0.007892552424068153	1600.0	0.10910254712212539	0.40417453572552725	0.5460274367852271	0.4748058965481062	0.503455828349596	2211.0978156804113	0.4542542950783886	0.40417453572552725	0.5460274367852271	0.4748058965481062	0.503455828349596	2211.0970189382015	0.45425429679008666	0.40417453572552725	0.5460274367852271	0.4748058965481062	0.503455828349596	2211.098612422621	0.4542542933896726	6						0.5443838526912181	0.5452372521246459		
7	TrialState.COMPLETE	0.5115911237016053	2019-12-30 05:57:24.828692	2019-12-30 07:25:37.689019	0.15338462960165883	22.590553133132058	150.0	10.0	0.004027886066132978	1900.0	0.21603072915433738	0.40048984891406986	0.5115911237016053	0.45845727101038714	0.4805771954674221	4378.242472261568	0.44047601435233835	0.40048984891406986	0.5115911237016053	0.45845727101038714	0.4805771954674221	4378.239624645892	0.4404760175288309	0.40048984891406986	0.5115911237016053	0.45845727101038714	0.4805771954674221	4378.245319877243	0.44047601123023156	7								0.5098138405503845	0.510733124938947
8	TrialState.COMPLETE	0.5362591477809254	2019-12-30 07:25:37.689829	2019-12-30 08:23:46.868078	0.19770415966433313	17.291688510294225	50.0	20.0	0.04833392664548765	1600.0	0.10588149251054992	0.382155925401322	0.5362591477809254	0.46414660056657225	0.4944744452313503	2145.7243935906517	0.43790969890606457	0.382155925401322	0.5362591477809254	0.46414660056657225	0.4944744452313503	2145.7236263574127	0.4379096992283131	0.382155925401322	0.5362591477809254	0.46414660056657225	0.4944744452313503	2145.7251608238903	0.4379096985848415	8			0.5344047772340973	0.5353722749107033					
9	TrialState.COMPLETE	0.531657223796034	2019-12-30 08:23:46.868839	2019-12-30 12:10:46.947212	0.21062507741735903	4.676093089965125	350.0	90.0	0.001600867391426864	1200.0	0.07029906145844883	0.3031161473087819	0.531657223796034	0.42519830028328615	0.47125354107648726	1424.741228753541	0.3835900662635721	0.3031161473087819	0.531657223796034	0.42519830028328615	0.47125354107648726	1424.74085694051	0.3835900662951099	0.3031161473087819	0.531657223796034	0.42519830028328615	0.47125354107648726	1424.7416005665723	0.38359006623207026	9				0.5298836063554625	0.5308073654390935				
