number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs
					model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	random_seed	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number
0	TrialState.COMPLETE	0.016946251283806914	2020-01-22 07:19:49.243184	2020-01-22 10:12:13.676674	250.0	1	1.0	0.001307497503315115	1900.0	0.4681217496528411	0.005135227661759671	0.016946251283806914	0.008958119365514093	0.011668378409220586	3317.1070552322262	0.011092850826746714	0.005135227661759671	0.016946251283806914	0.008958119365514093	0.011668378409220586	3317.0783407508843	0.01109341490849991	634124838	0.005135227661759671	0.016946251283806914	0.008958119365514093	0.011668378409220586	3317.1357697135686	0.011092295000189257	0
1	TrialState.COMPLETE	0.09340408535889536	2020-01-22 10:12:13.677447	2020-01-22 11:13:05.124152	150.0	1	51.0	0.09556661015431979	600.0	0.1543449147846417	0.005135227661759671	0.09340408535889536	0.028329339267374187	0.04984023736163414	1078.2055802807258	0.03584184287572459	0.005135227661759671	0.09340408535889536	0.028329339267374187	0.04984023736163414	1078.2051523450873	0.03584188397357859	238859652	0.005135227661759671	0.09340408535889536	0.028329339267374187	0.04984023736163414	1078.2060082163644	0.035841803510346465	1
2	TrialState.COMPLETE	0.018344174369508158	2020-01-22 11:13:05.124917	2020-01-22 12:04:51.757908	250.0	2	21.0	0.07919255328655939	500.0	0.46619827487110405	0.005135227661759671	0.018344174369508158	0.007788428620335502	0.01081250713226064	3300.9507731370536	0.01308904220345654	0.005135227661759671	0.018344174369508158	0.007788428620335502	0.01081250713226064	3300.9500171174254	0.013089086762106985	3128837404	0.005135227661759671	0.018344174369508158	0.007788428620335502	0.01081250713226064	3300.9515291566813	0.0130889988573641	2
3	TrialState.COMPLETE	0.031182243523907336	2020-01-22 12:04:51.758673	2020-01-22 12:57:21.573620	350.0	2	11.0	0.07751525067844983	500.0	0.45731891716169776	0.005135227661759671	0.031182243523907336	0.010498687664041995	0.01551979915554034	3236.6942685153485	0.01640190015509373	0.005135227661759671	0.031182243523907336	0.010498687664041995	0.01551979915554034	3236.6935980828484	0.016401928110362427	1348309827	0.005135227661759671	0.031182243523907336	0.010498687664041995	0.01551979915554034	3236.694938947849	0.016401872877519975	3
4	TrialState.COMPLETE	0.08901061280383431	2020-01-22 12:57:21.574381	2020-01-22 14:01:15.607643	450.0	1	31.0	0.05354615857803585	600.0	0.133166479662571	0.005135227661759671	0.08901061280383431	0.02650348054319297	0.04664498459431701	928.7372189889307	0.034604091467658527	0.005135227661759671	0.08901061280383431	0.02650348054319297	0.04664498459431701	928.7369622275477	0.0346040959656686	1526589744	0.005135227661759671	0.08901061280383431	0.02650348054319297	0.04664498459431701	928.7374757503138	0.03460408702081717	4
5	TrialState.COMPLETE	0.0650176880063905	2020-01-22 14:01:15.608406	2020-01-22 16:27:28.529021	150.0	2	81.0	0.00218248799245464	1400.0	0.7907365123907498	0.005135227661759671	0.0650176880063905	0.025219673627753052	0.041195937464338694	5628.477419262809	0.022596116274382568	0.005135227661759671	0.0650176880063905	0.025219673627753052	0.041195937464338694	5628.4725835900945	0.0225961171661584	1076284257	0.005135227661759671	0.0650176880063905	0.025219673627753052	0.041195937464338694	5628.482254935524	0.022596115385004688	5
6	TrialState.COMPLETE	0.09189204610293279	2020-01-22 16:27:28.529761	2020-01-22 17:32:27.980658	450.0	1	41.0	0.04775519179657503	600.0	0.14357297823872373	0.005163756704325003	0.09189204610293279	0.028243752139678193	0.049127011297500855	1001.7674169804861	0.03553594220529183	0.005163756704325003	0.09189204610293279	0.028243752139678193	0.049127011297500855	1001.7671459545818	0.03553594259372365	4072087449	0.005163756704325003	0.09189204610293279	0.028243752139678193	0.049127011297500855	1001.7676880063905	0.03553594181830156	6
7	TrialState.COMPLETE	0.0249914412872304	2020-01-22 17:32:27.981398	2020-01-22 20:59:13.288745	150.0	2	61.0	0.0531505263874316	2000.0	0.4696210863091835	0.005135227661759671	0.0249914412872304	0.008444596599338126	0.013579824261097797	3325.6620592262925	0.014618143525109232	0.005135227661759671	0.0249914412872304	0.008444596599338126	0.013579824261097797	3325.6613602647494	0.014618146189343408	1422041625	0.005135227661759671	0.0249914412872304	0.008444596599338126	0.013579824261097797	3325.662758187835	0.01461814089313483	7
8	TrialState.COMPLETE	0.09220586557115143	2020-01-22 20:59:13.289519	2020-01-23 00:26:09.409805	150.0	1	91.0	0.04269727148864438	2000.0	0.15419089246830275	0.005135227661759671	0.09220586557115143	0.02721670660732626	0.04915554034006619	1077.1210915211686	0.035697871116992894	0.005135227661759671	0.09220586557115143	0.02721670660732626	0.04915554034006619	1077.1207349081365	0.03569791677842047	2962477144	0.005135227661759671	0.09220586557115143	0.02721670660732626	0.04915554034006619	1077.1214481342006	0.035697827743929524	8
9	TrialState.COMPLETE	0.0088725322378181	2020-01-23 00:26:09.410588	2020-01-23 01:56:34.300514	50.0	2	1.0	0.0020122232580676294	1000.0	0.5401009822286195	0.005135227661759671	0.0088725322378181	0.005591692342804975	0.0063619764920689265	3831.599095629351	0.009633798966672937	0.005135227661759671	0.0088725322378181	0.005591692342804975	0.0063619764920689265	3831.5976263836587	0.009633825237056269	1413404084	0.005135227661759671	0.0088725322378181	0.005591692342804975	0.0063619764920689265	3831.600564875043	0.009633773471691115	9
10	TrialState.COMPLETE	0.02330822777587584	2020-01-23 01:56:34.301295	2020-01-23 04:45:24.980502	250.0	2	51.0	0.01864827440016975	1600.0	0.49600301254688717	0.005135227661759671	0.02330822777587584	0.007902544790596827	0.011040739472783294	3514.927079767203	0.015044567635272281	0.005135227661759671	0.02330822777587584	0.007902544790596827	0.011040739472783294	3514.925111263266	0.015044567769844234	2547143346	0.005135227661759671	0.02330822777587584	0.007902544790596827	0.011040739472783294	3514.92904827114	0.015044567500773516	10
11	TrialState.COMPLETE	0.05374871619308456	2020-01-23 04:45:24.981293	2020-01-23 07:36:47.516729	50.0	2	11.0	0.07787583091422318	1700.0	0.3357983021985843	0.005135227661759671	0.05374871619308456	0.016204496177108296	0.028500513522766176	2367.76523450873	0.02313773281170854	0.005135227661759671	0.05374871619308456	0.016204496177108296	0.028500513522766176	2367.764635398836	0.023137734243381936	3032430793	0.005135227661759671	0.05374871619308456	0.016204496177108296	0.028500513522766176	2367.7658336186237	0.023137731387465173	11
