model	adjusted mean rank	evaluation	hits at k avg 1	hits at k avg 10	hits at k avg 3	hits at k avg 5	hits at k best 1	hits at k best 10	hits at k best 3	hits at k best 5	hits at k worst 1	hits at k worst 10	hits at k worst 3	hits at k worst 5	mean rank avg	mean rank best	mean rank worst	mean reciprocal rank avg	mean reciprocal rank best	mean reciprocal rank worst	training
complex	2.21 ± 0.31	13.30 ±  0.07	12.36 ± 1.96	32.92 ± 4.40	20.66 ± 2.75	25.24 ± 3.33	12.36 ± 1.96	32.92 ± 4.40	20.66 ± 2.75	25.24 ± 3.33	12.36 ± 1.96	32.92 ± 4.40	20.66 ± 2.75	25.24 ± 3.33	452.67 ± 63.05	452.67 ± 63.05	452.67 ± 63.05	19.49 ± 2.55	19.49 ± 2.55	19.49 ± 2.55	1074.47 ± 16.05
conve	2.17 ± 0.07	 2.02 ±  0.01	85.14 ± 0.10	94.85 ± 0.06	91.76 ± 0.11	93.29 ± 0.04	85.14 ± 0.10	94.85 ± 0.06	91.76 ± 0.11	93.29 ± 0.04	85.14 ± 0.10	94.85 ± 0.06	91.76 ± 0.11	93.29 ± 0.04	444.40 ± 14.82	444.40 ± 14.82	444.40 ± 14.82	88.81 ± 0.09	88.81 ± 0.09	88.81 ± 0.09	29404.76 ± 1119.58
distmult	2.24 ± 0.12	 2.22 ±  0.01	67.45 ± 0.34	92.72 ± 0.18	85.94 ± 0.21	89.52 ± 0.25	67.45 ± 0.34	92.72 ± 0.18	85.94 ± 0.21	89.52 ± 0.25	67.45 ± 0.34	92.72 ± 0.18	85.94 ± 0.21	89.52 ± 0.25	458.64 ± 23.96	458.64 ± 23.96	458.64 ± 23.96	77.44 ± 0.22	77.44 ± 0.22	77.44 ± 0.22	176.05 ±  1.67
hole	3.98 ± 0.39	 5.51 ±  0.02	58.66 ± 0.81	88.53 ± 0.36	79.09 ± 0.41	83.68 ± 0.25	58.66 ± 0.81	88.53 ± 0.36	79.09 ± 0.41	83.68 ± 0.25	58.66 ± 0.81	88.53 ± 0.36	79.09 ± 0.41	83.68 ± 0.25	814.59 ± 80.68	814.59 ± 80.68	814.59 ± 80.68	69.98 ± 0.53	69.98 ± 0.53	69.98 ± 0.53	414.95 ± 20.31
kg2e	13.25 ± 0.22	 4.29 ±  0.05	1.35 ± 0.22	7.02 ± 0.43	3.21 ± 0.31	4.57 ± 0.34	1.35 ± 0.22	7.02 ± 0.43	3.21 ± 0.31	4.57 ± 0.34	1.35 ± 0.22	7.02 ± 0.43	3.21 ± 0.31	4.57 ± 0.34	2708.89 ± 44.57	2708.88 ± 44.57	2708.89 ± 44.57	3.61 ± 0.26	3.61 ± 0.26	3.61 ± 0.26	30663.62 ± 507.05
rotate	0.61 ± 0.01	12.21 ±  0.03	82.17 ± 0.20	95.28 ± 0.08	91.53 ± 0.12	93.44 ± 0.07	82.17 ± 0.20	95.28 ± 0.08	91.53 ± 0.12	93.44 ± 0.07	82.17 ± 0.20	95.28 ± 0.08	91.53 ± 0.12	93.44 ± 0.07	123.68 ±  1.71	123.68 ±  1.71	123.68 ±  1.71	87.29 ± 0.12	87.29 ± 0.12	87.29 ± 0.12	104003.54 ± 2697.23
simple	100.43 ± 0.46	 6.35 ±  0.01	0.00 ± 0.00	0.02 ± 0.02	0.00 ± 0.01	0.01 ± 0.01	0.00 ± 0.00	0.02 ± 0.02	0.00 ± 0.01	0.01 ± 0.01	0.00 ± 0.00	0.02 ± 0.02	0.00 ± 0.01	0.01 ± 0.01	20551.64 ± 95.33	20513.74 ± 92.22	20589.54 ± 100.76	0.03 ± 0.00	0.03 ± 0.00	0.03 ± 0.00	1175.97 ±  6.72
transd	2.17 ± 0.13	 5.72 ±  0.46	3.94 ± 0.27	87.27 ± 0.41	65.63 ± 0.55	79.64 ± 0.43	3.94 ± 0.27	87.27 ± 0.41	65.63 ± 0.55	79.64 ± 0.43	3.94 ± 0.27	87.27 ± 0.41	65.63 ± 0.55	79.64 ± 0.43	444.39 ± 25.61	444.39 ± 25.61	444.39 ± 25.61	36.22 ± 0.12	36.22 ± 0.12	36.22 ± 0.12	10809.78 ± 189.37
transe	2.46 ± 0.13	 1.91 ±  0.00	9.70 ± 2.93	81.22 ± 0.47	59.83 ± 0.95	71.41 ± 0.71	9.70 ± 2.93	81.22 ± 0.47	59.83 ± 0.95	71.41 ± 0.71	9.70 ± 2.93	81.22 ± 0.47	59.83 ± 0.95	71.41 ± 0.71	502.96 ± 27.45	502.95 ± 27.45	502.96 ± 27.45	37.07 ± 1.84	37.07 ± 1.84	37.07 ± 1.84	64620.55 ± 1104.21
transh	96.16 ± 0.09	 3.80 ±  0.16	0.04 ± 0.02	0.39 ± 0.11	0.19 ± 0.10	0.29 ± 0.14	0.04 ± 0.02	0.39 ± 0.11	0.19 ± 0.10	0.29 ± 0.14	0.04 ± 0.02	0.39 ± 0.11	0.19 ± 0.10	0.29 ± 0.14	19678.04 ± 18.92	19678.02 ± 18.92	19678.06 ± 18.92	0.18 ± 0.04	0.18 ± 0.04	0.18 ± 0.04	478.17 ±  0.92
transr	96.20 ± 0.49	 5.50 ±  0.00	0.00 ± 0.00	0.11 ± 0.06	0.04 ± 0.02	0.05 ± 0.03	0.00 ± 0.00	0.11 ± 0.06	0.04 ± 0.02	0.05 ± 0.03	0.00 ± 0.00	0.11 ± 0.06	0.04 ± 0.02	0.05 ± 0.03	19686.49 ± 100.97	19686.49 ± 100.97	19686.50 ± 100.97	0.06 ± 0.02	0.06 ± 0.02	0.06 ± 0.02	998.61 ± 35.56
